stage_id,group_id,spot_mod,battle_time,monster_count,use_intro_scene,wave_repeat,point_data,point_data_fly,background_name,theme,theme_time,stage_info_bg,close_monster_count,mid_monster_count,far_monster_count,target_list/0,wave_data/0/wave_path,wave_data/1/wave_path,wave_data/1/private_monster_count,wave_data/2/wave_path,wave_data/2/private_monster_count,wave_data/3/wave_path,wave_data/3/private_monster_count,wave_data/4/wave_path,wave_data/4/private_monster_count,wave_data/5/wave_path,wave_data/5/private_monster_count,wave_data/6/wave_path,wave_data/0/wave_monster_list/0/wave_monster_id,wave_data/0/wave_monster_list/0/spawn_type,wave_data/0/wave_monster_list/1/wave_monster_id,wave_data/0/wave_monster_list/1/spawn_type,wave_data/0/wave_monster_list/2/wave_monster_id,wave_data/0/wave_monster_list/2/spawn_type,wave_data/0/wave_monster_list/3/wave_monster_id,wave_data/0/wave_monster_list/3/spawn_type,wave_data/1/wave_monster_list/0/wave_monster_id,wave_data/1/wave_monster_list/0/spawn_type,wave_data/1/wave_monster_list/1/wave_monster_id,wave_data/1/wave_monster_list/1/spawn_type,wave_data/1/wave_monster_list/2/wave_monster_id,wave_data/1/wave_monster_list/2/spawn_type,wave_data/1/wave_monster_list/3/wave_monster_id,wave_data/1/wave_monster_list/3/spawn_type,wave_data/2/wave_monster_list/0/wave_monster_id,wave_data/2/wave_monster_list/0/spawn_type,wave_data/2/wave_monster_list/1/wave_monster_id,wave_data/2/wave_monster_list/1/spawn_type,wave_data/2/wave_monster_list/2/wave_monster_id,wave_data/2/wave_monster_list/2/spawn_type,wave_data/2/wave_monster_list/3/wave_monster_id,wave_data/2/wave_monster_list/3/spawn_type,wave_data/3/wave_monster_list/0/wave_monster_id,wave_data/3/wave_monster_list/0/spawn_type,wave_data/3/wave_monster_list/1/wave_monster_id,wave_data/3/wave_monster_list/1/spawn_type,wave_data/3/wave_monster_list/2/wave_monster_id,wave_data/3/wave_monster_list/2/spawn_type,wave_data/3/wave_monster_list/3/wave_monster_id,wave_data/3/wave_monster_list/3/spawn_type,wave_data/4/wave_monster_list/0/wave_monster_id,wave_data/4/wave_monster_list/0/spawn_type,wave_data/4/wave_monster_list/1/wave_monster_id,wave_data/4/wave_monster_list/1/spawn_type,wave_data/4/wave_monster_list/2/wave_monster_id,wave_data/4/wave_monster_list/2/spawn_type,wave_data/4/wave_monster_list/3/wave_monster_id,wave_data/4/wave_monster_list/3/spawn_type,wave_data/5/wave_monster_list/0/wave_monster_id,wave_data/5/wave_monster_list/0/spawn_type,wave_data/5/wave_monster_list/1/wave_monster_id,wave_data/5/wave_monster_list/1/spawn_type,wave_data/5/wave_monster_list/2/wave_monster_id,wave_data/5/wave_monster_list/2/spawn_type,wave_data/5/wave_monster_list/3/wave_monster_id,wave_data/5/wave_monster_list/3/spawn_type,wave_data/6/wave_monster_list/0/wave_monster_id,wave_data/6/wave_monster_list/0/spawn_type,wave_data/6/wave_monster_list/1/wave_monster_id,wave_data/6/wave_monster_list/1/spawn_type,wave_data/6/wave_monster_list/2/wave_monster_id,wave_data/6/wave_monster_list/2/spawn_type,wave_data/6/wave_monster_list/3/wave_monster_id,wave_data/6/wave_monster_list/3/spawn_type
6400001,wave_simulationroom_001,Campaign,90,5,True,False,point_grd_arkcity_001,point_fly_arkcity_001,sbg_arkcity_001,ArcCity,Day,ibg_arkcity_001,6,27,0,3320070111,path_grd_mid_small_002,path_grd_mid_small_011,6.0,path_fly_mid_small_024,8.0,path_grd_mid_elite1_802,0.0,path_grd_close_small_072,8.0,,,,1220010111,Dash,1220010111,Dash,1120010111,Drop,1120010111,Drop,2220030111,Drop,2220030111,Drop,2220030111,Drop,3320010211,Drop,3210010111,Drop,3210010111,Drop,3210010111,Drop,3210010111,Drop,2220030111,Dash,2220030111,Dash,2220030111,Drop,3320070111,Drop,1220010111,Dash,1220010111,Dash,1220010111,Dash,3220020111,Dash,,,,,,,,,,,,,,,,
6400002,wave_simulationroom_001,Campaign,90,5,True,False,point_grd_arkcity_003,point_fly_arkcity_003,sbg_arkcity_003,ArcCity,Day,ibg_arkcity_001,21,12,0,1310020111,path_fly_mid_small_018,path_fly_close_small_029,6.0,path_grd_close_small_013,,path_fly_close_elite1_801,0.0,path_fly_mid_small_039,7.0,,,,3210010111,Drop,3210010111,Drop,2110010111,Dash,2110010111,Dash,2210010111,Drop,2210010111,Drop,2210010111,Drop,1310030211,Drop,2220020111,Dash,2220020111,Dash,2220020111,Dash,2220020111,Dash,3210010111,Dash,3210010111,Dash,2210010111,Drop,1310020111,Drop,2210010111,Dash,2210010111,Dash,2210010111,Dash,2210010111,Dash,,,,,,,,,,,,,,,,
6400003,wave_simulationroom_001,Campaign,90,5,True,False,point_grd_arkcity_004,point_fly_arkcity_004,sbg_arkcity_004,ArcCity,Day,ibg_arkcity_001,6,27,0,1310030111,path_fly_mid_small_018,path_fly_mid_small_005,6.0,path_grd_close_small_039,,path_fly_mid_elite1_802,0.0,path_fly_mid_small_024,7.0,,,,2210020111,Dash,2210020111,Dash,1110010111,Drop,1110010111,Drop,1110010111,Dash,1110010111,Dash,2210020111,Dash,1310020211,Dash,3220030111,Dash,3220030111,Dash,3220030111,Dash,2220040111,Dash,2210020111,Drop,2210020111,Drop,1110010111,Drop,1310030111,Drop,2210020111,Jump,2210020111,Jump,2210020111,Jump,1210040111,Jump,,,,,,,,,,,,,,,,
6400004,wave_simulationroom_001,Campaign,90,5,True,False,point_grd_arkcity_002,point_fly_arkcity_002,sbg_arkcity_002,ArcCity,Day,ibg_arkcity_001,66,6,0,1320040111,path_grd_close_special_064,path_grd_close_small_054,12.0,path_fly_close_special_044,,path_grd_close_special_064,0.0,path_grd_mid_small_070,11.0,path_grd_close_special_024,5.0,,2120010111,Dash,2120010111,Dash,2120010111,Dash,2120010111,Dash,3220050111,Jump,3220050111,Jump,3220050111,Jump,3320010211,Drop,1110010111,Drop,1110010111,Drop,1110010111,Drop,1110010111,Drop,2120010111,Dash,2120010111,Dash,3220050111,Drop,1320040111,Drop,3220050111,Dash,3220050111,Dash,3220050111,Dash,2220040111,Dash,2120010111.0,Dash,2120010111.0,Dash,2120010111.0,Dash,2120010111.0,Dash,,,,,,,,
6400005,wave_simulationroom_001,Campaign,90,7,True,False,point_grd_arkcity_005,point_fly_arkcity_005,sbg_arkcity_005,ArcCity,Day,ibg_arkcity_001,18,24,0,3320020111,path_grd_close_small_051,path_grd_mid_elite1_802,7.0,path_grd_mid_small_049,4.0,path_grd_close_small_042,11.0,path_grd_mid_elite1_802,0.0,path_grd_close_small_069,5.0,,3220050111,Dash,3220050111,Dash,3220050111,Dash,3220050111,Dash,3120010111,Jump,3120010111,Jump,3220070111,Drop,3320020211,Drop,3220050111,Drop,3220070111,Drop,3220050111,Drop,3220070111,Drop,3120010111,Dash,3120010111,Dash,3120010111,Dash,3120010111,Dash,3220050111,Dash,3220050111,Dash,3220070111,Drop,3320020111,Drop,3220050111.0,Dash,3220050111.0,Dash,3220050111.0,Dash,2220040111.0,Dash,,,,,,,,
6400006,wave_simulationroom_001,Campaign,90,5,True,False,point_grd_arkcity_003,point_fly_arkcity_003,sbg_arkcity_003,ArcCity,Day,ibg_arkcity_001,6,30,6,1320040111,path_grd_close_small_001,path_grd_mid_elite1_802,7.0,path_fly_mid_small_053,6.0,path_grd_mid_special_065,0.0,path_grd_far_small_071,11.0,,,,1220020111,Drop,1220020111,Drop,1220030111,Dash,1220030111,Dash,1120010111,Jump,1120010111,Jump,1220020111,Drop,2320050211,Drop,1210020111,Dash,1210020111,Dash,1210020111,Dash,1210040111,Dash,1120010111,Dash,1120010111,Dash,1220030111,Drop,1320040111,Drop,1220040111,Dash,1220040111,Dash,1220040111,Dash,3220020111,Dash,,,,,,,,,,,,,,,,
6400007,wave_simulationroom_001,Campaign,90,5,True,False,point_grd_arkcity_004,point_fly_arkcity_004,sbg_arkcity_004,ArcCity,Day,ibg_arkcity_001,0,21,12,2320030111,path_grd_far_small_003,path_grd_mid_small_070,7.0,path_fly_mid_small_053,7.0,path_grd_mid_elite1_802,0.0,path_grd_far_small_074,7.0,,,,1220030111,Drop,1220030111,Drop,3220070111,Jump,3220070111,Jump,1220030111,Dash,1220030111,Dash,1220030111,Dash,2320030211,Drop,1210020111,Drop,1210020111,Drop,1210020111,Drop,3210030111,Drop,1220030111,Dash,1220030111,Dash,3220070111,Drop,2320030111,Drop,1220030111,Drop,1220030111,Drop,3220070111,Drop,2220040111,Dash,,,,,,,,,,,,,,,,
6400008,wave_simulationroom_001,Campaign,90,5,True,False,point_grd_arkcity_002,point_fly_arkcity_002,sbg_arkcity_002,ArcCity,Day,ibg_arkcity_001,0,18,15,1320030111,path_grd_mid_small_043,path_grd_far_small_071,6.0,path_fly_mid_small_039,6.0,path_grd_far_elite1_803,0.0,path_fly_mid_small_030,,,,,1220010111,Dash,1220010111,Dash,3220060111,Jump,3220060111,Jump,3220060111,Dash,3220060111,Dash,3220060111,Dash,2320030211,Dash,1210010111,Drop,1210030111,Drop,1210010111,Drop,1210030111,Drop,3220060111,Jump,3220060111,Jump,1220010111,Drop,1320030111,Drop,1210030111,Drop,1210030111,Drop,1210030111,Drop,1210030111,Drop,,,,,,,,,,,,,,,,
6400009,wave_simulationroom_001,Campaign,90,5,True,False,point_grd_arkcity_005,point_fly_arkcity_005,sbg_arkcity_005,ArcCity,Day,ibg_arkcity_001,42,6,0,2320050111,path_grd_close_small_048,path_grd_close_small_069,,path_fly_mid_small_039,4.0,path_grd_close_elite1_801,0.0,path_grd_close_special_064,6.0,path_grd_close_small_042,3.0,,1220040111,Drop,1220040111,Drop,1220040111,Drop,2320050211,Drop,1220040111,Dash,1220040111,Dash,1220040111,Dash,1220050111,Drop,3210040111,Dash,3210040111,Dash,3210040111,Dash,3210040111,Dash,3120010111,Dash,3120010111,Dash,1220050111,Drop,2320050111,Drop,2120010111,Dash,2120010111,Dash,1220050111,Drop,1220050111,Drop,1220050111.0,Dash,1220050111.0,Dash,1220050111.0,Dash,1220050111.0,Dash,,,,,,,,
6400010,wave_simulationroom_001,Campaign,90,5,True,False,point_grd_arkcity_003,point_fly_arkcity_003,sbg_arkcity_003,ArcCity,Day,ibg_arkcity_001,6,27,0,1320020111,path_grd_mid_small_070,path_fly_mid_small_008,7.0,path_grd_close_small_036,7.0,path_grd_mid_elite1_802,0.0,path_fly_mid_small_030,7.0,,,,2220010111,Drop,2220010111,Drop,2220010111,Drop,2220040111,Jump,2210010111,Dash,2210010111,Dash,2210010111,Dash,2310010211,Dash,2220010111,Dash,2220010111,Dash,2220010111,Dash,2220040111,Dash,2220010111,Jump,2220010111,Jump,2220040111,Drop,1320020111,Drop,2210010111,Drop,2210010111,Drop,2210010111,Drop,2210010111,Dash,,,,,,,,,,,,,,,,
