stage_id,group_id,spot_mod,battle_time,monster_count,use_intro_scene,wave_repeat,point_data,point_data_fly,background_name,theme,theme_time,stage_info_bg,target_list/0,wave_data/0/wave_path,wave_data/0/wave_monster_list/0/wave_monster_id,wave_data/0/wave_monster_list/0/spawn_type,wave_data/0/wave_monster_list/1/wave_monster_id,wave_data/0/wave_monster_list/1/spawn_type,wave_data/0/wave_monster_list/2/wave_monster_id,wave_data/0/wave_monster_list/2/spawn_type,wave_data/0/wave_monster_list/3/wave_monster_id,wave_data/0/wave_monster_list/3/spawn_type,wave_data/1/wave_path,wave_data/1/wave_monster_list/0/wave_monster_id,wave_data/1/wave_monster_list/0/spawn_type,wave_data/1/wave_monster_list/1/wave_monster_id,wave_data/1/wave_monster_list/1/spawn_type,wave_data/1/wave_monster_list/2/wave_monster_id,wave_data/1/wave_monster_list/2/spawn_type,wave_data/1/wave_monster_list/3/wave_monster_id,wave_data/1/wave_monster_list/3/spawn_type,wave_data/2/wave_path,wave_data/2/private_monster_count,wave_data/2/wave_monster_list/0/wave_monster_id,wave_data/2/wave_monster_list/0/spawn_type,wave_data/2/wave_monster_list/1/wave_monster_id,wave_data/2/wave_monster_list/1/spawn_type,wave_data/2/wave_monster_list/2/wave_monster_id,wave_data/2/wave_monster_list/2/spawn_type,wave_data/2/wave_monster_list/3/wave_monster_id,wave_data/2/wave_monster_list/3/spawn_type,wave_data/3/wave_path,wave_data/3/wave_monster_list/0/wave_monster_id,wave_data/3/wave_monster_list/0/spawn_type,wave_data/3/wave_monster_list/1/wave_monster_id,wave_data/3/wave_monster_list/1/spawn_type,wave_data/3/wave_monster_list/2/wave_monster_id,wave_data/3/wave_monster_list/2/spawn_type,wave_data/3/wave_monster_list/3/wave_monster_id,wave_data/3/wave_monster_list/3/spawn_type,wave_data/4/wave_path,wave_data/4/private_monster_count,wave_data/4/wave_monster_list/0/wave_monster_id,wave_data/4/wave_monster_list/0/spawn_type,wave_data/4/wave_monster_list/1/wave_monster_id,wave_data/4/wave_monster_list/1/spawn_type,wave_data/4/wave_monster_list/2/wave_monster_id,wave_data/4/wave_monster_list/2/spawn_type,wave_data/4/wave_monster_list/3/wave_monster_id,wave_data/4/wave_monster_list/3/spawn_type,wave_data/5/wave_path,wave_data/5/wave_monster_list/0/wave_monster_id,wave_data/5/wave_monster_list/0/spawn_type,wave_data/5/wave_monster_list/1/wave_monster_id,wave_data/5/wave_monster_list/1/spawn_type,wave_data/5/wave_monster_list/2/wave_monster_id,wave_data/5/wave_monster_list/2/spawn_type,wave_data/5/wave_monster_list/3/wave_monster_id,wave_data/5/wave_monster_list/3/spawn_type,wave_data/6/wave_path,wave_data/6/private_monster_count,wave_data/6/wave_monster_list/0/wave_monster_id,wave_data/6/wave_monster_list/0/spawn_type,wave_data/6/wave_monster_list/1/wave_monster_id,wave_data/6/wave_monster_list/1/spawn_type,wave_data/6/wave_monster_list/2/wave_monster_id,wave_data/6/wave_monster_list/2/spawn_type,wave_data/6/wave_monster_list/3/wave_monster_id,wave_data/6/wave_monster_list/3/spawn_type,close_monster_count,mid_monster_count,far_monster_count,wave_data/1/private_monster_count,wave_data/5/private_monster_count,wave_data/3/private_monster_count,wave_data/7/wave_path,wave_data/7/private_monster_count,wave_data/7/wave_monster_list/0/wave_monster_id,wave_data/7/wave_monster_list/0/spawn_type,wave_data/7/wave_monster_list/1/wave_monster_id,wave_data/7/wave_monster_list/1/spawn_type,wave_data/7/wave_monster_list/2/wave_monster_id,wave_data/7/wave_monster_list/2/spawn_type,wave_data/7/wave_monster_list/3/wave_monster_id,wave_data/7/wave_monster_list/3/spawn_type,wave_data/8/wave_path,wave_data/8/private_monster_count,wave_data/8/wave_monster_list/0/wave_monster_id,wave_data/8/wave_monster_list/0/spawn_type,wave_data/8/wave_monster_list/1/wave_monster_id,wave_data/8/wave_monster_list/1/spawn_type,wave_data/8/wave_monster_list/2/wave_monster_id,wave_data/8/wave_monster_list/2/spawn_type,wave_data/8/wave_monster_list/3/wave_monster_id,wave_data/8/wave_monster_list/3/spawn_type
6414001,wave_simulationroom_003,Campaign,90,7,True,False,point_grd_arkcity_002,point_fly_arkcity_002,sbg_arkcity_002,ArcCity,Day,ibg_arkcity_001,1320040151,path_grd_mid_small_043,3220010151,Jump,3220010151.0,Jump,3220010151.0,Jump,3220010151.0,Jump,path_grd_close_small_054,1220030151,Drop,1220030151,Drop,1220030151,Drop,2320030251,Drop,path_fly_mid_elite1_802,10.0,1210030151,Jump,1210030151,Jump,3210030151,Drop,3310010251,Drop,path_grd_mid_special_065,1120010151,Jump,1120010151,Jump,1220030151,Drop,2220040151,Drop,path_grd_close_elite2_807,0.0,3220010151,Jump,3220010151,Jump,2320030251,Drop,1320040151,Drop,path_grd_mid_special_025,3220010151,Jump,3220010151,Jump,1120010151,Drop,1120010151,Drop,path_fly_close_small_038,5.0,1210030151,Dash,1210030151,Dash,1210030151,Dash,1210030151,Dash,21,45,0,,,,,,,,,,,,,,,,,,,,,,,
6414002,wave_simulationroom_003,Campaign,90,7,True,False,point_grd_arkcity_002,point_fly_arkcity_002,sbg_arkcity_002,ArcCity,Day,ibg_arkcity_001,1310020151,path_fly_close_special_044,2110010151,Drop,2110010151.0,Drop,2210030151.0,Drop,2210030151.0,Drop,path_grd_mid_elite2_805,2220030151,Dash,2220030151,Dash,2320050251,Drop,2320050251,Drop,path_fly_mid_small_053,,2210020151,Dash,2210020151,Dash,2210020151,Dash,1210040151,Dash,path_fly_close_small_029,2210020151,Jump,2210020151,Jump,2210020151,Jump,2210020151,Jump,path_fly_mid_elite1_802,0.0,2210020151,Dash,2210020151,Dash,3210030151,Drop,1310020151,Drop,path_grd_close_elite1_801,2220030151,Jump,2220030151,Jump,2220040151,Drop,3320040251,Drop,path_fly_close_small_029,5.0,2210020151,Drop,2210020151,Drop,2210020151,Drop,2210020151,Drop,36,24,0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,
6414003,wave_simulationroom_003,Campaign,90,7,True,False,point_grd_arkcity_004,point_fly_arkcity_004,sbg_arkcity_004,ArcCity,Day,ibg_arkcity_001,3320070151,path_grd_close_small_007,3220050151,Drop,3220050151.0,Drop,2220010151.0,Drop,2220010151.0,Drop,path_grd_mid_elite2_805,3220050151,Dash,3220050151,Dash,2320010251,Dash,2320010251,Dash,path_fly_mid_special_016,8.0,3110010151,Drop,3110010151,Drop,3110010151,Drop,3210030151,Drop,path_grd_close_small_013,2220010151,Dash,2220010151,Dash,2220010151,Dash,2220040151,Dash,path_grd_mid_elite2_808,0.0,2220030151,Dash,2220030151,Dash,2320020251,Drop,3320070151,Drop,path_fly_close_small_029,3210010151,Drop,3210010151,Drop,3210010151,Drop,3210030151,Drop,path_grd_mid_special_065,5.0,2220030151,Dash,2220030151,Dash,3220050151,Drop,2220040151,Drop,18,48,0,,,12.0,,,,,,,,,,,,,,,,,,,,
6414004,wave_simulationroom_003,Campaign,90,7,True,False,point_grd_arkcity_003,point_fly_arkcity_003,sbg_arkcity_003,ArcCity,Day,ibg_arkcity_001,2310020151,path_fly_mid_elite1_802,3210020151,Dash,3210020151.0,Dash,3210010151.0,Drop,2310020251.0,Drop,path_grd_mid_elite1_802,3220060151,Dash,3220060151,Dash,2220040151,Drop,3320060251,Drop,path_fly_far_small_025,,3210010151,Drop,3210010151,Drop,3210010151,Drop,3210010151,Drop,path_fly_mid_small_036,3210020151,Dash,3210020151,Dash,3210020151,Dash,3210020151,Dash,path_fly_mid_elite2_805,0.0,3210010151,Jump,3210010151,Jump,2310020251,Drop,2310020151,Drop,path_grd_far_small_074,3220060151,Dash,3220060151,Dash,3220060151,Dash,2220040151,Dash,path_fly_mid_special_047,,3110010151,Dash,3110010151,Dash,3210020151,Drop,3210020151,Drop,0,48,12,10.0,,10.0,,,,,,,,,,,,,,,,,,,,
6414005,wave_simulationroom_003,Campaign,90,7,True,False,point_grd_arkcity_005,point_fly_arkcity_005,sbg_arkcity_005,ArcCity,Day,ibg_arkcity_001,1320060151,path_grd_mid_small_043,2220010151,Dash,2220010151.0,Dash,2220010151.0,Dash,2220010151.0,Dash,path_fly_mid_elite2_808,1210030151,Dash,1210030151,Dash,3310010251,Dash,3310010251,Dash,path_fly_far_small_054,6.0,1210030151,Dash,1210030151,Dash,1210030151,Dash,1210030151,Dash,path_grd_mid_special_025,2120010151,Dash,2120010151,Dash,2220010151,Drop,2220040151,Drop,path_fly_mid_elite1_802,0.0,1210030151,Dash,1210030151,Dash,3210030151,Drop,1310040251,Drop,path_grd_mid_elite1_802,2220010151,Jump,2220010151,Jump,2220040151,Drop,1320060151,Drop,path_fly_mid_small_024,5.0,1210030151,Dash,1210030151,Dash,1210030151,Dash,1210030151,Dash,0,54,6,,10.0,14.0,,,,,,,,,,,,,,,,,,,,
6414006,wave_simulationroom_003,Campaign,90,7,True,False,point_grd_arkcity_001,point_fly_arkcity_001,sbg_arkcity_001,ArcCity,Day,ibg_arkcity_001,2320060151,path_grd_mid_small_043,3220030151,Dash,3220030151.0,Dash,3220030151.0,Dash,2220050151.0,Dash,path_grd_close_elite2_807,3220030151,Dash,3220030151,Dash,2320020251,Drop,3320040251,Drop,path_grd_mid_small_070,,3220030151,Dash,3220030151,Dash,3220030151,Dash,3220020151,Dash,path_grd_close_small_039,3220030151,Dash,3220030151,Dash,3220030151,Dash,3220020151,Dash,path_grd_mid_elite2_805,0.0,3220020151,Dash,2220050151,Dash,3320040251,Drop,2320060151,Drop,path_fly_mid_small_005,3210020151,Dash,3210020151,Dash,3210020151,Dash,2210030151,Normal,path_grd_mid_small_043,6.0,3220030151,Dash,3220030151,Dash,3220020151,Dash,3220020151,Dash,15,39,0,,10.0,10.0,path_grd_mid_small_043,4.0,3220020151.0,Dash,3220020151.0,Dash,3220030151.0,Dash,3220030151.0,Dash,,,,,,,,,,
6414007,wave_simulationroom_003,Campaign,90,7,True,False,point_grd_arkcity_005,point_fly_arkcity_005,sbg_arkcity_005,ArcCity,Day,ibg_arkcity_001,3320030151,path_grd_far_small_044,3220060151,Dash,3220060151.0,Dash,3220060151.0,Dash,3220060151.0,Dash,path_fly_close_elite2_807,2210010151,Dash,2210010151,Dash,2310020251,Dash,2310020251,Dash,path_grd_mid_small_070,,2220010151,Dash,2220010151,Dash,2220010151,Dash,2220040151,Dash,path_fly_mid_small_039,1210010151,Dash,1210010151,Dash,1210010151,Dash,1210010151,Dash,path_fly_mid_elite2_808,0.0,2210010151,Dash,2210010151,Dash,2310020251,Dash,2310020251,Dash,path_grd_mid_small_055,3220060151,Dash,3220060151,Dash,3220060151,Drop,3320030151,Drop,path_grd_mid_small_070,8.0,2220010151,Dash,2220010151,Dash,2220010151,Dash,2220040151,Dash,9,33,6,,10.0,11.0,,,,,,,,,,,,,,,,,,,,
6414008,wave_simulationroom_003,Campaign,90,7,True,False,point_grd_arkcity_002,point_fly_arkcity_002,sbg_arkcity_002,ArcCity,Day,ibg_arkcity_001,3320060151,path_grd_mid_small_002,1220040151,Drop,1220040151.0,Drop,1220050151.0,Dash,1220050151.0,Dash,path_grd_close_elite2_804,1220040151,Dash,1220040151,Dash,3320060251,Jump,3320060251,Jump,path_grd_close_small_042,10.0,1220050151,Dash,1220050151,Dash,1220050151,Dash,1220050151,Dash,path_fly_close_small_029,1210030151,Dash,1210030151,Dash,1210030151,Dash,1210030151,Dash,path_grd_mid_small_043,5.0,1220050151,Dash,1220050151,Dash,1220050151,Dash,1220050151,Dash,path_fly_mid_elite2_808,3210040151,Dash,3210040151,Dash,3310020251,Dash,3310020251,Dash,path_grd_mid_special_065,5.0,1220040151,Jump,1220040151,Jump,1220050151,Drop,3320060151,Drop,33,36,0,,0.0,12.0,path_grd_close_small_042,6.0,1220040151.0,Dash,1220040151.0,Dash,1220050151.0,Dash,1220050151.0,Dash,path_grd_close_small_042,4.0,1220050151.0,Dash,1220050151.0,Dash,1220040151.0,Dash,1220040151.0,Dash
6414009,wave_simulationroom_003,Campaign,90,7,True,False,point_grd_arkcity_004,point_fly_arkcity_004,sbg_arkcity_004,ArcCity,Day,ibg_arkcity_001,2320050151,path_grd_close_elite1_801,2220010151,Dash,2220010151.0,Dash,2220040151.0,Drop,2320030251.0,Drop,path_grd_mid_small_055,2220010151,Drop,2220010151,Drop,2220010151,Drop,2320030251,Drop,path_fly_close_special_046,10.0,2110010151,Dash,2110010151,Dash,3210040151,Drop,3210030151,Drop,path_grd_mid_small_037,2220010151,Dash,2220010151,Dash,2220010151,Dash,3220020151,Dash,path_grd_close_elite3_813,0.0,2220010151,Drop,2320030251,Drop,2320030251,Drop,2320050151,Drop,path_grd_mid_small_043,2220010151,Dash,2220040151,Dash,2220010151,Dash,2220040151,Dash,path_grd_mid_small_070,8.0,2220010151,Dash,2220010151,Dash,2220010151,Dash,2220040151,Normal,33,24,0,5.0,,,,,,,,,,,,,,,,,,,,,,
6414010,wave_simulationroom_003,Campaign,90,7,True,False,point_grd_arkcity_005,point_fly_arkcity_005,sbg_arkcity_005,ArcCity,Day,ibg_arkcity_001,2320020151,path_grd_close_small_054,1220040151,Drop,1220040151.0,Drop,1220040151.0,Drop,3320040251.0,Drop,path_grd_mid_elite1_802,1220040151,Dash,1220040151,Dash,2220050151,Drop,2320060251,Drop,path_fly_close_small_049,5.0,3210010151,Dash,3210010151,Dash,3210010151,Dash,1210040151,Dash,path_grd_mid_small_043,1220040151,Dash,1220040151,Dash,3220020151,Dash,3220020151,Dash,path_grd_mid_elite3_811,0.0,1220040151,Dash,3320040251,Drop,3320040251,Drop,2320020151,Drop,path_grd_mid_small_043,1220040151,Dash,1220040151,Dash,3220020151,Dash,3220020151,Dash,path_fly_mid_small_050,,3210010151,Dash,3210010151,Dash,3210010151,Dash,1210040151,Dash,12,36,0,,10.0,12.0,,,,,,,,,,,,,,,,,,,,
