stage_id,group_id,spot_mod,battle_time,monster_count,use_intro_scene,wave_repeat,point_data,point_data_fly,background_name,theme,theme_time,stage_info_bg,target_list/0,wave_data/0/wave_path,wave_data/0/wave_monster_list/0/wave_monster_id,wave_data/0/wave_monster_list/0/spawn_type,wave_data/0/wave_monster_list/1/wave_monster_id,wave_data/0/wave_monster_list/1/spawn_type,wave_data/0/wave_monster_list/2/wave_monster_id,wave_data/0/wave_monster_list/2/spawn_type,wave_data/0/wave_monster_list/3/wave_monster_id,wave_data/0/wave_monster_list/3/spawn_type,wave_data/1/wave_path,wave_data/1/private_monster_count,wave_data/1/wave_monster_list/0/wave_monster_id,wave_data/1/wave_monster_list/0/spawn_type,wave_data/1/wave_monster_list/1/wave_monster_id,wave_data/1/wave_monster_list/1/spawn_type,wave_data/1/wave_monster_list/2/wave_monster_id,wave_data/1/wave_monster_list/2/spawn_type,wave_data/1/wave_monster_list/3/wave_monster_id,wave_data/1/wave_monster_list/3/spawn_type,wave_data/2/wave_path,wave_data/2/private_monster_count,wave_data/2/wave_monster_list/0/wave_monster_id,wave_data/2/wave_monster_list/0/spawn_type,wave_data/2/wave_monster_list/1/wave_monster_id,wave_data/2/wave_monster_list/1/spawn_type,wave_data/2/wave_monster_list/2/wave_monster_id,wave_data/2/wave_monster_list/2/spawn_type,wave_data/2/wave_monster_list/3/wave_monster_id,wave_data/2/wave_monster_list/3/spawn_type,wave_data/3/wave_path,wave_data/3/private_monster_count,wave_data/3/wave_monster_list/0/wave_monster_id,wave_data/3/wave_monster_list/0/spawn_type,wave_data/3/wave_monster_list/1/wave_monster_id,wave_data/3/wave_monster_list/1/spawn_type,wave_data/3/wave_monster_list/2/wave_monster_id,wave_data/3/wave_monster_list/2/spawn_type,wave_data/3/wave_monster_list/3/wave_monster_id,wave_data/3/wave_monster_list/3/spawn_type,wave_data/4/wave_path,wave_data/4/private_monster_count,wave_data/4/wave_monster_list/0/wave_monster_id,wave_data/4/wave_monster_list/0/spawn_type,wave_data/4/wave_monster_list/1/wave_monster_id,wave_data/4/wave_monster_list/1/spawn_type,wave_data/4/wave_monster_list/2/wave_monster_id,wave_data/4/wave_monster_list/2/spawn_type,wave_data/4/wave_monster_list/3/wave_monster_id,wave_data/4/wave_monster_list/3/spawn_type,close_monster_count,mid_monster_count,far_monster_count,wave_data/5/wave_path,wave_data/5/private_monster_count,wave_data/5/wave_monster_list/0/wave_monster_id,wave_data/5/wave_monster_list/0/spawn_type,wave_data/5/wave_monster_list/1/wave_monster_id,wave_data/5/wave_monster_list/1/spawn_type,wave_data/5/wave_monster_list/2/wave_monster_id,wave_data/5/wave_monster_list/2/spawn_type,wave_data/5/wave_monster_list/3/wave_monster_id,wave_data/5/wave_monster_list/3/spawn_type,wave_data/6/wave_path,wave_data/6/private_monster_count,wave_data/6/wave_monster_list/0/wave_monster_id,wave_data/6/wave_monster_list/0/spawn_type,wave_data/6/wave_monster_list/1/wave_monster_id,wave_data/6/wave_monster_list/1/spawn_type,wave_data/6/wave_monster_list/2/wave_monster_id,wave_data/6/wave_monster_list/2/spawn_type,wave_data/6/wave_monster_list/3/wave_monster_id,wave_data/6/wave_monster_list/3/spawn_type,wave_data/7/wave_path,wave_data/7/private_monster_count,wave_data/7/wave_monster_list/0/wave_monster_id,wave_data/7/wave_monster_list/0/spawn_type,wave_data/7/wave_monster_list/1/wave_monster_id,wave_data/7/wave_monster_list/1/spawn_type,wave_data/7/wave_monster_list/2/wave_monster_id,wave_data/7/wave_monster_list/2/spawn_type,wave_data/7/wave_monster_list/3/wave_monster_id,wave_data/7/wave_monster_list/3/spawn_type,mod_value,wave_data/8/wave_path,wave_data/8/wave_monster_list/0/wave_monster_id,wave_data/8/wave_monster_list/0/spawn_type,wave_data/8/wave_monster_list/1/wave_monster_id,wave_data/8/wave_monster_list/1/spawn_type,wave_data/8/wave_monster_list/2/wave_monster_id,wave_data/8/wave_monster_list/2/spawn_type,wave_data/8/wave_monster_list/3/wave_monster_id,wave_data/8/wave_monster_list/3/spawn_type,wave_data/8/private_monster_count
6210001,wave_tower_default_001,Campaign,90,3,True,False,point_grd_tower_001,point_fly_tower_001,sbg_tower_001,Tower,Day,ibg_tower_001,1310020151.0,path_fly_close_small_017,3210010151,Drop,3210010151.0,Drop,2110010151.0,Dash,2110010151.0,Dash,path_fly_mid_small_030,6.0,2210010151.0,Drop,2210010151.0,Drop,2210010151.0,Drop,3310030251.0,Drop,path_grd_close_small_013,3.0,2220020151.0,Dash,2220020151.0,Dash,2220020151.0,Dash,2220040151.0,Dash,path_fly_close_elite1_801,0.0,3210010151.0,Dash,3210010151.0,Dash,2210010151.0,Drop,1310020151.0,Drop,path_fly_mid_small_039,7.0,2210010151.0,Dash,2210010151.0,Dash,2210010151.0,Dash,2210010151.0,Dash,21,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6210002,wave_tower_default_001,Campaign,90,3,True,False,point_grd_tower_002,point_fly_tower_002,sbg_tower_002,Tower,Day,ibg_tower_001,3320070151.0,path_grd_mid_special_025,3120010151,Drop,3120010151.0,Drop,3120010151.0,Drop,3120010151.0,Drop,path_grd_close_small_067,12.0,1220040151.0,Dash,1220040151.0,Dash,1220040151.0,Dash,2320020251.0,Drop,path_grd_mid_special_065,,1120010151.0,Dash,1120010151.0,Dash,1120010151.0,Dash,1120010151.0,Dash,path_grd_mid_special_025,0.0,1120010151.0,Drop,1120010151.0,Drop,2220040151.0,Drop,3320070151.0,Drop,path_grd_mid_small_046,13.0,1220040151.0,Drop,1220040151.0,Drop,1220040151.0,Drop,1220040151.0,Drop,6,66,0,path_fly_mid_special_047,6.0,2110010151.0,Dash,2110010151.0,Dash,2110010151.0,Dash,2110010151.0,Dash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6210003,wave_tower_default_001,Campaign,90,4,True,False,point_grd_tower_004,point_fly_tower_004,sbg_tower_004,Tower,Day,ibg_tower_001,1320010151.0,path_grd_mid_small_052,3220070151,Dash,3220070151.0,Dash,3220070151.0,Dash,3220070151.0,Dash,path_fly_mid_small_033,6.0,3210010151.0,Drop,3210010151.0,Drop,3210010151.0,Drop,2310020251.0,Drop,path_grd_mid_small_070,3.0,3220060151.0,Drop,3220060151.0,Drop,3220060151.0,Drop,2220040151.0,Drop,path_grd_mid_small_043,7.0,3220070151.0,Dash,3220070151.0,Dash,3220070151.0,Dash,3220070151.0,Dash,path_grd_mid_elite1_802,0.0,3220070151.0,Drop,3220070151.0,Drop,3220060151.0,Drop,1320010151.0,Drop,6,33,0,path_grd_close_small_072,9.0,3220050151.0,Dash,3220050151.0,Dash,3220050151.0,Dash,3220020151.0,Dash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6210004,wave_tower_default_001,Campaign,90,4,True,False,point_grd_tower_005,point_fly_tower_005,sbg_tower_005,Tower,Day,ibg_tower_001,1320040151.0,path_grd_close_small_048,3120010151,Dash,1220040151.0,Drop,1220040151.0,Drop,1220040151.0,Drop,path_grd_close_small_054,6.0,1220040151.0,Drop,2220040151.0,Drop,2220040151.0,Drop,2320050251.0,Drop,path_fly_mid_small_053,3.0,3210020151.0,Drop,3210020151.0,Drop,3210020151.0,Drop,3210030151.0,Drop,path_grd_close_elite1_801,0.0,1220040151.0,Dash,1220040151.0,Dash,2220040151.0,Drop,1320040151.0,Drop,path_grd_mid_small_012,7.0,3220060151.0,Dash,3220060151.0,Dash,3220060151.0,Dash,3220060151.0,Dash,21,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6210005,wave_tower_default_001,Campaign,90,5,True,False,point_grd_tower_001,point_fly_tower_001,sbg_tower_001,Tower,Day,ibg_tower_001,3320020151.0,path_grd_close_small_054,3220030151,Drop,3220030151.0,Drop,2220040151.0,Drop,2320030251.0,Drop,path_grd_mid_elite1_802,,3220070151.0,Dash,3220070151.0,Dash,3220070151.0,Drop,1320010251.0,Drop,path_fly_mid_special_047,14.0,2110010151.0,Dash,2110010151.0,Dash,3210030151.0,Drop,3210030151.0,Drop,path_grd_far_small_044,,3220070151.0,Dash,3220070151.0,Dash,3220070151.0,Dash,3220070151.0,Dash,path_grd_mid_elite2_808,0.0,3220030151.0,Dash,3220030151.0,Dash,2320020251.0,Drop,3320020151.0,Dash,6,33,24,path_grd_far_small_071,7.0,3220070151.0,Dash,3220070151.0,Dash,3220070151.0,Dash,2220040151.0,Dash,path_grd_far_small_038,14.0,3220070151.0,Dash,3220070151.0,Dash,3220070151.0,Dash,3220070151.0,Dash,path_grd_far_small_044,5.0,3220070151.0,Dash,3220070151.0,Dash,3220070151.0,Dash,3220070151.0,Dash,,,,,,,,,,,
6210006,wave_tower_default_001,Campaign,90,4,True,False,point_grd_tower_004,point_fly_tower_004,sbg_tower_004,Tower,Day,ibg_tower_001,3310010151.0,path_grd_mid_small_037,3220060151,Dash,3220060151.0,Dash,3220060151.0,Dash,1320040251.0,Dash,path_grd_far_small_041,4.0,3220060151.0,Dash,3220060151.0,Dash,3220060151.0,Dash,2220050151.0,Dash,path_fly_far_small_031,4.0,1210010151.0,Drop,1210010151.0,Drop,1210010151.0,Drop,1210010151.0,Drop,path_fly_mid_elite2_805,0.0,1210010151.0,Jump,1210010151.0,Jump,1210040151.0,Drop,3310010151.0,Drop,path_grd_far_small_044,,3220060151.0,Dash,3220060151.0,Dash,3220060151.0,Dash,3220060151.0,Dash,0,15,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6210007,wave_tower_default_001,Campaign,90,4,True,False,point_grd_tower_001,point_fly_tower_001,sbg_tower_001,Tower,Day,ibg_tower_001,3320010151.0,path_fly_far_small_019,3210010151,Drop,3210010151.0,Drop,2210010151.0,Dash,2210010151.0,Dash,path_fly_mid_elite1_802,6.0,3210010151.0,Drop,3210010151.0,Drop,1210040151.0,Drop,1310020251.0,Drop,path_grd_mid_small_058,4.0,3220040151.0,Dash,3220040151.0,Dash,3220040151.0,Dash,3220040151.0,Dash,path_grd_mid_elite1_802,0.0,3220040151.0,Jump,3220040151.0,Jump,2220040151.0,Drop,3320010151.0,Drop,path_fly_far_small_040,,2210010151.0,Dash,2210010151.0,Dash,2210010151.0,Dash,2210010151.0,Dash,0,24,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6210008,wave_tower_default_001,Campaign,90,4,True,False,point_grd_tower_005,point_fly_tower_005,sbg_tower_005,Tower,Day,ibg_tower_001,3310010151.0,path_grd_mid_small_037,3220060151,Dash,3220060151.0,Dash,3220060151.0,Dash,1320040251.0,Dash,path_grd_far_small_041,4.0,3220060151.0,Dash,3220060151.0,Dash,3220060151.0,Dash,2220050151.0,Dash,path_fly_far_small_031,4.0,1210010151.0,Drop,1210010151.0,Drop,1210010151.0,Drop,1210010151.0,Drop,path_fly_mid_elite2_805,0.0,1210010151.0,Jump,1210010151.0,Jump,1210040151.0,Drop,3310010151.0,Drop,path_grd_far_small_044,,3220060151.0,Dash,3220060151.0,Dash,3220060151.0,Dash,3220060151.0,Dash,0,15,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6210009,wave_tower_default_001,Campaign,90,4,True,False,point_grd_tower_001,point_fly_tower_001,sbg_tower_001,Tower,Day,ibg_tower_001,3320050151.0,path_grd_close_small_067,3220030151,Dash,3220030151.0,Dash,1220050151.0,Dash,2320020251.0,Dash,path_grd_mid_small_012,4.0,3220030151.0,Dash,3220030151.0,Dash,3220030151.0,Dash,2220040151.0,Dash,path_grd_mid_small_046,6.0,1220050151.0,Drop,1220050151.0,Drop,1220050151.0,Drop,1220050151.0,Drop,path_grd_close_elite1_801,0.0,2120010151.0,Drop,2120010151.0,Drop,2220040151.0,Drop,3320050151.0,Drop,path_grd_mid_small_043,7.0,1220050151.0,Dash,1220050151.0,Dash,1220050151.0,Dash,1220050151.0,Dash,15,33,0,path_grd_mid_special_065,3.0,2120010151.0,Dash,2120010151.0,Dash,1220050151.0,Drop,1220050151.0,Drop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6210010,wave_tower_default_001,Campaign,90,6,True,False,point_grd_tower_003,point_fly_tower_003,sbg_tower_003,Tower,Day,ibg_tower_001,1320060151.0,path_grd_close_small_067,2220030151,Dash,2220030151.0,Dash,2220050151.0,Drop,2320020251.0,Drop,path_grd_mid_elite2_805,,2220030151.0,Dash,2220030151.0,Dash,2320050251.0,Dash,2320050251.0,Dash,path_fly_close_small_049,,1210030151.0,Dash,1210030151.0,Dash,1210030151.0,Dash,1210040151.0,Dash,path_grd_mid_small_011,11.0,2220030151.0,Dash,2220030151.0,Dash,2220030151.0,Dash,2220030151.0,Dash,path_grd_mid_small_049,0.0,2220030151.0,Drop,2220030151.0,Drop,2220030151.0,Drop,2220030151.0,Dash,21,36,0,path_grd_close_elite2_807,5.0,2220040151.0,Dash,2220040151.0,Dash,1320030251.0,Drop,1320060151.0,Drop,path_grd_mid_special_025,12.0,2220030151.0,Jump,2220030151.0,Jump,2220030151.0,Drop,2220040151.0,Drop,,,,,,,,,,,,,,,,,,,,,
