stage_id,group_id,spot_mod,battle_time,monster_count,use_intro_scene,wave_repeat,point_data,point_data_fly,background_name,theme,theme_time,stage_info_bg,target_list/0,wave_data/0/wave_path,wave_data/0/wave_monster_list/0/wave_monster_id,wave_data/0/wave_monster_list/0/spawn_type,wave_data/0/wave_monster_list/1/wave_monster_id,wave_data/0/wave_monster_list/1/spawn_type,wave_data/0/wave_monster_list/2/wave_monster_id,wave_data/0/wave_monster_list/2/spawn_type,wave_data/0/wave_monster_list/3/wave_monster_id,wave_data/0/wave_monster_list/3/spawn_type,wave_data/1/wave_path,wave_data/1/private_monster_count,wave_data/1/wave_monster_list/0/wave_monster_id,wave_data/1/wave_monster_list/0/spawn_type,wave_data/1/wave_monster_list/1/wave_monster_id,wave_data/1/wave_monster_list/1/spawn_type,wave_data/1/wave_monster_list/2/wave_monster_id,wave_data/1/wave_monster_list/2/spawn_type,wave_data/1/wave_monster_list/3/wave_monster_id,wave_data/1/wave_monster_list/3/spawn_type,wave_data/2/wave_path,wave_data/2/private_monster_count,wave_data/2/wave_monster_list/0/wave_monster_id,wave_data/2/wave_monster_list/0/spawn_type,wave_data/2/wave_monster_list/1/wave_monster_id,wave_data/2/wave_monster_list/1/spawn_type,wave_data/2/wave_monster_list/2/wave_monster_id,wave_data/2/wave_monster_list/2/spawn_type,wave_data/2/wave_monster_list/3/wave_monster_id,wave_data/2/wave_monster_list/3/spawn_type,wave_data/3/wave_path,wave_data/3/private_monster_count,wave_data/3/wave_monster_list/0/wave_monster_id,wave_data/3/wave_monster_list/0/spawn_type,wave_data/3/wave_monster_list/1/wave_monster_id,wave_data/3/wave_monster_list/1/spawn_type,wave_data/3/wave_monster_list/2/wave_monster_id,wave_data/3/wave_monster_list/2/spawn_type,wave_data/3/wave_monster_list/3/wave_monster_id,wave_data/3/wave_monster_list/3/spawn_type,wave_data/4/wave_path,wave_data/4/wave_monster_list/0/wave_monster_id,wave_data/4/wave_monster_list/0/spawn_type,wave_data/4/wave_monster_list/1/wave_monster_id,wave_data/4/wave_monster_list/1/spawn_type,wave_data/4/wave_monster_list/2/wave_monster_id,wave_data/4/wave_monster_list/2/spawn_type,wave_data/4/wave_monster_list/3/wave_monster_id,wave_data/4/wave_monster_list/3/spawn_type,close_monster_count,mid_monster_count,far_monster_count,wave_data/4/private_monster_count,wave_data/5/wave_path,wave_data/5/private_monster_count,wave_data/5/wave_monster_list/0/wave_monster_id,wave_data/5/wave_monster_list/0/spawn_type,wave_data/5/wave_monster_list/1/wave_monster_id,wave_data/5/wave_monster_list/1/spawn_type,wave_data/5/wave_monster_list/2/wave_monster_id,wave_data/5/wave_monster_list/2/spawn_type,wave_data/5/wave_monster_list/3/wave_monster_id,wave_data/5/wave_monster_list/3/spawn_type,wave_data/6/wave_path,wave_data/6/wave_monster_list/0/wave_monster_id,wave_data/6/wave_monster_list/0/spawn_type,wave_data/6/wave_monster_list/1/wave_monster_id,wave_data/6/wave_monster_list/1/spawn_type,wave_data/6/wave_monster_list/2/wave_monster_id,wave_data/6/wave_monster_list/2/spawn_type,wave_data/6/wave_monster_list/3/wave_monster_id,wave_data/6/wave_monster_list/3/spawn_type,wave_data/6/private_monster_count,wave_data/7/wave_path,wave_data/7/private_monster_count,wave_data/7/wave_monster_list/0/wave_monster_id,wave_data/7/wave_monster_list/0/spawn_type,wave_data/7/wave_monster_list/1/wave_monster_id,wave_data/7/wave_monster_list/1/spawn_type,wave_data/7/wave_monster_list/2/wave_monster_id,wave_data/7/wave_monster_list/2/spawn_type,wave_data/7/wave_monster_list/3/wave_monster_id,wave_data/7/wave_monster_list/3/spawn_type
6503501,wave_eventdungeon_014,Campaign,90,5,True,False,point_grd_arkcityday_005,point_fly_arkcityday_005,sbg_arkcityday_005,ArkCityDay,Day,ibg_arkcityday_001,3320010141,path_grd_close_small_001,2220020141,Drop,2220020141.0,Drop,2220020141.0,Dash,2220020141.0,Dash,path_grd_close_special_024,4.0,1220040141.0,Drop,1120010141.0,Drop,1120010141.0,Drop,1320040241.0,Drop,path_fly_mid_small_050,6.0,2210020141.0,Dash,2210020141.0,Dash,2210020141.0,Dash,3210030141.0,Dash,path_grd_close_elite1_801,0.0,3220040141.0,Dash,3220040141.0,Dash,3220040141.0,Drop,3320010141.0,Drop,path_grd_mid_small_043,3220050141.0,Dash,3220050141.0,Dash,3220050141.0,Dash,3220050141.0,Dash,21,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6503502,wave_eventdungeon_014,Campaign,90,5,True,False,point_grd_arkcityday_004,point_fly_arkcityday_004,sbg_arkcityday_004,ArkCityDay,Day,ibg_arkcityday_001,1310020141,path_fly_mid_small_018,3210010141,Drop,3210010141.0,Drop,3210010141.0,Dash,3210010141.0,Dash,path_fly_close_special_046,6.0,2210010141.0,Drop,1110010141.0,Drop,1110010141.0,Drop,1310030241.0,Drop,path_grd_close_small_013,6.0,1220020141.0,Dash,1220020141.0,Dash,1220020141.0,Dash,1220020141.0,Dash,path_fly_close_elite1_801,0.0,3210010141.0,Dash,3210010141.0,Dash,2210010141.0,Drop,1310020141.0,Drop,path_fly_mid_small_050,2210010141.0,Dash,2210010141.0,Dash,2210010141.0,Dash,3210030141.0,Dash,30,12,0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6503503,wave_eventdungeon_014,Campaign,90,5,True,False,point_grd_arkcityday_001,point_fly_arkcityday_001,sbg_arkcityday_001,ArkCityDay,Day,ibg_arkcityday_001,3320070141,path_grd_close_small_001,1220020141,Drop,1220020141.0,Drop,1220020141.0,Dash,1220020141.0,Dash,path_grd_mid_elite1_802,7.0,1120010141.0,Jump,1120010141.0,Jump,2220030141.0,Drop,3320070241.0,Drop,path_fly_mid_small_053,6.0,2210010141.0,Dash,2210010141.0,Dash,2210010141.0,Dash,3210030141.0,Dash,path_grd_mid_special_065,0.0,1120010141.0,Dash,1120010141.0,Dash,2220030141.0,Drop,3320070141.0,Drop,path_fly_mid_special_016,1110010141.0,Drop,1110010141.0,Drop,2210020141.0,Drop,3210030141.0,Drop,6,34,11,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6503504,wave_eventdungeon_014,Campaign,90,5,True,False,point_grd_arkcityday_002,point_fly_arkcityday_002,sbg_arkcityday_002,ArkCityDay,Day,ibg_arkcityday_001,3310040141,path_grd_mid_small_052,3220040141,Drop,3220040141.0,Drop,3220040141.0,Drop,3220040141.0,Drop,path_fly_mid_special_047,7.0,1110010141.0,Jump,1110010141.0,Jump,2210010141.0,Drop,3310040241.0,Drop,path_grd_close_small_042,7.0,3220050141.0,Dash,3220050141.0,Dash,3220040141.0,Dash,2220040141.0,Dash,path_fly_mid_elite1_802,0.0,3210010141.0,Dash,3210010141.0,Dash,3210030141.0,Drop,3310040141.0,Drop,path_grd_close_small_069,3220050141.0,Drop,3220050141.0,Drop,3220040141.0,Drop,3220040141.0,Drop,12,30,0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6503505,wave_eventdungeon_014,Campaign,90,5,True,False,point_grd_arkcityday_003,point_fly_arkcityday_003,sbg_arkcityday_003,ArkCityDay,Day,ibg_arkcityday_001,2310020141,path_grd_mid_small_002,1220060141,Dash,1220060141.0,Dash,1220060141.0,Dash,1220060141.0,Dash,path_fly_mid_elite1_802,,2210020141.0,Dash,2210020141.0,Dash,2210040141.0,Drop,2310020241.0,Drop,path_fly_mid_small_039,7.0,2210020141.0,Drop,2210020141.0,Drop,2210020141.0,Drop,2210020141.0,Drop,path_fly_mid_small_039,0.0,2210020141.0,Drop,2210020141.0,Drop,2210040141.0,Drop,2210040141.0,Drop,path_fly_mid_elite1_802,2210020141.0,Dash,2210020141.0,Dash,2210040141.0,Drop,2310020141.0,Drop,0,42,0,8.0,path_grd_mid_small_043,8.0,1220060141.0,Dash,1220060141.0,Dash,1220060141.0,Dash,1220060141.0,Dash,,,,,,,,,,,,,,,,,,,,
6503506,wave_eventdungeon_014,Campaign,90,5,True,False,point_grd_arkcityday_004,point_fly_arkcityday_004,sbg_arkcityday_004,ArkCityDay,Day,ibg_arkcityday_001,1320040141,path_grd_mid_small_008,3220050141,Drop,3220050141.0,Drop,3220060141.0,Dash,3220060141.0,Dash,path_grd_mid_special_025,7.0,2120010141.0,Jump,2120010141.0,Jump,2220010141.0,Drop,1320030241.0,Drop,path_fly_mid_elite1_802,4.0,1210030141.0,Drop,2210010141.0,Drop,2210010141.0,Drop,1210040141.0,Drop,path_grd_mid_elite1_802,0.0,2220010141.0,Dash,2220010141.0,Dash,3220060141.0,Drop,1320040141.0,Drop,path_fly_mid_small_021,1210010141.0,Drop,1210010141.0,Drop,1210010141.0,Drop,3210030141.0,Drop,0,60,0,10.0,path_grd_mid_special_025,,3120010141.0,Jump,3120010141.0,Jump,3120010141.0,Drop,3120010141.0,Drop,,,,,,,,,,,,,,,,,,,,
6503507,wave_eventdungeon_014,Campaign,90,5,True,False,point_grd_arkcityday_001,point_fly_arkcityday_001,sbg_arkcityday_001,ArkCityDay,Day,ibg_arkcityday_001,2320020141,path_grd_mid_small_002,2220020141,Drop,2220020141.0,Drop,2220010141.0,Dash,2220010141.0,Dash,path_grd_mid_elite1_802,7.0,3220050141.0,Dash,3220050141.0,Dash,2220050141.0,Drop,2320020241.0,Drop,path_grd_far_small_071,8.0,3220060141.0,Dash,3220060141.0,Dash,3220060141.0,Dash,2220050141.0,Drop,path_fly_mid_small_030,,3210020141.0,Jump,3210020141.0,Jump,1210010141.0,Jump,1210010141.0,Jump,path_grd_mid_elite1_802,2220020141.0,Dash,2220020141.0,Dash,2220040141.0,Drop,2320020141.0,Drop,0,22,20,0.0,path_grd_far_small_047,6.0,3220060141.0,Jump,3220060141.0,Jump,3220060141.0,Jump,3220060141.0,Jump,,,,,,,,,,,,,,,,,,,,
6503508,wave_eventdungeon_014,Campaign,90,5,True,False,point_grd_arkcityday_005,point_fly_arkcityday_005,sbg_arkcityday_005,ArkCityDay,Day,ibg_arkcityday_001,1310030141,path_grd_mid_small_052,2220030141,Drop,2220030141.0,Drop,2220030141.0,Drop,2220030141.0,Drop,path_fly_mid_elite1_802,,3210020141.0,Dash,3210020141.0,Dash,1210040141.0,Drop,1310030241.0,Drop,path_fly_mid_small_050,8.0,3210020141.0,Dash,3210020141.0,Dash,3210020141.0,Dash,1210040141.0,Dash,path_fly_mid_elite2_805,0.0,3210020141.0,Drop,3210020141.0,Drop,1310010241.0,Drop,1310030141.0,Drop,path_grd_mid_small_052,2220030141.0,Drop,2220030141.0,Drop,2220030141.0,Drop,2220030141.0,Drop,0,42,0,8.0,path_fly_mid_small_050,7.0,3210020141.0,Dash,3210020141.0,Dash,3210020141.0,Dash,1210040141.0,Dash,,,,,,,,,,,,,,,,,,,,
6503509,wave_eventdungeon_014,Campaign,90,5,True,False,point_grd_arkcityday_003,point_fly_arkcityday_003,sbg_arkcityday_003,ArkCityDay,Day,ibg_arkcityday_001,3310050141,path_grd_close_small_001,3220030141,Jump,3220030141.0,Jump,3220030141.0,Dash,2220040141.0,Dash,path_fly_mid_elite1_802,7.0,3210010141.0,Dash,3210010141.0,Dash,3210010141.0,Dash,3310050241.0,Dash,path_grd_close_small_051,,2220010141.0,Dash,2220010141.0,Dash,2220040141.0,Dash,2220010141.0,Dash,path_fly_mid_elite1_802,0.0,1210010141.0,Dash,1210010141.0,Dash,3210030141.0,Drop,3310050141.0,Drop,path_grd_close_small_042,3220050141.0,Dash,3220050141.0,Dash,3220050141.0,Dash,2220040141.0,Dash,18,33,0,,path_grd_mid_special_025,,3120010141.0,Jump,3120010141.0,Jump,3120010141.0,Drop,3120010141.0,Drop,,,,,,,,,,,,,,,,,,,,
6503510,wave_eventdungeon_014,Campaign,90,5,True,False,point_grd_arkcityday_002,point_fly_arkcityday_002,sbg_arkcityday_002,ArkCityDay,Day,ibg_arkcityday_001,2310040141,path_grd_mid_small_052,2220010141,Dash,2220010141.0,Dash,3220060141.0,Dash,3220060141.0,Dash,path_fly_mid_elite1_802,6.0,3210010141.0,Dash,3210010141.0,Dash,3210030141.0,Drop,1310010241.0,Drop,path_fly_mid_small_050,,1210010141.0,Dash,1210010141.0,Dash,1210010141.0,Dash,1210040141.0,Dash,path_fly_mid_elite1_802,0.0,1210020141.0,Dash,1210020141.0,Dash,1210040141.0,Drop,2310040141.0,Drop,path_grd_mid_special_025,3120010141.0,Dash,3120010141.0,Dash,3220060141.0,Drop,3220020141.0,Drop,0,45,0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
