stage_id,group_id,spot_mod,battle_time,monster_count,use_intro_scene,wave_repeat,point_data,point_data_fly,background_name,theme,theme_time,stage_info_bg,target_list/0,wave_data/0/wave_path,wave_data/0/wave_monster_list/0/wave_monster_id,wave_data/0/wave_monster_list/0/spawn_type,wave_data/0/wave_monster_list/1/wave_monster_id,wave_data/0/wave_monster_list/1/spawn_type,wave_data/0/wave_monster_list/2/wave_monster_id,wave_data/0/wave_monster_list/2/spawn_type,wave_data/0/wave_monster_list/3/wave_monster_id,wave_data/0/wave_monster_list/3/spawn_type,wave_data/1/wave_path,wave_data/1/private_monster_count,wave_data/1/wave_monster_list/0/wave_monster_id,wave_data/1/wave_monster_list/0/spawn_type,wave_data/1/wave_monster_list/1/wave_monster_id,wave_data/1/wave_monster_list/1/spawn_type,wave_data/1/wave_monster_list/2/wave_monster_id,wave_data/1/wave_monster_list/2/spawn_type,wave_data/1/wave_monster_list/3/wave_monster_id,wave_data/1/wave_monster_list/3/spawn_type,wave_data/2/wave_path,wave_data/2/wave_monster_list/0/wave_monster_id,wave_data/2/wave_monster_list/0/spawn_type,wave_data/2/wave_monster_list/1/wave_monster_id,wave_data/2/wave_monster_list/1/spawn_type,wave_data/2/wave_monster_list/2/wave_monster_id,wave_data/2/wave_monster_list/2/spawn_type,wave_data/2/wave_monster_list/3/wave_monster_id,wave_data/2/wave_monster_list/3/spawn_type,wave_data/3/wave_path,wave_data/3/private_monster_count,wave_data/3/wave_monster_list/0/wave_monster_id,wave_data/3/wave_monster_list/0/spawn_type,wave_data/3/wave_monster_list/1/wave_monster_id,wave_data/3/wave_monster_list/1/spawn_type,wave_data/3/wave_monster_list/2/wave_monster_id,wave_data/3/wave_monster_list/2/spawn_type,wave_data/3/wave_monster_list/3/wave_monster_id,wave_data/3/wave_monster_list/3/spawn_type,wave_data/4/wave_path,wave_data/4/private_monster_count,wave_data/4/wave_monster_list/0/wave_monster_id,wave_data/4/wave_monster_list/0/spawn_type,wave_data/4/wave_monster_list/1/wave_monster_id,wave_data/4/wave_monster_list/1/spawn_type,wave_data/4/wave_monster_list/2/wave_monster_id,wave_data/4/wave_monster_list/2/spawn_type,wave_data/4/wave_monster_list/3/wave_monster_id,wave_data/4/wave_monster_list/3/spawn_type,close_monster_count,mid_monster_count,far_monster_count,wave_data/2/private_monster_count,wave_data/5/wave_path,wave_data/5/private_monster_count,wave_data/5/wave_monster_list/0/wave_monster_id,wave_data/5/wave_monster_list/0/spawn_type,wave_data/5/wave_monster_list/1/wave_monster_id,wave_data/5/wave_monster_list/1/spawn_type,wave_data/5/wave_monster_list/2/wave_monster_id,wave_data/5/wave_monster_list/2/spawn_type,wave_data/5/wave_monster_list/3/wave_monster_id,wave_data/5/wave_monster_list/3/spawn_type,wave_data/6/wave_path,wave_data/6/private_monster_count,wave_data/6/wave_monster_list/0/wave_monster_id,wave_data/6/wave_monster_list/0/spawn_type,wave_data/6/wave_monster_list/1/wave_monster_id,wave_data/6/wave_monster_list/1/spawn_type,wave_data/6/wave_monster_list/2/wave_monster_id,wave_data/6/wave_monster_list/2/spawn_type,wave_data/6/wave_monster_list/3/wave_monster_id,wave_data/6/wave_monster_list/3/spawn_type,wave_data/7/wave_path,wave_data/7/private_monster_count,wave_data/7/wave_monster_list/0/wave_monster_id,wave_data/7/wave_monster_list/0/spawn_type,wave_data/7/wave_monster_list/1/wave_monster_id,wave_data/7/wave_monster_list/1/spawn_type,wave_data/7/wave_monster_list/2/wave_monster_id,wave_data/7/wave_monster_list/2/spawn_type,wave_data/7/wave_monster_list/3/wave_monster_id,wave_data/7/wave_monster_list/3/spawn_type,mod_value,wave_data/8/wave_path,wave_data/8/private_monster_count,wave_data/8/wave_monster_list/0/wave_monster_id,wave_data/8/wave_monster_list/0/spawn_type,wave_data/8/wave_monster_list/1/wave_monster_id,wave_data/8/wave_monster_list/1/spawn_type,wave_data/8/wave_monster_list/2/wave_monster_id,wave_data/8/wave_monster_list/2/spawn_type,wave_data/8/wave_monster_list/3/wave_monster_id,wave_data/8/wave_monster_list/3/spawn_type,wave_data/9/wave_path,wave_data/9/private_monster_count,wave_data/9/wave_monster_list/0/wave_monster_id,wave_data/9/wave_monster_list/0/spawn_type,wave_data/9/wave_monster_list/1/wave_monster_id,wave_data/9/wave_monster_list/1/spawn_type,wave_data/9/wave_monster_list/2/wave_monster_id,wave_data/9/wave_monster_list/2/spawn_type,wave_data/9/wave_monster_list/3/wave_monster_id,wave_data/9/wave_monster_list/3/spawn_type
6117001,wave_lostsector_004,Campaign,90,5,True,False,point_grd_lostsector_003,point_fly_lostsector_003,sbg_lostsector_003,lostsector,Day,ibg_lostsector_001,1310020121.0,path_fly_mid_small_018,3210010121,Drop,3210010121,Drop,2110010121,Dash,2110010121,Dash,path_fly_close_small_029,6.0,2210010121,Drop,2210010121,Drop,2210010121,Drop,1310030221,Drop,path_grd_close_small_013,2220020121,Dash,2220020121,Dash,2220020121,Dash,2220020121,Dash,path_fly_close_elite1_801,0.0,3210010121,Dash,3210010121,Dash,2210010121,Drop,1310020121,Drop,path_fly_mid_small_039,7.0,2210010121,Dash,2210010121,Dash,2210010121,Dash,2210010121,Dash,21,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6117002,wave_lostsector_004,Campaign,90,5,True,False,point_grd_lostsector_005,point_fly_lostsector_005,sbg_lostsector_005,lostsector,Day,ibg_lostsector_001,3320010121.0,path_grd_mid_small_052,1220060121,Dash,1220060121,Dash,1220060121,Dash,3220080121,Drop,path_fly_close_elite1_801,6.0,3210010121,Dash,3210010121,Dash,3210030121,Drop,1310020221,Drop,path_grd_mid_small_058,3220040121,Dash,3220040121,Dash,3220040121,Dash,2220040121,Dash,path_grd_close_elite1_801,0.0,1220060121,Dash,1220060121,Dash,2220040121,Drop,3320010121,Drop,path_fly_close_special_046,6.0,2210010121,Dash,2210010121,Dash,2210010121,Drop,1210040121,Drop,33,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6117003,wave_lostsector_004,Campaign,90,7,True,False,point_grd_lostsector_002,point_fly_lostsector_002,sbg_lostsector_002,lostsector,Day,ibg_lostsector_001,1320030121.0,path_grd_close_special_064,2120010121,Jump,2120010121,Jump,3220040121,Drop,3320010221,Drop,path_grd_mid_elite2_805,12.0,3220040121,Drop,2220040121,Drop,2320010221,Jump,3220080121,Drop,path_fly_mid_small_024,2210010121,Drop,2210010121,Drop,2210010121,Drop,2310040221,Drop,path_fly_close_small_038,8.0,3210040121,Dash,3210040121,Dash,3210040121,Dash,3210040121,Dash,path_grd_mid_elite3_811,0.0,3220040121,Drop,3320010221,Drop,3320010221,Drop,2320010221,Drop,36,30,0,10.0,path_grd_close_elite1_801,10.0,3220040121.0,Jump,3220040121.0,Jump,3220080121.0,Drop,1320030121.0,Drop,path_fly_mid_small_005,8.0,2210010121.0,Dash,2210010121.0,Dash,2210010121.0,Dash,2210010121.0,Dash,path_fly_close_small_007,12.0,2210010121.0,Dash,2210010121.0,Dash,2210010121.0,Dash,2210010121.0,Dash,,,,,,,,,,,,,,,,,,,,,
6117004,wave_lostsector_004,Campaign,90,5,True,False,point_grd_lostsector_003,point_fly_lostsector_003,sbg_lostsector_003,lostsector,Day,ibg_lostsector_001,1320060121.0,path_grd_mid_small_055,2220010121,Drop,2220010121,Drop,2220010121,Drop,2220040121,Drop,path_grd_close_elite1_801,7.0,2220010121,Dash,2220010121,Dash,1220050121,Drop,1320060221,Drop,path_grd_close_small_010,2220010121,Dash,2220010121,Dash,2220010121,Dash,2220040121,Dash,path_grd_close_elite1_801,0.0,2220010121,Dash,2220010121,Dash,2220040121,Drop,1320060121,Drop,path_grd_mid_small_073,6.0,2220010121,Dash,2220010121,Dash,2220010121,Dash,2220040121,Dash,24,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6117005,wave_lostsector_004,BaseDefense,60,6,True,True,point_grd_lostsector_004_midclear,point_fly_lostsector_004,sbg_lostsector_004_midclear,lostsector,Day,ibg_lostsector_basedefense_001,,path_grd_close_small_042,1220010121,Dash,1220010121,Dash,1220010121,Dash,3220080121,Drop,path_grd_close_small_051,,1220010121,Jump,1220050121,Jump,1220010121,Jump,1220050121,Jump,path_grd_mid_small_070,1220040121,Dash,1220040121,Dash,1220040121,Dash,1220050121,Drop,path_grd_mid_special_025,3.0,3120010121,Jump,3120010121,Jump,1220050121,Drop,1320030221,Drop,path_fly_mid_small_030,10.0,3210040121,Drop,3210040121,Drop,3210040121,Drop,3220080121,Drop,27,39,0,,path_grd_mid_small_070,8.0,1220010121.0,Dash,1220010121.0,Dash,1220010121.0,Dash,2220040121.0,Jump,path_grd_close_small_051,,1220050121.0,Jump,1220050121.0,Jump,1220050121.0,Jump,1220050121.0,Jump,path_grd_mid_small_075,5.0,1220010121.0,Drop,1220010121.0,Drop,1220010121.0,Drop,2220040121.0,Drop,normal,path_grd_close_elite1_801,7.0,1220010121.0,Jump,1220010121.0,Jump,1220050121.0,Drop,1320030221.0,Drop,,,,,,,,,,
6117006,wave_lostsector_004,Campaign,90,7,True,False,point_grd_lostsector_004,point_fly_lostsector_004,sbg_lostsector_004,lostsector,Day,ibg_lostsector_001,2320070121.0,path_grd_close_small_004,3220030121,Dash,3220030121,Dash,3220040121,Dash,3220040121,Dash,path_grd_mid_small_040,,3220040121,Dash,3220040121,Dash,2220030121,Dash,1320020221,Drop,path_grd_close_small_067,3220040121,Jump,2220010121,Jump,2220010121,Jump,2320020221,Drop,path_grd_mid_small_011,,2220010121,Jump,3220030121,Jump,2220010121,Jump,3220080121,Drop,path_grd_mid_elite2_805,0.0,3220030121,Dash,2220010121,Dash,2320020221,Dash,2320070121,Drop,24,30,0,10.0,path_grd_close_small_067,,2220010121.0,Dash,3220030121.0,Dash,3220030121.0,Dash,3220080121.0,Drop,path_grd_mid_elite2_805,8.0,3220040121.0,Drop,3220040121.0,Drop,2320020221.0,Drop,1320020221.0,Drop,path_grd_close_small_004,,3220030121.0,Dash,3220030121.0,Dash,3220040121.0,Dash,3220040121.0,Dash,,,,,,,,,,,,,,,,,,,,,
6117007,wave_lostsector_004,Campaign,90,7,True,False,point_grd_lostsector_001,point_fly_lostsector_001,sbg_lostsector_001,lostsector,Day,ibg_lostsector_001,1320040111.0,path_grd_close_special_064,2120010111,Dash,2120010111,Dash,2120010111,Dash,2120010111,Dash,path_grd_close_small_054,12.0,3220050111,Jump,3220050111,Jump,3220050111,Jump,3320010211,Drop,path_fly_close_special_044,1110010111,Drop,1110010111,Drop,1110010111,Drop,1110010111,Drop,path_grd_close_special_064,0.0,2120010111,Dash,2120010111,Dash,3220050111,Drop,1320040111,Drop,path_grd_mid_small_070,11.0,3220050111,Dash,3220050111,Dash,3220050111,Dash,2220040111,Dash,66,6,0,,path_grd_close_special_024,5.0,2120010111.0,Dash,2120010111.0,Dash,2120010111.0,Dash,2120010111.0,Dash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6117008,wave_lostsector_004,Campaign,90,5,True,False,point_grd_lostsector_002,point_fly_lostsector_002,sbg_lostsector_002,lostsector,Day,ibg_lostsector_001,3310020111.0,path_fly_close_small_029,3210020111,Drop,3210020111,Drop,3210020111,Drop,2310020211,Drop,path_grd_mid_small_037,7.0,3220010111,Dash,3220010111,Jump,3220010111,Dash,3220080111,Drop,path_grd_mid_small_040,3220010111,Dash,3220010111,Jump,3220010111,Dash,1220050111,Jump,path_fly_mid_special_016,0.0,3110010111,Drop,3110010111,Drop,3210020111,Drop,3310020111,Drop,path_grd_mid_small_012,7.0,3220010111,Dash,3220010111,Dash,3220010111,Dash,3220080111,Drop,6,33,0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6117009,wave_lostsector_004,Campaign,90,5,True,False,point_grd_lostsector_005,point_fly_lostsector_005,sbg_lostsector_005,lostsector,Day,ibg_lostsector_001,2310020121.0,path_grd_close_small_007,2220020121,Drop,2220020121,Drop,1220050121,Drop,1320030221,Drop,path_fly_mid_small_036,4.0,2210020121,Dash,2210020121,Dash,2210020121,Dash,2210020121,Dash,path_fly_close_special_044,3210040121,Drop,3210040121,Drop,3210010121,Drop,3210030121,Drop,path_grd_mid_elite1_802,0.0,2120010121,Dash,2120010121,Dash,1220050121,Drop,3320060221,Drop,path_fly_close_special_046,10.0,2110010121,Dash,2110010121,Dash,3210040121,Drop,2310020121,Drop,42,15,0,6.0,path_fly_close_small_035,3.0,3210040121.0,Dash,3210040121.0,Dash,3210040121.0,Dash,3210040121.0,Dash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6117010,wave_lostsector_004,Campaign,90,5,True,False,point_grd_lostsector_001,point_fly_lostsector_001,sbg_lostsector_001,lostsector,Day,ibg_lostsector_001,3320010121.0,path_grd_mid_special_025,1120010121,Jump,1120010121,Jump,3220050121,Drop,2320050221,Drop,path_fly_close_small_029,7.0,3210010121,Dash,3210010121,Dash,3210010121,Dash,3210030121,Dash,path_grd_mid_small_058,3220040121,Dash,3220040121,Dash,3220040121,Dash,3220040121,Dash,path_grd_mid_elite1_802,0.0,3220050121,Dash,3220050121,Dash,2220040121,Drop,2320050221,Drop,path_grd_close_small_045,6.0,3220040121,Jump,3220040121,Jump,3220040121,Jump,3320010121,Dash,12,30,0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
