stage_id,group_id,spot_mod,battle_time,monster_count,use_intro_scene,wave_repeat,point_data,point_data_fly,background_name,theme,theme_time,stage_info_bg,target_list/0,wave_data/0/wave_path,wave_data/0/wave_monster_list/0/wave_monster_id,wave_data/0/wave_monster_list/0/spawn_type,wave_data/0/wave_monster_list/1/wave_monster_id,wave_data/0/wave_monster_list/1/spawn_type,wave_data/0/wave_monster_list/2/wave_monster_id,wave_data/0/wave_monster_list/2/spawn_type,wave_data/0/wave_monster_list/3/wave_monster_id,wave_data/0/wave_monster_list/3/spawn_type,wave_data/1/wave_path,wave_data/1/private_monster_count,wave_data/1/wave_monster_list/0/wave_monster_id,wave_data/1/wave_monster_list/0/spawn_type,wave_data/1/wave_monster_list/1/wave_monster_id,wave_data/1/wave_monster_list/1/spawn_type,wave_data/1/wave_monster_list/2/wave_monster_id,wave_data/1/wave_monster_list/2/spawn_type,wave_data/1/wave_monster_list/3/wave_monster_id,wave_data/1/wave_monster_list/3/spawn_type,wave_data/2/wave_path,wave_data/2/private_monster_count,wave_data/2/wave_monster_list/0/wave_monster_id,wave_data/2/wave_monster_list/0/spawn_type,wave_data/2/wave_monster_list/1/wave_monster_id,wave_data/2/wave_monster_list/1/spawn_type,wave_data/2/wave_monster_list/2/wave_monster_id,wave_data/2/wave_monster_list/2/spawn_type,wave_data/2/wave_monster_list/3/wave_monster_id,wave_data/2/wave_monster_list/3/spawn_type,wave_data/3/wave_path,wave_data/3/private_monster_count,wave_data/3/wave_monster_list/0/wave_monster_id,wave_data/3/wave_monster_list/0/spawn_type,wave_data/3/wave_monster_list/1/wave_monster_id,wave_data/3/wave_monster_list/1/spawn_type,wave_data/3/wave_monster_list/2/wave_monster_id,wave_data/3/wave_monster_list/2/spawn_type,wave_data/3/wave_monster_list/3/wave_monster_id,wave_data/3/wave_monster_list/3/spawn_type,wave_data/4/wave_path,wave_data/4/private_monster_count,wave_data/4/wave_monster_list/0/wave_monster_id,wave_data/4/wave_monster_list/0/spawn_type,wave_data/4/wave_monster_list/1/wave_monster_id,wave_data/4/wave_monster_list/1/spawn_type,wave_data/4/wave_monster_list/2/wave_monster_id,wave_data/4/wave_monster_list/2/spawn_type,wave_data/4/wave_monster_list/3/wave_monster_id,wave_data/4/wave_monster_list/3/spawn_type,close_monster_count,mid_monster_count,far_monster_count,wave_data/5/wave_path,wave_data/5/private_monster_count,wave_data/5/wave_monster_list/0/wave_monster_id,wave_data/5/wave_monster_list/0/spawn_type,wave_data/5/wave_monster_list/1/wave_monster_id,wave_data/5/wave_monster_list/1/spawn_type,wave_data/5/wave_monster_list/2/wave_monster_id,wave_data/5/wave_monster_list/2/spawn_type,wave_data/5/wave_monster_list/3/wave_monster_id,wave_data/5/wave_monster_list/3/spawn_type,wave_data/6/wave_path,wave_data/6/private_monster_count,wave_data/6/wave_monster_list/0/wave_monster_id,wave_data/6/wave_monster_list/0/spawn_type,wave_data/6/wave_monster_list/1/wave_monster_id,wave_data/6/wave_monster_list/1/spawn_type,wave_data/6/wave_monster_list/2/wave_monster_id,wave_data/6/wave_monster_list/2/spawn_type,wave_data/6/wave_monster_list/3/wave_monster_id,wave_data/6/wave_monster_list/3/spawn_type,mod_value,wave_data/7/wave_path,wave_data/7/private_monster_count,wave_data/7/wave_monster_list/0/wave_monster_id,wave_data/7/wave_monster_list/0/spawn_type,wave_data/7/wave_monster_list/1/wave_monster_id,wave_data/7/wave_monster_list/1/spawn_type,wave_data/7/wave_monster_list/2/wave_monster_id,wave_data/7/wave_monster_list/2/spawn_type,wave_data/7/wave_monster_list/3/wave_monster_id,wave_data/7/wave_monster_list/3/spawn_type,wave_data/8/wave_path,wave_data/8/private_monster_count,wave_data/8/wave_monster_list/0/wave_monster_id,wave_data/8/wave_monster_list/0/spawn_type,wave_data/8/wave_monster_list/1/wave_monster_id,wave_data/8/wave_monster_list/1/spawn_type,wave_data/8/wave_monster_list/2/wave_monster_id,wave_data/8/wave_monster_list/2/spawn_type,wave_data/8/wave_monster_list/3/wave_monster_id,wave_data/8/wave_monster_list/3/spawn_type,wave_data/9/wave_path,wave_data/9/private_monster_count,wave_data/9/wave_monster_list/0/wave_monster_id,wave_data/9/wave_monster_list/0/spawn_type,wave_data/9/wave_monster_list/1/wave_monster_id,wave_data/9/wave_monster_list/1/spawn_type,wave_data/9/wave_monster_list/2/wave_monster_id,wave_data/9/wave_monster_list/2/spawn_type,wave_data/9/wave_monster_list/3/wave_monster_id,wave_data/9/wave_monster_list/3/spawn_type
7023001,wave_campaign_hard_009,Campaign,90,5,true,false,point_grd_arkcityday_001,point_fly_arkcityday_001,sbg_arkcityday_001,ArkCityDay,Night,ibg_arkcityday_001,3320070121,path_grd_mid_small_002,1220010121,Dash,1220010121,Dash,1120010121,Drop,1120010121,Drop,path_grd_mid_small_011,6,2220030121,Drop,2220030121,Drop,2220030121,Drop,3320010221,Drop,path_fly_mid_small_024,8,3210010121,Drop,3210010121,Drop,3210010121,Drop,3210010121,Drop,path_grd_mid_elite1_802,0,2220030121,Dash,2220030121,Dash,2220030121,Drop,3320070121,Drop,path_grd_close_small_072,8,1220010121,Dash,1220010121,Dash,1220010121,Dash,3220020121,Dash,6,19,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7023002,wave_campaign_hard_009,Campaign,90,5,true,false,point_grd_arkcityday_003,point_fly_arkcityday_003,sbg_arkcityday_003,ArkCityDay,Night,ibg_arkcityday_001,2320050121,path_grd_mid_special_025,1120010121,Jump,1120010121,Jump,3220050121,Drop,2320050221,Drop,path_fly_mid_small_030,10,1210020121,Drop,1210020121,Drop,1210020121,Drop,3210040121,Drop,path_grd_close_small_013,4,1220050121,Dash,1220050121,Dash,1220050121,Dash,1220050121,Dash,path_grd_mid_elite1_802,0,3220050121,Dash,3220050121,Dash,1220050121,Drop,1320030221,Drop,path_grd_mid_special_025,6,3120010121,Dash,3120010121,Dash,1220050121,Drop,2320050121,Dash,6,51,0,path_grd_mid_small_043,3,1220050121,Dash,1220050121,Dash,1220050121,Dash,2220040121,Dash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7023003,wave_campaign_hard_009,Campaign,90,5,true,false,point_grd_arkcityday_005,point_fly_arkcityday_005,sbg_arkcityday_005,ArkCityDay,Night,ibg_arkcityday_001,2320070121,path_grd_mid_special_065,3120010121,Dash,3120010121,Dash,2220020121,Drop,2320070221,Drop,path_grd_far_small_074,12,2220020121,Dash,2220020121,Dash,2220020121,Dash,2220040121,Dash,path_fly_mid_small_005,,3210010121,Dash,3210010121,Dash,3210010121,Dash,3210030121,Dash,path_fly_mid_elite1_802,0,3210010121,Dash,3210010121,Dash,3210030121,Drop,2310010221,Drop,path_grd_far_small_071,7,2220020121,Dash,2220020121,Dash,3220060121,Dash,2320070121,Jump,0,30,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7023004,wave_campaign_hard_009,Campaign,90,5,true,false,point_grd_arkcityday_002,point_fly_arkcityday_002,sbg_arkcityday_002,ArkCityDay,Night,ibg_arkcityday_001,2320030121,path_grd_close_small_067,3220030121,Dash,3220030121,Dash,3220030121,Drop,2320020221,Drop,path_grd_mid_small_012,,3220030121,Dash,3220030121,Dash,1220050121,Dash,1220050121,Dash,path_grd_mid_small_046,4,1220050121,Drop,1220050121,Drop,1220050121,Drop,1220050121,Drop,path_grd_close_elite1_801,0,2120010121,Jump,2120010121,Jump,2220040121,Drop,3320050221,Drop,path_grd_mid_small_043,6,1220050121,Dash,1220050121,Dash,1220050121,Dash,2320030121,Dash,30,18,0,path_grd_close_special_064,3,2120010121,Dash,2120010121,Dash,1220050121,Drop,1220050121,Drop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7023005,wave_campaign_hard_009,Campaign,90,5,true,false,point_grd_arkcityday_004,point_fly_arkcityday_004,sbg_arkcityday_004,ArkCityDay,Night,ibg_arkcityday_001,3320010121,path_grd_mid_special_025,1120010121,Jump,1120010121,Jump,3220050121,Drop,2320050221,Drop,path_fly_close_small_029,7,3210010121,Dash,3210010121,Dash,3210010121,Dash,3210030121,Dash,path_grd_mid_small_058,7,3220040121,Dash,3220040121,Dash,3220040121,Dash,3220040121,Dash,path_grd_mid_elite1_802,0,3220050121,Dash,3220050121,Dash,2220040121,Drop,2320050221,Drop,path_grd_close_small_045,6,3220040121,Jump,3220040121,Jump,3220040121,Jump,3320010121,Dash,12,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7023006,wave_campaign_hard_009,Campaign,90,7,true,false,point_grd_arkcityday_001,point_fly_arkcityday_001,sbg_arkcityday_001,ArkCityDay,Night,ibg_arkcityday_001,2320060121,path_grd_mid_small_052,1220020121,Dash,1220020121,Dash,1220020121,Dash,1220020121,Dash,path_grd_mid_small_049,,1220020121,Drop,1220020121,Drop,1220020121,Drop,2220050121,Drop,path_grd_close_elite2_807,8,1220020121,Dash,3220020121,Dash,2320060221,Drop,3320080221,Drop,path_fly_mid_small_030,,2210020121,Drop,2210020121,Drop,2210020121,Drop,1210040121,Drop,path_grd_mid_elite1_802,0,1220020121,Dash,3220020121,Dash,3320040221,Drop,2320060121,Drop,9,26,13,path_fly_mid_small_053,5,2210020121,Drop,2210020121,Drop,2210020121,Drop,1210040121,Drop,path_grd_mid_small_052,10,2220020121,Dash,2220020121,Dash,2220020121,Dash,3220020121,Dash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7023007,wave_campaign_hard_009,Campaign,90,5,true,false,point_grd_arkcityday_003,point_fly_arkcityday_003,sbg_arkcityday_003,ArkCityDay,Night,ibg_arkcityday_001,3320030121,path_grd_mid_small_040,1220060121,Dash,1220060121,Dash,1220060121,Dash,1220060121,Dash,path_fly_mid_small_005,7,1210020121,Dash,1210020121,Dash,1210020121,Dash,1210040121,Dash,path_fly_mid_small_050,7,1210030121,Dash,1210030121,Dash,1210030121,Dash,1210040121,Dash,path_fly_mid_elite1_802,0,3210010121,Dash,3210010121,Dash,1210010121,Drop,1310010221,Drop,path_grd_mid_small_043,7,2220030121,Jump,3220020121,Jump,2220030121,Jump,3320030121,Dash,0,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7023008,wave_campaign_hard_009,BaseDefense,60,6,true,true,point_grd_arkcityday_004_midclear,point_fly_arkcityday_004,sbg_arkcityday_004_midclear,ArkCityDay,Night,ibg_arkcityday_basedefense_001,,path_grd_mid_small_049,3220050121,Drop,3220050121,Drop,3220050121,Drop,3220020121,Drop,path_grd_mid_small_043,5,3220050121,Jump,3220020121,Jump,3220050121,Jump,3220020121,Jump,path_grd_mid_small_040,10,3220050121,Dash,3220050121,Dash,3220020121,Dash,3220020121,Dash,path_grd_mid_elite1_802,3,3220020121,Dash,3220020121,Dash,2220050121,Drop,2320030221,Drop,path_grd_close_small_069,10,3220020121,Dash,3220020121,Dash,3220020121,Dash,2220050121,Dash,6,48,0,path_fly_mid_small_030,,3220020121,Drop,3220020121,Drop,3220020121,Drop,1210040121,Drop,path_grd_mid_small_075,5,3220050121,Jump,3220020121,Jump,3220050121,Jump,3220020121,Jump,normal,path_grd_mid_elite1_802,7,3220020121,Dash,3220020121,Dash,2220050121,Drop,2320030221,Drop,,,,,,,,,,,,,,,,,,,,
7023009,wave_campaign_hard_009,Campaign,90,7,true,false,point_grd_arkcityday_005,point_fly_arkcityday_005,sbg_arkcityday_005,ArkCityDay,Night,ibg_arkcityday_001,3320070121,path_fly_mid_small_021,1210010121,Drop,1210010121,Drop,1210010121,Drop,1210010121,Drop,path_grd_close_elite2_804,,2220030121,Dash,2220030121,Dash,2320050221,Jump,2320050221,Jump,path_grd_far_small_044,,2220030121,Dash,2220030121,Dash,2220030121,Dash,2220030121,Dash,path_fly_mid_small_039,10,1210010121,Drop,1210010121,Drop,1210010121,Drop,1210010121,Drop,path_grd_mid_special_065,0,2220030121,Dash,2220030121,Dash,2220030121,Drop,3320070121,Drop,6,39,12,path_fly_mid_elite1_802,10,1210010121,Dash,1210010121,Dash,3210030121,Drop,1310030221,Drop,path_grd_far_small_044,5,3220060121,Dash,3220060121,Dash,3220060121,Dash,3220060121,Dash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7023010,wave_campaign_hard_009,Campaign,90,7,true,false,point_grd_arkcityday_002,point_fly_arkcityday_002,sbg_arkcityday_002,ArkCityDay,Night,ibg_arkcityday_001,2320020121,path_grd_mid_special_025,1120010121,Jump,1120010121,Jump,3220020121,Drop,3320050221,Drop,path_fly_mid_small_036,7,3210030121,Dash,2210040121,Dash,3210010121,Dash,2210040121,Dash,path_grd_mid_small_058,7,3220030121,Dash,3220030121,Dash,3220030121,Dash,2220040121,Dash,path_fly_mid_small_042,,3210010121,Dash,3210010121,Dash,3210030121,Drop,3210010121,Drop,path_fly_mid_small_030,0,1210010121,Drop,1210010121,Drop,2210040121,Drop,2310050221,Drop,0,54,0,path_grd_mid_elite1_802,,3220030121,Dash,3220030121,Dash,2220040121,Drop,2320020121,Jump,path_grd_mid_small_043,,2220030121,Dash,2220030121,Dash,2220030121,Dash,2220040121,Dash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
