stage_id,group_id,spot_mod,battle_time,monster_count,use_intro_scene,wave_repeat,point_data,point_data_fly,background_name,theme,theme_time,stage_info_bg,close_monster_count,mid_monster_count,far_monster_count,mod_value,target_list/0,wave_data/0/wave_path,wave_data/1/wave_path,wave_data/1/private_monster_count,wave_data/2/wave_path,wave_data/2/private_monster_count,wave_data/3/wave_path,wave_data/3/private_monster_count,wave_data/4/wave_path,wave_data/4/private_monster_count,wave_data/5/wave_path,wave_data/5/private_monster_count,wave_data/6/wave_path,wave_data/6/private_monster_count,wave_data/7/wave_path,wave_data/7/private_monster_count,wave_data/8/wave_path,wave_data/8/private_monster_count,wave_data/9/wave_path,wave_data/9/private_monster_count,wave_data/0/wave_monster_list/0/wave_monster_id,wave_data/0/wave_monster_list/0/spawn_type,wave_data/0/wave_monster_list/1/wave_monster_id,wave_data/0/wave_monster_list/1/spawn_type,wave_data/0/wave_monster_list/2/wave_monster_id,wave_data/0/wave_monster_list/2/spawn_type,wave_data/0/wave_monster_list/3/wave_monster_id,wave_data/0/wave_monster_list/3/spawn_type,wave_data/1/wave_monster_list/0/wave_monster_id,wave_data/1/wave_monster_list/0/spawn_type,wave_data/1/wave_monster_list/1/wave_monster_id,wave_data/1/wave_monster_list/1/spawn_type,wave_data/1/wave_monster_list/2/wave_monster_id,wave_data/1/wave_monster_list/2/spawn_type,wave_data/1/wave_monster_list/3/wave_monster_id,wave_data/1/wave_monster_list/3/spawn_type,wave_data/2/wave_monster_list/0/wave_monster_id,wave_data/2/wave_monster_list/0/spawn_type,wave_data/2/wave_monster_list/1/wave_monster_id,wave_data/2/wave_monster_list/1/spawn_type,wave_data/2/wave_monster_list/2/wave_monster_id,wave_data/2/wave_monster_list/2/spawn_type,wave_data/2/wave_monster_list/3/wave_monster_id,wave_data/2/wave_monster_list/3/spawn_type,wave_data/3/wave_monster_list/0/wave_monster_id,wave_data/3/wave_monster_list/0/spawn_type,wave_data/3/wave_monster_list/1/wave_monster_id,wave_data/3/wave_monster_list/1/spawn_type,wave_data/3/wave_monster_list/2/wave_monster_id,wave_data/3/wave_monster_list/2/spawn_type,wave_data/3/wave_monster_list/3/wave_monster_id,wave_data/3/wave_monster_list/3/spawn_type,wave_data/4/wave_monster_list/0/wave_monster_id,wave_data/4/wave_monster_list/0/spawn_type,wave_data/4/wave_monster_list/1/wave_monster_id,wave_data/4/wave_monster_list/1/spawn_type,wave_data/4/wave_monster_list/2/wave_monster_id,wave_data/4/wave_monster_list/2/spawn_type,wave_data/4/wave_monster_list/3/wave_monster_id,wave_data/4/wave_monster_list/3/spawn_type,wave_data/5/wave_monster_list/0/wave_monster_id,wave_data/5/wave_monster_list/0/spawn_type,wave_data/5/wave_monster_list/1/wave_monster_id,wave_data/5/wave_monster_list/1/spawn_type,wave_data/5/wave_monster_list/2/wave_monster_id,wave_data/5/wave_monster_list/2/spawn_type,wave_data/5/wave_monster_list/3/wave_monster_id,wave_data/5/wave_monster_list/3/spawn_type,wave_data/6/wave_monster_list/0/wave_monster_id,wave_data/6/wave_monster_list/0/spawn_type,wave_data/6/wave_monster_list/1/wave_monster_id,wave_data/6/wave_monster_list/1/spawn_type,wave_data/6/wave_monster_list/2/wave_monster_id,wave_data/6/wave_monster_list/2/spawn_type,wave_data/6/wave_monster_list/3/wave_monster_id,wave_data/6/wave_monster_list/3/spawn_type,wave_data/7/wave_monster_list/0/wave_monster_id,wave_data/7/wave_monster_list/0/spawn_type,wave_data/7/wave_monster_list/1/wave_monster_id,wave_data/7/wave_monster_list/1/spawn_type,wave_data/7/wave_monster_list/2/wave_monster_id,wave_data/7/wave_monster_list/2/spawn_type,wave_data/7/wave_monster_list/3/wave_monster_id,wave_data/7/wave_monster_list/3/spawn_type,wave_data/8/wave_monster_list/0/wave_monster_id,wave_data/8/wave_monster_list/0/spawn_type,wave_data/8/wave_monster_list/1/wave_monster_id,wave_data/8/wave_monster_list/1/spawn_type,wave_data/8/wave_monster_list/2/wave_monster_id,wave_data/8/wave_monster_list/2/spawn_type,wave_data/8/wave_monster_list/3/wave_monster_id,wave_data/8/wave_monster_list/3/spawn_type,wave_data/9/wave_monster_list/0/wave_monster_id,wave_data/9/wave_monster_list/0/spawn_type,wave_data/9/wave_monster_list/1/wave_monster_id,wave_data/9/wave_monster_list/1/spawn_type,wave_data/9/wave_monster_list/2/wave_monster_id,wave_data/9/wave_monster_list/2/spawn_type,wave_data/9/wave_monster_list/3/wave_monster_id,wave_data/9/wave_monster_list/3/spawn_type
6230751,wave_tower_missilis_009,Campaign,90,5,True,False,point_grd_tower_003,point_fly_tower_003,sbg_tower_003,Tower,Missilis,ibg_tower_001,30,12,0,,3320010111.0,path_grd_close_small_001,path_grd_close_special_024,4.0,path_fly_mid_small_050,6.0,path_grd_close_elite1_801,0.0,path_grd_mid_small_043,,,,,,,,,,,,2220020111,Drop,2220020111.0,Drop,2220020111.0,Dash,2220020111.0,Dash,1220040111.0,Drop,1120010111.0,Drop,1120010111.0,Drop,1320040211.0,Drop,2210020111.0,Dash,2210020111.0,Dash,2210020111.0,Dash,3210030111.0,Dash,3220040111.0,Dash,3220040111.0,Dash,3220040111.0,Drop,3320010111.0,Drop,3220050111.0,Dash,3220050111.0,Dash,3220050111.0,Dash,3220050111.0,Dash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6230752,wave_tower_missilis_009,Campaign,90,5,True,False,point_grd_tower_001,point_fly_tower_001,sbg_tower_001,Tower,Missilis,ibg_tower_001,0,42,0,,3320070111.0,path_grd_mid_small_055,path_grd_mid_elite2_805,,path_fly_mid_small_027,10.0,path_grd_mid_elite3_814,0.0,path_fly_mid_small_027,8.0,path_grd_mid_small_061,10.0,,,,,,,,,3220050111,Drop,3220050111.0,Drop,3220050111.0,Drop,3220050111.0,Drop,3220050111.0,Drop,3220050111.0,Drop,3320070211.0,Dash,3320070211.0,Dash,2210030111.0,Drop,1210020111.0,Dash,1210020111.0,Dash,1210020111.0,Dash,3220050111.0,Drop,3320070211.0,Jump,3320070211.0,Jump,3320070111.0,Jump,2210030111.0,Drop,1210020111.0,Dash,1210020111.0,Dash,1210020111.0,Dash,3220050111.0,Dash,3220050111.0,Dash,3220050111.0,Dash,3220050111.0,Dash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6230753,wave_tower_missilis_009,Campaign,90,5,True,False,point_grd_tower_004,point_fly_tower_004,sbg_tower_004,Tower,Missilis,ibg_tower_001,0,42,0,,2310020111.0,path_grd_mid_small_002,path_fly_mid_elite1_802,,path_fly_mid_small_039,7.0,path_fly_mid_small_039,0.0,path_fly_mid_elite1_802,8.0,path_grd_mid_small_043,8.0,,,,,,,,,1220060111,Dash,1220060111.0,Dash,1220060111.0,Dash,1220060111.0,Dash,2210020111.0,Dash,2210020111.0,Dash,2210040111.0,Drop,2310020211.0,Drop,2210020111.0,Drop,2210020111.0,Drop,2210020111.0,Drop,2210020111.0,Drop,2210020111.0,Drop,2210020111.0,Drop,2210040111.0,Drop,2210040111.0,Drop,2210020111.0,Dash,2210020111.0,Dash,2210040111.0,Drop,2310020111.0,Drop,1220060111.0,Dash,1220060111.0,Dash,1220060111.0,Dash,1220060111.0,Dash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6230754,wave_tower_missilis_009,Campaign,90,7,True,False,point_grd_tower_002,point_fly_tower_002,sbg_tower_002,Tower,Missilis,ibg_tower_001,0,42,0,,3310020111.0,path_grd_mid_small_002,path_fly_mid_elite2_808,5.0,path_grd_mid_small_043,10.0,path_fly_mid_elite3_811,0.0,path_grd_mid_small_052,10.0,path_fly_mid_small_002,,,,,,,,,,1220010111,Dash,1220010111.0,Dash,1220010111.0,Dash,1220010111.0,Dash,2210020111.0,Dash,1210010111.0,Dash,3310020211.0,Drop,3310020211.0,Drop,1220010111.0,Dash,1220010111.0,Dash,1220010111.0,Dash,1220010111.0,Dash,2210020111.0,Dash,3310020211.0,Drop,3310020211.0,Drop,3310020111.0,Drop,1220010111.0,Jump,1220010111.0,Jump,1220010111.0,Drop,1220010111.0,Drop,2210020111.0,Dash,2210020111.0,Dash,1210010111.0,Dash,1210010111.0,Dash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6230755,wave_tower_missilis_009,Campaign,90,7,True,False,point_grd_tower_005,point_fly_tower_005,sbg_tower_005,Tower,Missilis,ibg_tower_001,9,39,0,,2320060111.0,path_grd_mid_small_052,path_grd_close_elite2_807,,path_grd_mid_small_049,8.0,path_fly_mid_small_030,,path_grd_mid_elite1_802,0.0,path_fly_mid_small_053,5.0,path_grd_mid_small_052,10.0,,,,,,,1220020111,Dash,1220020111.0,Dash,1220020111.0,Dash,1220020111.0,Dash,1220020111.0,Dash,3220020111.0,Dash,2320060211.0,Drop,2320060211.0,Drop,1220020111.0,Drop,1220020111.0,Drop,1220020111.0,Drop,2220050111.0,Drop,2210020111.0,Drop,2210020111.0,Drop,2210020111.0,Drop,1210040111.0,Drop,1220020111.0,Dash,3220020111.0,Dash,3320040211.0,Drop,2320060111.0,Drop,2210020111.0,Drop,2210020111.0,Drop,2210020111.0,Drop,1210040111.0,Drop,2220020111.0,Dash,2220020111.0,Dash,2220020111.0,Dash,3220020111.0,Dash,,,,,,,,,,,,,,,,,,,,,,,,
6230756,wave_tower_missilis_009,Campaign,90,7,True,False,point_grd_tower_003,point_fly_tower_003,sbg_tower_003,Tower,Missilis,ibg_tower_001,15,54,0,,1320030111.0,path_fly_mid_small_018,path_grd_mid_elite2_805,5.0,path_fly_mid_special_016,10.0,path_grd_mid_elite2_808,0.0,path_fly_close_special_046,10.0,path_grd_mid_elite2_805,,path_fly_mid_small_002,8.0,,,,,,,1210030111,Dash,1210030111.0,Dash,1210030111.0,Dash,1210030111.0,Dash,2220010111.0,Dash,2120010111.0,Dash,3320010211.0,Dash,1320030211.0,Drop,1210030111.0,Dash,2110010111.0,Dash,1210030111.0,Dash,3210030111.0,Dash,2220010111.0,Dash,2220010111.0,Dash,3320010211.0,Drop,1320030111.0,Drop,1210030111.0,Dash,2110010111.0,Dash,1210030111.0,Dash,3210030111.0,Dash,2220010111.0,Dash,2120010111.0,Dash,2220010111.0,Dash,2220010111.0,Dash,1210030111.0,Dash,1210030111.0,Dash,1210030111.0,Dash,1210030111.0,Dash,,,,,,,,,,,,,,,,,,,,,,,,
6230757,wave_tower_missilis_009,Campaign,90,7,True,False,point_grd_tower_002,point_fly_tower_002,sbg_tower_002,Tower,Missilis,ibg_tower_001,0,48,21,,3320020111.0,path_grd_mid_elite1_802,path_grd_far_small_059,6.0,path_fly_mid_special_047,9.0,path_grd_far_small_044,12.0,path_fly_mid_elite2_808,0.0,path_grd_far_elite1_803,8.0,path_grd_mid_special_065,,,,,,,,3220060111,Dash,3220060111.0,Dash,3220070111.0,Drop,3320030211.0,Dash,3220060111.0,Dash,3220060111.0,Dash,3220060111.0,Dash,1320010211.0,Dash,2110010111.0,Dash,2110010111.0,Dash,1210010111.0,Drop,1210010111.0,Drop,3220070111.0,Dash,3220060111.0,Dash,3220070111.0,Dash,3220060111.0,Dash,1210010111.0,Dash,1210010111.0,Dash,3310030211.0,Dash,3310030211.0,Dash,3220060111.0,Jump,3220060111.0,Jump,3220070111.0,Drop,3320020111.0,Drop,3220060111.0,Dash,3220060111.0,Dash,3220070111.0,Dash,3220070111.0,Dash,,,,,,,,,,,,,,,,,,,,,,,,
6230758,wave_tower_missilis_009,Campaign,90,7,True,False,point_grd_tower_001,point_fly_tower_001,sbg_tower_001,Tower,Missilis,ibg_tower_001,9,39,0,,2320060111.0,path_grd_mid_small_049,path_fly_mid_small_036,,path_grd_mid_elite1_802,5.0,path_fly_mid_small_030,10.0,path_grd_close_elite1_801,0.0,path_grd_mid_small_055,10.0,path_fly_mid_small_030,6.0,,,,,,,1220030111,Jump,1220030111.0,Jump,1220030111.0,Jump,2320030211.0,Jump,3210020111.0,Dash,3210020111.0,Dash,3210020111.0,Dash,3210020111.0,Dash,1220020111.0,Dash,1220020111.0,Dash,2220050111.0,Drop,2320030211.0,Drop,1210030111.0,Jump,1210030111.0,Jump,1210030111.0,Jump,1210030111.0,Jump,1220030111.0,Dash,1220030111.0,Dash,2320030211.0,Drop,2220050111.0,Drop,1220020111.0,Jump,1220020111.0,Jump,1220020111.0,Jump,2320060111.0,Drop,3210020111.0,Drop,3210020111.0,Drop,3210020111.0,Drop,3210020111.0,Drop,,,,,,,,,,,,,,,,,,,,,,,,
6230759,wave_tower_missilis_009,BaseDefense,60,7,True,True,point_grd_tower_003_midclear,point_fly_tower_003,sbg_tower_003_midclear,Tower,Missilis,ibg_tower_basedefense_001,0,42,18,normal,,path_grd_far_elite1_803,path_grd_mid_elite2_808,3.0,path_fly_mid_small_024,6.0,path_grd_far_elite2_806,2.0,path_fly_mid_small_024,,path_grd_mid_small_070,5.0,path_grd_mid_small_075,6.0,path_fly_mid_elite2_805,,,,,,1220060111,Drop,1220030111.0,Drop,2220040111.0,Drop,3320020211.0,Drop,1220050111.0,Drop,1220030111.0,Drop,2220040111.0,Drop,3320020211.0,Drop,1220050111.0,Drop,1220060111.0,Drop,1220060111.0,Drop,3210050111.0,Drop,3220070111.0,Dash,2220040111.0,Dash,3320020211.0,Drop,3320020211.0,Drop,1220050111.0,Drop,1220050111.0,Drop,1220030111.0,Drop,3210050111.0,Drop,1220050111.0,Dash,3220070111.0,Dash,3220070111.0,Dash,2220040111.0,Normal,1220050111.0,Jump,2220040111.0,Jump,1220050111.0,Jump,2220040111.0,Jump,3220070111.0,Drop,1220060111.0,Drop,3210050111.0,Drop,3320020111.0,Drop,,,,,,,,,,,,,,,,
6230760,wave_tower_missilis_009,Campaign,180,6,False,True,point_grd_tower_003,point_fly_tower_003,sbg_tower_003_midclear,Tower,Missilis,ibg_tower_001,12,45,1,,1410010231.0,path_fly_mid_centurion_901,path_grd_mid_small_002,,path_grd_mid_small_005,4.0,path_grd_mid_small_075,,path_fly_mid_small_042,3.0,path_grd_mid_small_075,4.0,path_fly_close_small_038,4.0,path_grd_mid_elite3_814,4.0,path_grd_mid_small_075,,path_fly_close_small_038,4.0,1410010231,Normal,,,,,,,3220050111.0,Jump,3220050111.0,Jump,3220050111.0,Jump,3220050111.0,Jump,2220010111.0,Dash,2220010111.0,Dash,1220030111.0,Dash,1220030111.0,Dash,2120010111.0,Dash,2120010111.0,Dash,2220030111.0,Dash,2220030111.0,Dash,1210010111.0,Jump,1210030111.0,Jump,1110010111.0,Jump,1110010111.0,Jump,3220050111.0,Drop,2120010111.0,Drop,2120010111.0,Drop,2120010111.0,Drop,1210010111.0,Normal,2210020111.0,Normal,2210020111.0,Normal,2210020111.0,Normal,1120010111.0,Drop,1120010111.0,Drop,1120010111.0,Drop,2220040111.0,Drop,2220020111.0,Drop,2220020111.0,Drop,2220020111.0,Drop,3220060111.0,Drop,1210020111.0,Dash,3210020111.0,Dash,1210020111.0,Dash,1310030211.0,Dash
