stage_id,group_id,spot_mod,battle_time,monster_count,use_intro_scene,wave_repeat,point_data,point_data_fly,background_name,theme,theme_time,stage_info_bg,target_list/0,wave_data/0/wave_path,wave_data/0/wave_monster_list/0/wave_monster_id,wave_data/0/wave_monster_list/0/spawn_type,wave_data/0/wave_monster_list/1/wave_monster_id,wave_data/0/wave_monster_list/1/spawn_type,wave_data/0/wave_monster_list/2/wave_monster_id,wave_data/0/wave_monster_list/2/spawn_type,wave_data/0/wave_monster_list/3/wave_monster_id,wave_data/0/wave_monster_list/3/spawn_type,wave_data/1/wave_path,wave_data/1/private_monster_count,wave_data/1/wave_monster_list/0/wave_monster_id,wave_data/1/wave_monster_list/0/spawn_type,wave_data/1/wave_monster_list/1/wave_monster_id,wave_data/1/wave_monster_list/1/spawn_type,wave_data/1/wave_monster_list/2/wave_monster_id,wave_data/1/wave_monster_list/2/spawn_type,wave_data/1/wave_monster_list/3/wave_monster_id,wave_data/1/wave_monster_list/3/spawn_type,wave_data/2/wave_path,wave_data/2/private_monster_count,wave_data/2/wave_monster_list/0/wave_monster_id,wave_data/2/wave_monster_list/0/spawn_type,wave_data/2/wave_monster_list/1/wave_monster_id,wave_data/2/wave_monster_list/1/spawn_type,wave_data/2/wave_monster_list/2/wave_monster_id,wave_data/2/wave_monster_list/2/spawn_type,wave_data/2/wave_monster_list/3/wave_monster_id,wave_data/2/wave_monster_list/3/spawn_type,wave_data/3/wave_path,wave_data/3/private_monster_count,wave_data/3/wave_monster_list/0/wave_monster_id,wave_data/3/wave_monster_list/0/spawn_type,wave_data/3/wave_monster_list/1/wave_monster_id,wave_data/3/wave_monster_list/1/spawn_type,wave_data/3/wave_monster_list/2/wave_monster_id,wave_data/3/wave_monster_list/2/spawn_type,wave_data/3/wave_monster_list/3/wave_monster_id,wave_data/3/wave_monster_list/3/spawn_type,wave_data/4/wave_path,wave_data/4/private_monster_count,wave_data/4/wave_monster_list/0/wave_monster_id,wave_data/4/wave_monster_list/0/spawn_type,wave_data/4/wave_monster_list/1/wave_monster_id,wave_data/4/wave_monster_list/1/spawn_type,wave_data/4/wave_monster_list/2/wave_monster_id,wave_data/4/wave_monster_list/2/spawn_type,wave_data/4/wave_monster_list/3/wave_monster_id,wave_data/4/wave_monster_list/3/spawn_type,close_monster_count,mid_monster_count,far_monster_count,wave_data/5/wave_path,wave_data/5/private_monster_count,wave_data/5/wave_monster_list/0/wave_monster_id,wave_data/5/wave_monster_list/0/spawn_type,wave_data/5/wave_monster_list/1/wave_monster_id,wave_data/5/wave_monster_list/1/spawn_type,wave_data/5/wave_monster_list/2/wave_monster_id,wave_data/5/wave_monster_list/2/spawn_type,wave_data/5/wave_monster_list/3/wave_monster_id,wave_data/5/wave_monster_list/3/spawn_type,wave_data/6/wave_path,wave_data/6/wave_monster_list/0/wave_monster_id,wave_data/6/wave_monster_list/0/spawn_type,wave_data/6/wave_monster_list/1/wave_monster_id,wave_data/6/wave_monster_list/1/spawn_type,wave_data/6/wave_monster_list/2/wave_monster_id,wave_data/6/wave_monster_list/2/spawn_type,wave_data/6/wave_monster_list/3/wave_monster_id,wave_data/6/wave_monster_list/3/spawn_type,wave_data/7/wave_path,wave_data/7/wave_monster_list/0/wave_monster_id,wave_data/7/wave_monster_list/0/spawn_type,wave_data/7/wave_monster_list/1/wave_monster_id,wave_data/7/wave_monster_list/1/spawn_type,wave_data/7/wave_monster_list/2/wave_monster_id,wave_data/7/wave_monster_list/2/spawn_type,wave_data/7/wave_monster_list/3/wave_monster_id,wave_data/7/wave_monster_list/3/spawn_type,wave_data/6/private_monster_count,wave_data/7/private_monster_count,mod_value,wave_data/8/wave_path,wave_data/8/private_monster_count,wave_data/8/wave_monster_list/0/wave_monster_id,wave_data/8/wave_monster_list/0/spawn_type,wave_data/8/wave_monster_list/1/wave_monster_id,wave_data/8/wave_monster_list/1/spawn_type,wave_data/8/wave_monster_list/2/wave_monster_id,wave_data/8/wave_monster_list/2/spawn_type,wave_data/8/wave_monster_list/3/wave_monster_id,wave_data/8/wave_monster_list/3/spawn_type,wave_data/9/wave_path,wave_data/9/private_monster_count,wave_data/9/wave_monster_list/0/wave_monster_id,wave_data/9/wave_monster_list/0/spawn_type,wave_data/9/wave_monster_list/1/wave_monster_id,wave_data/9/wave_monster_list/1/spawn_type,wave_data/9/wave_monster_list/2/wave_monster_id,wave_data/9/wave_monster_list/2/spawn_type,wave_data/9/wave_monster_list/3/wave_monster_id,wave_data/9/wave_monster_list/3/spawn_type
6250751,wave_tower_pilgrim_009,Campaign,90,5,True,False,point_grd_tower_004,point_fly_tower_004,sbg_tower_004,Tower,Pilgrim,ibg_tower_001,3320010111.0,path_grd_mid_small_002,3220050111,Dash,3220050111.0,Dash,3220050111.0,Drop,3220050111.0,Drop,path_grd_mid_special_025,6.0,3220040111.0,Drop,2120010111.0,Drop,2120010111.0,Drop,3320010211.0,Drop,path_fly_mid_small_024,6.0,3210010111.0,Drop,3210010111.0,Drop,3210010111.0,Drop,3210030111.0,Drop,path_grd_mid_elite1_802,0.0,3220050111.0,Dash,3220050111.0,Dash,3220050111.0,Drop,3320010111.0,Drop,path_grd_close_small_072,8.0,2220020111.0,Dash,2220020111.0,Dash,2220020111.0,Dash,2220040111.0,Dash,6,36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6250752,wave_tower_pilgrim_009,Campaign,90,5,True,False,point_grd_tower_003,point_fly_tower_003,sbg_tower_003,Tower,Pilgrim,ibg_tower_001,3320040111.0,path_grd_far_small_053,1220060111,Dash,1220060111.0,Dash,1220060111.0,Dash,3220020111.0,Dash,path_grd_mid_elite1_802,6.0,3220050111.0,Jump,3220050111.0,Jump,2220050111.0,Drop,3320040211.0,Drop,path_fly_mid_small_050,,2210010111.0,Drop,2210010111.0,Drop,2210010111.0,Drop,1210040111.0,Drop,path_grd_mid_elite2_808,0.0,3220050111.0,Jump,3220050111.0,Jump,3320040211.0,Drop,3320040111.0,Drop,path_fly_mid_special_016,6.0,2210010111.0,Drop,2110010111.0,Drop,2210010111.0,Drop,1210040111.0,Drop,0,39,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6250753,wave_tower_pilgrim_009,Campaign,90,5,True,False,point_grd_tower_002,point_fly_tower_002,sbg_tower_002,Tower,Pilgrim,ibg_tower_001,2320010111.0,path_grd_mid_small_002,3220040111,Dash,3220040111.0,Dash,3220040111.0,Dash,3220040111.0,Dash,path_fly_mid_small_050,,3210010111.0,Dash,3210010111.0,Dash,3210010111.0,Dash,3210030111.0,Dash,path_grd_mid_elite1_802,8.0,3220040111.0,Drop,3220040111.0,Drop,3220060111.0,Drop,2320010211.0,Drop,path_grd_mid_elite2_808,0.0,3220040111.0,Dash,3220060111.0,Dash,1320030211.0,Drop,2320010111.0,Drop,path_fly_mid_small_050,10.0,3210010111.0,Dash,3210010111.0,Dash,3210010111.0,Dash,3210030111.0,Dash,0,42,0,path_grd_mid_small_043,7.0,3220040111.0,Drop,3220060111.0,Drop,3220040111.0,Drop,3220060111.0,Drop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6250754,wave_tower_pilgrim_009,Campaign,90,7,True,False,point_grd_tower_001,point_fly_tower_001,sbg_tower_001,Tower,Pilgrim,ibg_tower_001,2310040111.0,path_grd_mid_small_002,3220010111,Jump,3220010111.0,Jump,3220010111.0,Jump,3220010111.0,Jump,path_fly_mid_elite1_802,6.0,3210010111.0,Dash,3210010111.0,Dash,1210040111.0,Drop,2310040211.0,Drop,path_fly_mid_small_005,8.0,3210010111.0,Dash,3210010111.0,Dash,3210010111.0,Dash,3210010111.0,Dash,path_fly_mid_elite2_805,0.0,3210010111.0,Dash,3210010111.0,Dash,2310060211.0,Drop,2310040111.0,Drop,path_grd_mid_small_043,10.0,3220010111.0,Jump,3220010111.0,Jump,3220010111.0,Jump,3220010111.0,Jump,0,42,0,path_fly_mid_small_024,,3210010111.0,Dash,3210010111.0,Dash,3210010111.0,Dash,3210010111.0,Dash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6250755,wave_tower_pilgrim_009,Campaign,90,7,True,False,point_grd_tower_004,point_fly_tower_004,sbg_tower_004,Tower,Pilgrim,ibg_tower_001,1320030111.0,path_grd_mid_small_049,2220020111,Jump,2220020111.0,Jump,2220020111.0,Jump,2220020111.0,Jump,path_grd_mid_elite2_808,,2220020111.0,Drop,1220050111.0,Drop,2320010211.0,Drop,1320030211.0,Drop,path_fly_mid_small_002,,1210020111.0,Dash,1210020111.0,Dash,1210020111.0,Dash,3210050111.0,Dash,path_grd_mid_small_043,,1220050111.0,Dash,2220020111.0,Dash,1220050111.0,Dash,2220020111.0,Dash,path_grd_mid_elite2_808,0.0,2220020111.0,Dash,1220050111.0,Dash,2320010211.0,Drop,1320030111.0,Drop,0,54,0,path_fly_mid_small_005,,1210020111.0,Dash,1210020111.0,Dash,1210020111.0,Dash,3210050111.0,Dash,path_fly_mid_small_008,3210040111.0,Dash,1210020111.0,Dash,1210020111.0,Dash,3210040111.0,Dash,path_grd_mid_small_043,2220020111.0,Jump,2220020111.0,Jump,2220020111.0,Jump,2220020111.0,Jump,,,,,,,,,,,,,,,,,,,,,,,
6250756,wave_tower_pilgrim_009,Campaign,90,7,True,False,point_grd_tower_005,point_fly_tower_005,sbg_tower_005,Tower,Pilgrim,ibg_tower_001,2320020111.0,path_grd_mid_small_068,1220060111,Dash,1220060111.0,Dash,1220060111.0,Dash,2320020211.0,Drop,path_grd_mid_small_008,,1220050111.0,Drop,1220060111.0,Drop,1220060111.0,Drop,1220050111.0,Drop,path_grd_mid_small_061,,1220060111.0,Drop,1220050111.0,Drop,1220060111.0,Drop,1220050111.0,Drop,path_grd_close_elite1_801,0.0,1220060111.0,Drop,1220050111.0,Drop,1220060111.0,Drop,2320020111.0,Drop,path_grd_mid_small_037,6.0,1220050111.0,Drop,1220060111.0,Drop,1220050111.0,Drop,1220060111.0,Drop,9,30,0,path_grd_mid_small_040,5.0,1220060111.0,Drop,1220060111.0,Drop,1220050111.0,Drop,1220050111.0,Drop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6250757,wave_tower_pilgrim_009,Campaign,90,7,True,False,point_grd_tower_003,point_fly_tower_003,sbg_tower_003,Tower,Pilgrim,ibg_tower_001,2320010111.0,path_grd_mid_small_002,1220030111,Drop,1220030111.0,Drop,1220030111.0,Drop,1220030111.0,Drop,path_grd_mid_small_043,5.0,1220030111.0,Dash,1220030111.0,Dash,1220030111.0,Dash,1220030111.0,Dash,path_grd_mid_elite2_805,10.0,1220030111.0,Dash,1220030111.0,Dash,2320010211.0,Drop,2320010211.0,Drop,path_grd_mid_small_005,,2220010111.0,Dash,1220030111.0,Dash,2220010111.0,Dash,1220030111.0,Dash,path_grd_mid_elite2_805,0.0,1220030111.0,Dash,1220030111.0,Dash,2320010211.0,Drop,2320010111.0,Drop,6,42,0,path_grd_close_small_014,10.0,3320080211.0,Drop,2220010111.0,Dash,2220010111.0,Dash,2220010111.0,Dash,path_grd_mid_small_052,1220030111.0,Drop,1220030111.0,Drop,1220030111.0,Drop,1220030111.0,Drop,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,
6250758,wave_tower_pilgrim_009,Campaign,90,7,True,False,point_grd_tower_002,point_fly_tower_002,sbg_tower_002,Tower,Pilgrim,ibg_tower_001,3310010111.0,path_fly_mid_small_018,3210020111,Drop,3210020111.0,Drop,3210020111.0,Drop,3210020111.0,Drop,path_fly_mid_small_033,,3210020111.0,Drop,3210020111.0,Drop,3210020111.0,Drop,2310060211.0,Drop,path_fly_mid_elite1_802,10.0,3210020111.0,Dash,3210020111.0,Dash,3210030111.0,Drop,3310010211.0,Drop,path_fly_mid_small_039,,3210020111.0,Dash,3210020111.0,Dash,3210020111.0,Dash,3210020111.0,Dash,path_fly_mid_elite1_802,0.0,3210020111.0,Dash,3210020111.0,Dash,3210030111.0,Drop,2310060211.0,Drop,0,57,0,path_fly_mid_elite2_808,10.0,3210020111.0,Dash,3210020111.0,Dash,3310010211.0,Drop,3310010111.0,Drop,path_fly_mid_small_050,3210020111.0,Drop,3210020111.0,Drop,3210020111.0,Drop,3210030111.0,Dash,path_fly_mid_small_002,3210020111.0,Drop,3210020111.0,Drop,3210020111.0,Drop,2310060211.0,Drop,,8.0,,,,,,,,,,,,,,,,,,,,,
6250759,wave_tower_pilgrim_009,BaseDefense,60,7,True,True,point_grd_tower_003_midclear,point_fly_tower_003,sbg_tower_003_midclear,Tower,Pilgrim,ibg_tower_basedefense_001,,path_grd_mid_elite1_802,1220010111,Drop,1220010111.0,Drop,1220010111.0,Drop,2320030211.0,Drop,path_grd_mid_small_070,,1220050111.0,Drop,1220010111.0,Drop,1220010111.0,Drop,2220050111.0,Drop,path_fly_mid_small_002,8.0,3210010111.0,Dash,3210050111.0,Dash,3210040111.0,Dash,3210010111.0,Dash,path_grd_mid_small_070,4.0,1220010111.0,Drop,1220010111.0,Drop,1220010111.0,Drop,2220040111.0,Normal,path_grd_mid_elite2_805,10.0,1220010111.0,Dash,1220050111.0,Dash,2320010211.0,Dash,2320030211.0,Dash,0,63,0,path_fly_mid_small_002,6.0,3210010111.0,Dash,3210050111.0,Dash,3210010111.0,Dash,3210050111.0,Dash,path_grd_mid_small_075,1220010111.0,Drop,1220010111.0,Drop,1220010111.0,Drop,1220010111.0,Drop,path_fly_mid_small_021,3210050111.0,Dash,3210010111.0,Dash,3210040111.0,Dash,3210010111.0,Dash,5.0,,normal,path_grd_mid_elite2_805,8.0,1220010111.0,Dash,1220050111.0,Dash,2320010211.0,Dash,2320030111.0,Dash,,,,,,,,,,
6250760,wave_tower_pilgrim_009,Campaign,180,6,False,True,point_grd_tower_003,point_fly_tower_003,sbg_tower_003_midclear,Tower,Pilgrim,ibg_tower_001,1410010231.0,path_fly_mid_centurion_901,1410010231,Normal,,,,,,,path_grd_mid_small_002,,3220050111.0,Jump,3220050111.0,Jump,3220050111.0,Jump,3220050111.0,Jump,path_grd_mid_small_005,4.0,2220010111.0,Dash,2220010111.0,Dash,1220030111.0,Dash,1220030111.0,Dash,path_grd_mid_small_075,,2120010111.0,Dash,2120010111.0,Dash,2220030111.0,Dash,2220030111.0,Dash,path_fly_mid_small_042,3.0,1210010111.0,Jump,1210030111.0,Jump,1110010111.0,Jump,1110010111.0,Jump,12,45,1,path_grd_mid_small_075,4.0,3220050111.0,Drop,2120010111.0,Drop,2120010111.0,Drop,2120010111.0,Drop,path_fly_close_small_038,1210010111.0,Normal,2210020111.0,Normal,2210020111.0,Normal,2210020111.0,Normal,path_grd_mid_elite3_814,1120010111.0,Drop,1120010111.0,Drop,1120010111.0,Drop,2220040111.0,Drop,4.0,4.0,,path_grd_mid_small_075,,2220020111.0,Drop,2220020111.0,Drop,2220020111.0,Drop,3220060111.0,Drop,path_fly_close_small_038,4.0,1210020111.0,Dash,3210020111.0,Dash,1210020111.0,Dash,1310030211.0,Dash
