stage_id,group_id,spot_mod,battle_time,monster_count,use_intro_scene,wave_repeat,point_data,point_data_fly,background_name,theme,theme_time,stage_info_bg,target_list/0,wave_data/0/wave_path,wave_data/0/wave_monster_list/0/wave_monster_id,wave_data/0/wave_monster_list/0/spawn_type,wave_data/0/wave_monster_list/1/wave_monster_id,wave_data/0/wave_monster_list/1/spawn_type,wave_data/0/wave_monster_list/2/wave_monster_id,wave_data/0/wave_monster_list/2/spawn_type,wave_data/0/wave_monster_list/3/wave_monster_id,wave_data/0/wave_monster_list/3/spawn_type,wave_data/1/wave_path,wave_data/1/private_monster_count,wave_data/1/wave_monster_list/0/wave_monster_id,wave_data/1/wave_monster_list/0/spawn_type,wave_data/1/wave_monster_list/1/wave_monster_id,wave_data/1/wave_monster_list/1/spawn_type,wave_data/1/wave_monster_list/2/wave_monster_id,wave_data/1/wave_monster_list/2/spawn_type,wave_data/1/wave_monster_list/3/wave_monster_id,wave_data/1/wave_monster_list/3/spawn_type,wave_data/2/wave_path,wave_data/2/private_monster_count,wave_data/2/wave_monster_list/0/wave_monster_id,wave_data/2/wave_monster_list/0/spawn_type,wave_data/2/wave_monster_list/1/wave_monster_id,wave_data/2/wave_monster_list/1/spawn_type,wave_data/2/wave_monster_list/2/wave_monster_id,wave_data/2/wave_monster_list/2/spawn_type,wave_data/2/wave_monster_list/3/wave_monster_id,wave_data/2/wave_monster_list/3/spawn_type,wave_data/3/wave_path,wave_data/3/private_monster_count,wave_data/3/wave_monster_list/0/wave_monster_id,wave_data/3/wave_monster_list/0/spawn_type,wave_data/3/wave_monster_list/1/wave_monster_id,wave_data/3/wave_monster_list/1/spawn_type,wave_data/3/wave_monster_list/2/wave_monster_id,wave_data/3/wave_monster_list/2/spawn_type,wave_data/3/wave_monster_list/3/wave_monster_id,wave_data/3/wave_monster_list/3/spawn_type,wave_data/4/wave_path,wave_data/4/private_monster_count,wave_data/4/wave_monster_list/0/wave_monster_id,wave_data/4/wave_monster_list/0/spawn_type,wave_data/4/wave_monster_list/1/wave_monster_id,wave_data/4/wave_monster_list/1/spawn_type,wave_data/4/wave_monster_list/2/wave_monster_id,wave_data/4/wave_monster_list/2/spawn_type,wave_data/4/wave_monster_list/3/wave_monster_id,wave_data/4/wave_monster_list/3/spawn_type,close_monster_count,mid_monster_count,far_monster_count,mod_value,wave_data/5/wave_path,wave_data/5/wave_monster_list/0/wave_monster_id,wave_data/5/wave_monster_list/0/spawn_type,wave_data/5/wave_monster_list/1/wave_monster_id,wave_data/5/wave_monster_list/1/spawn_type,wave_data/5/wave_monster_list/2/wave_monster_id,wave_data/5/wave_monster_list/2/spawn_type,wave_data/5/wave_monster_list/3/wave_monster_id,wave_data/5/wave_monster_list/3/spawn_type,wave_data/6/wave_path,wave_data/6/private_monster_count,wave_data/6/wave_monster_list/0/wave_monster_id,wave_data/6/wave_monster_list/0/spawn_type,wave_data/6/wave_monster_list/1/wave_monster_id,wave_data/6/wave_monster_list/1/spawn_type,wave_data/6/wave_monster_list/2/wave_monster_id,wave_data/6/wave_monster_list/2/spawn_type,wave_data/6/wave_monster_list/3/wave_monster_id,wave_data/6/wave_monster_list/3/spawn_type,wave_data/7/wave_path,wave_data/7/private_monster_count,wave_data/7/wave_monster_list/0/wave_monster_id,wave_data/7/wave_monster_list/0/spawn_type,wave_data/7/wave_monster_list/1/wave_monster_id,wave_data/7/wave_monster_list/1/spawn_type,wave_data/7/wave_monster_list/2/wave_monster_id,wave_data/7/wave_monster_list/2/spawn_type,wave_data/7/wave_monster_list/3/wave_monster_id,wave_data/7/wave_monster_list/3/spawn_type,wave_data/5/private_monster_count,wave_data/8/wave_path,wave_data/8/private_monster_count,wave_data/8/wave_monster_list/0/wave_monster_id,wave_data/8/wave_monster_list/0/spawn_type,wave_data/8/wave_monster_list/1/wave_monster_id,wave_data/8/wave_monster_list/1/spawn_type,wave_data/8/wave_monster_list/2/wave_monster_id,wave_data/8/wave_monster_list/2/spawn_type,wave_data/8/wave_monster_list/3/wave_monster_id,wave_data/8/wave_monster_list/3/spawn_type,wave_data/9/wave_path,wave_data/9/private_monster_count,wave_data/9/wave_monster_list/0/wave_monster_id,wave_data/9/wave_monster_list/0/spawn_type,wave_data/9/wave_monster_list/1/wave_monster_id,wave_data/9/wave_monster_list/1/spawn_type,wave_data/9/wave_monster_list/2/wave_monster_id,wave_data/9/wave_monster_list/2/spawn_type,wave_data/9/wave_monster_list/3/wave_monster_id,wave_data/9/wave_monster_list/3/spawn_type
6230151,wave_tower_missilis_003,Campaign,90,5,True,False,point_grd_tower_003,point_fly_tower_003,sbg_tower_003,Tower,Missilis,ibg_tower_001,1310030111.0,path_grd_close_elite1_801,3220030111,Dash,3220030111.0,Dash,2220040111.0,Jump,2320050211.0,Jump,path_grd_far_small_033,7.0,2220030111.0,Dash,2220030111.0,Dash,2220030111.0,Dash,2220040111.0,Dash,path_grd_mid_small_058,7.0,3220030111.0,Dash,3220030111.0,Dash,3220030111.0,Dash,2220040111.0,Dash,path_fly_mid_elite1_802,0.0,3210010111.0,Dash,3210010111.0,Dash,3210030111.0,Drop,1310030111.0,Drop,path_grd_far_small_044,6.0,2220030111.0,Jump,2220030111.0,Jump,2220030111.0,Jump,2220040111.0,Dash,9,15,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6230152,wave_tower_missilis_003,Campaign,90,5,True,False,point_grd_tower_001,point_fly_tower_001,sbg_tower_001,Tower,Missilis,ibg_tower_001,3310050111.0,path_grd_mid_small_070,1220010111,Dash,1220010111.0,Dash,1220010111.0,Jump,2220050111.0,Jump,path_fly_mid_elite2_808,7.0,1210010111.0,Dash,2210040111.0,Dash,1210010111.0,Dash,3210030111.0,Dash,path_grd_mid_small_058,7.0,3220030111.0,Dash,3220030111.0,Dash,3220030111.0,Dash,2220040111.0,Dash,path_fly_mid_elite1_802,0.0,2210020111.0,Dash,2210020111.0,Dash,1210010111.0,Drop,3310050111.0,Drop,path_grd_mid_small_040,6.0,2220020111.0,Dash,3220060111.0,Jump,2220020111.0,Dash,3220060111.0,Jump,0,36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6230153,wave_tower_missilis_003,Campaign,90,5,True,False,point_grd_tower_004,point_fly_tower_004,sbg_tower_004,Tower,Missilis,ibg_tower_001,3320030111.0,path_grd_mid_small_040,1220060111,Dash,1220060111.0,Dash,1220060111.0,Dash,1220060111.0,Dash,path_fly_mid_small_005,7.0,1210020111.0,Dash,1210020111.0,Dash,1210020111.0,Dash,1210040111.0,Dash,path_fly_mid_small_050,7.0,1210030111.0,Dash,1210030111.0,Dash,1210030111.0,Dash,1210040111.0,Dash,path_fly_mid_elite1_802,0.0,3210010111.0,Dash,3210010111.0,Dash,1210010111.0,Drop,1310010211.0,Drop,path_grd_mid_small_043,7.0,2220030111.0,Jump,3220020111.0,Jump,2220030111.0,Jump,3320030111.0,Dash,0,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6230154,wave_tower_missilis_003,BaseDefense,60,6,True,True,point_grd_tower_003_midclear,point_fly_tower_003,sbg_tower_003_midclear,Tower,Missilis,ibg_tower_basedefense_001,,path_grd_mid_small_049,3220050111,Drop,3220050111.0,Drop,3220050111.0,Drop,3220020111.0,Drop,path_grd_mid_small_043,5.0,3220050111.0,Jump,3220020111.0,Jump,3220050111.0,Jump,3220020111.0,Jump,path_grd_mid_small_040,10.0,3220050111.0,Dash,3220050111.0,Dash,3220020111.0,Dash,3220020111.0,Dash,path_grd_mid_elite1_802,3.0,3220020111.0,Dash,3220020111.0,Dash,2220050111.0,Drop,2320030211.0,Drop,path_grd_close_small_069,10.0,3220020111.0,Dash,3220020111.0,Dash,3220020111.0,Dash,2220050111.0,Dash,6,48,0,normal,path_fly_mid_small_030,3220020111.0,Drop,3220020111.0,Drop,3220020111.0,Drop,1210040111.0,Drop,path_grd_mid_small_075,5.0,3220050111.0,Jump,3220020111.0,Jump,3220050111.0,Jump,3220020111.0,Jump,path_grd_mid_elite1_802,7.0,3220020111.0,Dash,3220020111.0,Dash,2220050111.0,Drop,2320030211.0,Drop,,,,,,,,,,,,,,,,,,,,,
6230155,wave_tower_missilis_003,Campaign,90,7,True,False,point_grd_tower_005,point_fly_tower_005,sbg_tower_005,Tower,Missilis,ibg_tower_001,1320030111.0,path_grd_far_small_056,3220070111,Dash,3220070111.0,Dash,3220070111.0,Dash,3320020211.0,Drop,path_grd_mid_elite1_802,,1220060111.0,Dash,1220060111.0,Dash,3220050111.0,Drop,2320010211.0,Drop,path_grd_close_small_048,,3220050111.0,Drop,3220050111.0,Drop,3220050111.0,Drop,3220020111.0,Drop,path_fly_close_small_029,10.0,3210020111.0,Jump,3210020111.0,Jump,3210020111.0,Jump,3210020111.0,Jump,path_grd_far_elite1_803,0.0,3220050111.0,Dash,3220050111.0,Dash,3220070111.0,Drop,3320020211.0,Drop,36,9,21,,path_grd_close_elite2_807,1220060111.0,Jump,3220050111.0,Dash,1320030111.0,Drop,2320010211.0,Drop,path_grd_far_small_044,6.0,3220070111.0,Dash,3220070111.0,Dash,3220070111.0,Dash,3220070111.0,Dash,path_grd_close_special_024,14.0,3120010111.0,Jump,3120010111.0,Jump,1220060111.0,Drop,1220060111.0,Drop,10.0,,,,,,,,,,,,,,,,,,,,
6230156,wave_tower_missilis_003,Campaign,90,5,True,False,point_grd_tower_002,point_fly_tower_002,sbg_tower_002,Tower,Missilis,ibg_tower_001,3310050111.0,path_fly_mid_small_018,2210020111,Dash,2210020111.0,Dash,1210030111.0,Dash,1210030111.0,Dash,path_grd_mid_elite1_802,,1220050111.0,Drop,3220030111.0,Drop,1220050111.0,Drop,1320030211.0,Drop,path_grd_mid_small_055,7.0,3220050111.0,Dash,3220050111.0,Dash,3220050111.0,Dash,2220010111.0,Dash,path_fly_mid_elite1_802,0.0,3210040111.0,Drop,2210010111.0,Drop,2210010111.0,Drop,3310050111.0,Drop,path_grd_mid_small_049,6.0,2220020111.0,Jump,2220020111.0,Jump,2220020111.0,Jump,2220040111.0,Dash,0,36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6230157,wave_tower_missilis_003,Campaign,90,5,True,False,point_grd_tower_003,point_fly_tower_003,sbg_tower_003,Tower,Missilis,ibg_tower_001,2320030111.0,path_grd_close_small_067,3220030111,Dash,3220030111.0,Dash,3220030111.0,Drop,2320020211.0,Drop,path_grd_mid_small_012,,3220030111.0,Dash,3220030111.0,Dash,1220050111.0,Dash,1220050111.0,Dash,path_grd_mid_small_046,4.0,1220050111.0,Drop,1220050111.0,Drop,1220050111.0,Drop,1220050111.0,Drop,path_grd_close_elite1_801,0.0,2120010111.0,Jump,2120010111.0,Jump,2220040111.0,Drop,3320050211.0,Drop,path_grd_mid_small_043,6.0,1220050111.0,Dash,1220050111.0,Dash,1220050111.0,Dash,2320030111.0,Dash,30,18,0,,path_grd_close_special_064,2120010111.0,Dash,2120010111.0,Dash,1220050111.0,Drop,1220050111.0,Drop,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
6230158,wave_tower_missilis_003,Campaign,90,5,True,False,point_grd_tower_001,point_fly_tower_001,sbg_tower_001,Tower,Missilis,ibg_tower_001,2310010111.0,path_grd_mid_small_070,2220010111,Drop,2220010111.0,Drop,2220010111.0,Drop,2220040111.0,Jump,path_fly_mid_small_008,7.0,3210010111.0,Dash,3210030111.0,Dash,3210010111.0,Dash,2310010211.0,Dash,path_grd_close_small_036,7.0,2220010111.0,Dash,2220010111.0,Dash,2220010111.0,Dash,2220040111.0,Dash,path_grd_mid_elite1_802,0.0,2220010111.0,Jump,2220010111.0,Jump,2220040111.0,Drop,1320020211.0,Drop,path_fly_mid_small_030,7.0,3210010111.0,Drop,3210030111.0,Drop,3210010111.0,Drop,2310010111.0,Dash,6,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6230159,wave_tower_missilis_003,Campaign,90,7,True,False,point_grd_tower_004,point_fly_tower_004,sbg_tower_004,Tower,Missilis,ibg_tower_001,1320040111.0,path_grd_mid_small_043,3220010111,Jump,3220010111.0,Jump,3220010111.0,Jump,3220010111.0,Jump,path_grd_close_small_054,,1220030111.0,Drop,1220030111.0,Drop,1220030111.0,Drop,2320030211.0,Drop,path_fly_mid_elite1_802,10.0,1210030111.0,Jump,1210030111.0,Jump,3210030111.0,Drop,3310010211.0,Drop,path_grd_mid_special_065,,1120010111.0,Jump,1120010111.0,Jump,1220030111.0,Drop,2220040111.0,Drop,path_grd_close_elite2_807,0.0,3220010111.0,Jump,3220010111.0,Jump,2320030211.0,Drop,1320040111.0,Drop,21,45,0,,path_grd_mid_special_025,1120010111.0,Jump,1120010111.0,Jump,3220010111.0,Drop,2320030211.0,Drop,path_fly_close_small_038,5.0,1210030111.0,Dash,1210030111.0,Dash,1210030111.0,Dash,1210030111.0,Dash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6230160,wave_tower_missilis_003,Campaign,180,6,False,False,point_grd_tower_003,point_fly_tower_003,sbg_tower_003_midclear,Tower,Missilis,ibg_tower_001,2420030211.0,path_grd_mid_centurion_902,2420030211,Normal,,,,,,,path_grd_mid_small_040,,2220020111.0,Dash,2220020111.0,Dash,2220020111.0,Dash,2220020111.0,Dash,path_grd_mid_small_075,,2220010111.0,Dash,2220010111.0,Dash,2220030111.0,Dash,2220030111.0,Dash,path_grd_mid_elite2_805,4.0,1120010111.0,Drop,1120010111.0,Drop,3220030111.0,Drop,2320030211.0,Drop,path_grd_close_small_001,,3220010111.0,Jump,3220010111.0,Jump,3220010111.0,Jump,3220020111.0,Jump,12,28,0,,path_fly_close_small_049,2210020111.0,Normal,1210010111.0,Normal,2110010111.0,Normal,2110010111.0,Normal,path_grd_mid_small_075,,3220040111.0,Dash,3220040111.0,Dash,3220040111.0,Dash,2320050211.0,Dash,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,
