id,event_id,name,description,on_info,info_description,event_item_type,free_ticket_item_id,event_item_id,price_group,prob_group,gacha_reward_group,shop_id,ui_prefab,gacha_movie,remain_period_text_color
1,160001,Locale_System:EVENT_BOX_GACHA_NAME_1,Locale_System:EVENT_BOX_GACHA_DESC_1,False,,Item,0,7061001,1,1,1,1,base_gacha_type_costume_c200,base_gacha_type_costume_c200,ff4769
2,160002,Locale_System:EVENT_BOX_GACHA_NAME_2,Locale_System:EVENT_BOX_GACHA_DESC_2,False,,Item,0,7061003,2,1,2,2,base_gacha_type_costume_c101_01,base_gacha_type_costume_c101_01,FFFFFF
3,160003,Locale_System:EVENT_BOX_GACHA_NAME_2,Locale_System:EVENT_BOX_GACHA_DESC_2,False,,Item,0,7061004,3,1,3,3,base_gacha_type_costume_c810_02,base_gacha_type_costume_c810_02,c90000
4,160004,Locale_System:EVENT_BOX_GACHA_NAME_2,Locale_System:EVENT_BOX_GACHA_DESC_RESALE,False,,Item,0,7061005,4,1,1,4,base_gacha_type_costume_c200,base_gacha_type_costume_c200,ff4769
5,160005,Locale_System:EVENT_BOX_GACHA_NAME_2,Locale_System:EVENT_BOX_GACHA_DESC_2,False,,Item,0,7061006,5,1,5,5,base_gacha_type_costume_c233_01,base_gacha_type_costume_c233_01,ff4769
6,160006,Locale_System:EVENT_BOX_GACHA_NAME_2,Locale_System:EVENT_BOX_GACHA_DESC_2,False,,Item,0,7061007,6,1,6,6,base_gacha_type_costume_c430_02,base_gacha_type_costume_c430_02,FFFFFF
7,160007,Locale_System:EVENT_BOX_GACHA_NAME_2,Locale_System:EVENT_BOX_GACHA_DESC_2,False,,Item,0,7061007,7,1,7,7,base_gacha_type_costume_c430_02,base_gacha_type_costume_c430_02,c90000
8,160008,Locale_System:EVENT_BOX_GACHA_NAME_2,Locale_System:EVENT_BOX_GACHA_DESC_2,False,,Item,0,7061008,8,1,8,8,base_gacha_type_costume_c821_01,base_gacha_type_costume_c821_01,ff4769
9,160009,Locale_System:EVENT_BOX_GACHA_NAME_2,Locale_System:EVENT_BOX_GACHA_DESC_2,False,,Item,7061010,7061009,9,1,9,9,base_gacha_type_costume_c260_02,base_gacha_type_costume_c260_02,ff4769
10,160010,Locale_System:EVENT_BOX_GACHA_NAME_2,Locale_System:EVENT_BOX_GACHA_DESC_2,False,,Item,7061012,7061011,10,1,10,10,base_gacha_type_costume_c330_01,base_gacha_type_costume_c330_01,FFFFFF
11,160011,Locale_System:EVENT_BOX_GACHA_NAME_2,Locale_System:EVENT_BOX_GACHA_DESC_2,False,,Item,0,7061013,11,1,11,11,base_gacha_type_costume_c112_02,base_gacha_type_costume_c112_02,c90000
12,160012,Locale_System:EVENT_BOX_GACHA_NAME_2,Locale_System:EVENT_BOX_GACHA_DESC_2,False,,Item,0,7061014,12,1,12,12,base_gacha_type_costume_c321_01,base_gacha_type_costume_c321_01,ff4769
13,160013,Locale_System:EVENT_BOX_GACHA_NAME_2,Locale_System:EVENT_BOX_GACHA_DESC_2,False,,Item,0,7061015,13,1,13,13,base_gacha_type_costume_c830_03,base_gacha_type_costume_c830_03,ff4769
14,160014,Locale_System:EVENT_BOX_GACHA_NAME_2,Locale_System:EVENT_BOX_GACHA_DESC_2,False,,Item,7061017,7061016,14,1,14,14,base_gacha_type_costume_c225_01,base_gacha_type_costume_c225_01,FFFFFF
15,160015,Locale_System:EVENT_BOX_GACHA_NAME_2,Locale_System:EVENT_BOX_GACHA_DESC_2,False,,Item,7061019,7061018,15,1,15,15,base_gacha_type_costume_c511_01,base_gacha_type_costume_c511_01,c90000
16,160016,Locale_System:EVENT_BOX_GACHA_NAME_2,Locale_System:EVENT_BOX_GACHA_DESC_2,False,,Item,0,7061020,16,1,16,16,base_gacha_type_costume_c450_02,base_gacha_type_costume_c450_02,ff4769
17,160017,Locale_System:EVENT_BOX_GACHA_NAME_2,Locale_System:EVENT_BOX_GACHA_DESC_2,False,,Item,0,7061021,17,1,17,17,base_gacha_type_costume_c352_02,base_gacha_type_costume_c352_02,60B7FF
18,160018,Locale_System:EVENT_BOX_GACHA_NAME_2,Locale_System:EVENT_BOX_GACHA_DESC_RESALE,False,,Item,0,7061022,18,1,13,18,base_gacha_type_costume_c830_03,base_gacha_type_costume_c830_03,76FF40
19,160019,Locale_System:EVENT_BOX_GACHA_NAME_2,Locale_System:EVENT_BOX_GACHA_DESC_2,False,,Item,7061024,7061023,19,1,19,19,base_gacha_type_costume_c513_01,base_gacha_type_costume_c513_01,FFFFFF
20,160020,Locale_System:EVENT_BOX_GACHA_NAME_2,Locale_System:EVENT_BOX_GACHA_DESC_2,False,,Item,7061026,7061025,20,1,20,20,base_gacha_type_costume_c162_01,base_gacha_type_costume_c162_01,FFFFFF
21,160021,Locale_System:EVENT_BOX_GACHA_NAME_2,Locale_System:EVENT_BOX_GACHA_DESC_2,False,,Item,7061028,7061027,21,1,21,21,base_gacha_type_costume_c850_03,base_gacha_type_costume_c850_03,ffe5b8
22,160022,Locale_System:EVENT_BOX_GACHA_NAME_2,Locale_System:EVENT_BOX_GACHA_DESC_2,True,Locale_System:EVENT_BOX_GACHA_INFO_DESC_160022,Item,7061030,7061029,22,1,22,22,base_gacha_type_costume_c222_01,base_gacha_type_costume_c222_01,ffb4cb
23,160023,Locale_System:EVENT_BOX_GACHA_NAME_2,Locale_System:EVENT_BOX_GACHA_DESC_RESALE,False,,Item,0,7061031,23,1,23,23,base_gacha_type_costume_c810_02,base_gacha_type_costume_c810_02,FFFFFF
24,160024,Locale_System:EVENT_BOX_GACHA_NAME_2,Locale_System:EVENT_BOX_GACHA_DESC_2,False,,Item,0,7061032,24,1,24,24,base_gacha_type_costume_c016_01,base_gacha_type_costume_c016_01,268596
25,160025,Locale_System:EVENT_BOX_GACHA_NAME_2,Locale_System:EVENT_BOX_GACHA_DESC_2,False,,Item,0,7061033,25,1,25,25,base_gacha_type_costume_c272_01,base_gacha_type_costume_c272_01,FFDA8D
26,160026,Locale_System:EVENT_BOX_GACHA_NAME_2,Locale_System:EVENT_BOX_GACHA_DESC_2,False,,Item,0,7061034,26,1,26,26,base_gacha_type_costume_c043_02,base_gacha_type_costume_c043_02,F6F6F6
27,160027,Locale_System:EVENT_BOX_GACHA_NAME_2,Locale_System:EVENT_BOX_GACHA_DESC_2,False,,Item,7061036,7061035,27,1,27,27,base_gacha_type_costume_c470_02,base_gacha_type_costume_c470_02,FF934C
28,160028,Locale_System:EVENT_BOX_GACHA_NAME_2,Locale_System:EVENT_BOX_GACHA_DESC_2,False,,Item,7061038,7061037,28,1,28,28,base_gacha_type_costume_c223_01,base_gacha_type_costume_c223_01,E7DFFF
