id,resourceCategory,resourceType,resourceValue,activeFxResource
100,None,None,,
200,Door,Spine,mvg_door,
300,ItemBox,Spine,mvg_itembox,
400,FieldItem,Prefab,fx_mvg_item_field,MVG_FieldItem_01_Active
500,SavePoint,Spine,mvg_savepoint,
600,Platform,Prefab,mvg_platform_c_prefab,
601,Platform,Prefab,mvg_platform_c_prefab,
610,Platform,Prefab,mvg_platform_b_prefab,
701,Switch_Floor_NoMiddle,Prefab,mvg_switch_prefab,
900,Teleport,Prefab,mvg_teleporter_prefab,
1000,ShopPoint,Prefab,mvg_shop_prefab,
1100,CustomSpike,Prefab,fx_mvg_electrap_horizontal,
1101,CustomSpike,Prefab,fx_mvg_electrap_horizontalReverse,
1110,CustomSpike,Prefab,fx_mvg_electrap_vertical,
1111,CustomSpike,Prefab,fx_mvg_electrap_verticalReverse,
1200,CustomSpike,Prefab,fx_mvg_firetrap_horizontal,
1201,CustomSpike,Prefab,fx_mvg_firetrap_horizontalReverse,
1210,CustomSpike,Prefab,fx_mvg_firetrap_vertical,
1211,CustomSpike,Prefab,fx_mvg_firetrap_verticalReverse,
