id,lv,level_hp,level_defence
1,1,8400,100
2,2,8800,100
3,3,9300,100
4,4,9700,100
5,5,10100,100
6,6,10500,100
7,7,11000,100
8,8,11400,110
9,9,11800,120
10,10,13900,130
11,11,14700,130
12,12,15200,140
13,13,15600,140
14,14,16000,170
15,15,16400,180
16,16,16800,180
17,17,17300,190
18,18,17700,190
19,19,18100,200
20,20,18500,200
21,21,19400,210
22,22,19800,210
23,23,20200,220
24,24,20600,220
25,25,21100,230
26,26,22100,240
27,27,22600,240
28,28,23000,250
29,29,23400,250
30,30,23800,260
31,31,24200,270
32,32,24700,270
33,33,25100,280
34,34,25500,280
35,35,25900,290
36,36,26400,290
37,37,26800,300
38,38,27200,300
39,39,27600,310
40,40,28500,310
41,41,36700,320
42,42,37500,320
43,43,38400,330
44,44,39900,340
45,45,40700,430
46,46,41600,440
47,47,42400,450
48,48,43400,470
49,49,44600,480
50,50,45400,490
51,51,46500,500
52,52,47400,510
53,53,48400,520
54,54,49500,530
55,55,50600,540
56,56,51500,550
57,57,52300,560
58,58,53200,570
59,59,54400,580
60,60,55700,590
61,61,58400,600
62,62,59300,610
63,63,60200,630
64,64,61200,640
65,65,63000,670
66,66,63800,680
67,67,64700,690
68,68,65500,700
69,69,66400,720
70,70,68000,730
71,71,69100,740
72,72,69900,750
73,73,70800,760
74,74,71700,780
75,75,72500,790
76,76,74200,800
77,77,75000,810
78,78,75900,820
79,79,77000,830
80,80,78400,840
81,81,84900,850
82,82,86700,860
83,83,88000,870
84,84,89400,890
85,85,90700,960
86,86,92300,980
87,87,93800,1000
88,88,95200,1010
89,89,98000,1030
90,90,100000,1040
91,91,101500,1060
92,92,102900,1070
93,93,104200,1110
94,94,108200,1130
95,95,109600,1150
96,96,111600,1160
97,97,113600,1180
98,98,114900,1210
99,99,116200,1230
100,100,119100,1250
101,101,127400,1280
102,102,130600,1290
103,103,132700,1310
104,104,135100,1340
105,105,137300,1440
106,106,139400,1450
107,107,141500,1490
108,108,142800,1510
109,109,145200,1530
110,110,147200,1560
111,111,149500,1570
112,112,150900,1600
113,113,152900,1620
114,114,154300,1650
115,115,155700,1680
116,116,159100,1700
117,117,163000,1720
118,118,165100,1740
119,119,167200,1760
120,120,169000,1780
121,121,176000,1860
122,122,182900,1880
123,123,187000,1910
124,124,191100,1920
125,125,193700,2000
126,126,197400,2080
127,127,199900,2130
128,128,202900,2180
129,129,205500,2210
130,130,211800,2240
131,131,214200,2280
132,132,216700,2310
133,133,219300,2340
134,134,222700,2410
135,135,224600,2440
136,136,229600,2470
137,137,232200,2510
138,138,234500,2550
139,139,237800,2570
140,140,239900,2630
141,141,254200,2660
142,142,256900,2690
143,143,265400,2720
144,144,267300,2740
145,145,270000,2910
146,146,272600,2940
147,147,274600,3020
148,148,278100,3040
149,149,280500,3070
150,150,294800,3100
151,151,298100,3120
152,152,300800,3170
153,153,303000,3200
154,154,305400,3350
155,155,308000,3400
156,156,314500,3430
157,157,318000,3450
158,158,321800,3480
159,159,325400,3510
160,160,327400,3590
161,161,390500,3620
162,162,403200,3660
163,163,405700,3700
164,164,408200,3720
165,165,360900,3860
166,166,363800,4000
167,167,367500,4030
168,168,372000,4070
169,169,378400,4110
170,170,381300,4140
171,171,384800,4180
172,172,388000,4220
173,173,390500,4290
174,174,393700,4330
175,175,399800,4370
176,176,403000,4400
177,177,408700,4430
178,178,411600,4470
179,179,414400,4540
180,180,416800,4570
181,181,477200,4640
182,182,483300,4670
183,183,493800,4700
184,184,496300,4730
185,185,498900,4900
186,186,501400,4970
187,187,461400,5090
188,188,464400,5120
189,189,477500,5150
190,190,480500,5180
191,191,484100,5230
192,192,488800,5270
193,193,491800,5420
194,194,494400,5450
195,195,498800,5490
196,196,508100,5520
197,197,510600,5560
198,198,513900,5590
199,199,516400,5640
200,200,520100,5740
201,201,541100,5770
202,202,544200,5810
203,203,548000,5840
204,204,568400,5880
205,205,571500,6110
206,206,575100,6150
207,207,578500,6180
208,208,582700,6400
209,209,586300,6430
210,210,589700,6470
211,211,592800,6530
212,212,603200,6560
213,213,607400,6590
214,214,610800,6640
215,215,615500,6670
216,216,619100,6790
217,217,622500,6840
218,218,627200,6870
219,219,630600,6910
220,220,642200,6950
221,221,664600,7000
222,222,668100,7030
223,223,676000,7070
224,224,679100,7190
225,225,693600,7430
226,226,696800,7490
227,227,701400,7520
228,228,711900,7580
229,229,715000,7740
230,230,723100,7780
231,231,726200,7870
232,232,730200,7980
233,233,733400,8030
234,234,738300,8060
235,235,741700,8110
236,236,746900,8160
237,237,771400,8190
238,238,774600,8250
239,239,778300,8290
240,240,781700,8330
241,241,808500,8580
242,242,812700,8640
243,243,816800,8670
244,244,824300,8710
245,245,828000,9030
246,246,861100,9070
247,247,865400,9120
248,248,869200,9160
249,249,873300,9200
250,250,881900,9530
251,251,885700,9570
252,252,889800,9660
253,253,894100,9700
254,254,897900,9790
255,255,906900,9840
256,256,923500,9880
257,257,927800,9920
258,258,931600,10020
259,259,935700,10060
260,260,945700,10250
261,261,977900,10300
262,262,981700,10340
263,263,985800,10440
264,264,990100,10480
265,265,1006600,10840
266,266,1010400,10880
267,267,1040300,10930
268,268,1044200,11040
269,269,1048000,11220
270,270,1051900,11260
271,271,1056600,11470
272,272,1060500,11520
273,273,1064300,11560
274,274,1068200,11610
275,275,1093300,11730
276,276,1097200,11770
277,277,1101100,11820
278,278,1105000,11860
279,279,1108800,12050
280,280,1113500,12100
281,281,1151800,12140
282,282,1156200,12180
283,283,1160600,12320
284,284,1165900,12360
285,285,1191900,12780
286,286,1196300,12830
287,287,1200700,12870
288,288,1205100,12930
289,289,1210100,13120
290,290,1214800,13170
291,291,1219200,13220
292,292,1223600,13280
293,293,1228100,13420
294,294,1233000,13470
295,295,1273800,13520
296,296,1278200,13570
297,297,1292700,13630
298,298,1297200,13670
299,299,1302100,14120
300,300,1306500,14160
301,301,1351200,14210
302,302,1355600,14270
303,303,1360000,14320
304,304,1364500,14370
305,305,1369400,14960
306,306,1373800,15010
307,307,1402400,15070
308,308,1406800,15120
309,309,1411200,15170
310,310,1415600,15220
311,311,1420600,15530
312,312,1425000,15570
313,313,1429700,15630
314,314,1445800,15680
315,315,1450200,15730
316,316,1454600,15780
317,317,1459000,15830
318,318,1464000,15880
319,319,1468400,15930
320,320,1496900,15980
321,321,1547700,16030
322,322,1552700,16210
323,323,1557700,16250
324,324,1562600,16560
325,325,1568100,17120
326,326,1573100,17180
327,327,1578400,17240
328,328,1583400,17290
329,329,1588300,17350
330,330,1593300,17400
331,331,1598300,17460
332,332,1627600,17510
333,333,1632600,17580
334,334,1637500,17630
335,335,1642800,17690
336,336,1661100,18000
337,337,1666100,18050
338,338,1671100,18110
339,339,1676000,18160
340,340,1681500,18230
341,341,1739600,18280
342,342,1744600,18340
343,343,1749500,18390
344,344,1754800,18590
345,345,1783600,19230
346,346,1788600,19280
347,347,1793500,19330
348,348,1799000,19400
349,349,1804000,19710
350,350,1809000,19770
351,351,1814000,19820
352,352,1818900,19880
353,353,1824200,19930
354,354,1829200,19980
355,355,1834200,20040
356,356,1839100,20100
357,357,1868400,20160
358,358,1873400,20210
359,359,1878400,20270
360,360,1883400,20320
361,361,1949000,20640
362,362,1954600,20690
363,363,1960400,20750
364,364,1965900,20800
365,365,1971400,21530
366,366,1977000,21590
367,367,1983000,21650
368,368,1988500,21710
369,369,1994100,21770
370,370,1999600,21830
371,371,2005100,21890
372,372,2010600,21950
373,373,2016200,22010
374,374,2022000,22070
375,375,2027500,22140
376,376,2033100,22210
377,377,2038600,22270
378,378,2044600,22330
379,379,2050200,22390
380,380,2055700,22450
381,381,2129900,22510
382,382,2135400,22570
383,383,2140900,22630
384,384,2146500,22690
385,385,2152300,23500
386,386,2157800,23570
387,387,2163300,23630
388,388,2168900,23690
389,389,2174400,23750
390,390,2180400,23810
391,391,2186000,23870
392,392,2191500,23930
393,393,2197000,24000
394,394,2202500,24060
395,395,2208100,24120
396,396,2213600,24180
397,397,2219100,24240
398,398,2224900,24310
399,399,2230500,24370
400,400,2236000,24430
401,401,2328300,24490
402,402,2334900,24550
403,403,2341000,24610
404,404,2347100,24670
405,405,2353200,25580
406,406,2359300,25650
407,407,2365400,25710
408,408,2371500,25780
409,409,2377600,25850
410,410,2383700,25920
411,411,2389800,25990
412,412,2396200,26060
413,413,2402300,26120
414,414,2408400,26190
415,415,2414500,26260
416,416,2421200,26320
417,417,2427300,26390
418,418,2433400,26460
419,419,2439500,26520
420,420,2445600,26590
421,421,2539000,26660
422,422,2545100,26720
423,423,2551200,26790
424,424,2557300,26870
425,425,2563400,27890
426,426,2569500,27950
427,427,2576000,28020
428,428,2582100,28080
429,429,2588200,28150
430,430,2594300,28220
431,431,2600400,28280
432,432,2607000,28350
433,433,2613100,28420
434,434,2619200,28480
435,435,2625300,28550
436,436,2631400,28620
437,437,2637500,28680
438,438,2643600,28750
439,439,2649700,28820
440,440,2655800,28890
441,441,2759700,28960
442,442,2766400,29030
443,443,2773000,29090
444,444,2780000,29160
445,445,2786700,30290
446,446,2793300,30360
447,447,2800000,30440
448,448,2806600,30510
449,449,2813800,30580
450,450,2820500,30650
451,451,2827100,30730
452,452,2833800,30800
453,453,2840400,30870
454,454,2847100,30940
455,455,2853800,31020
456,456,2860400,31090
457,457,2867100,31170
458,458,2873700,31250
459,459,2880400,31320
460,460,2887000,31390
461,461,3002500,31460
462,462,3009100,31540
463,463,3016100,31610
464,464,3022800,31680
465,465,3029400,32940
466,466,3036100,33010
467,467,3043300,33080
468,468,3049900,33160
469,469,3056600,33230
470,470,3063200,33300
471,471,3069900,33370
472,472,3076500,33450
473,473,3083200,33520
474,474,3089900,33590
475,475,3096500,33680
476,476,3103200,33750
477,477,3109800,33820
478,478,3116500,33890
479,479,3123100,33970
480,480,3129800,34040
481,481,3257300,34110
482,482,3264500,34180
483,483,3271800,34260
484,484,3279300,34330
485,485,3286500,35720
486,486,3293700,35800
487,487,3300900,35870
488,488,3308600,35950
489,489,3315900,36030
490,490,3323100,36110
491,491,3330300,36190
492,492,3337500,36270
493,493,3344700,36350
494,494,3351900,36420
495,495,3359100,36500
496,496,3366300,36590
497,497,3373500,36670
498,498,3380800,36750
499,499,3388000,36830
500,500,3395200,36910
501,501,3535900,36990
502,502,3543200,37060
503,503,3550400,37140
504,504,3557600,37220
505,505,3564800,38750
506,506,3572000,38830
507,507,3579200,38910
508,508,3586700,38990
509,509,3593900,39070
510,510,3601200,39150
511,511,3608400,39230
512,512,3616100,39300
513,513,3623300,39380
514,514,3630500,39460
515,515,3637700,39540
516,516,3644900,39620
517,517,3652200,39700
518,518,3659400,39780
519,519,3666600,39850
520,520,3673800,39940
521,521,3828400,40020
522,522,3836200,40100
523,523,3844000,40180
524,524,3851700,40260
525,525,3859500,41940
