id,name_localkey,animation_name,hide_character_name_code/0/name,hide_character_name_code/0/value,hide_character_name_code/1/name,hide_character_name_code/1/value,hide_character_name_code/2/name,hide_character_name_code/2/value,hide_costume_id/0/name,hide_costume_id/0/value,hide_costume_id/1/name,hide_costume_id/1/value,hide_costume_id/2/name,hide_costume_id/2/value
1,Locale_System:CHARACTER_FACE_ANIMATION_LIST_IDLE_01,idle,,,,,,,,,,,,
2,Locale_System:CHARACTER_FACE_ANIMATION_LIST_IDLE_01,idle_02,,,,,,,,,,,,
3,Locale_System:CHARACTER_FACE_ANIMATION_LIST_IDLE_01,idle_2,,,,,,,,,,,,
4,Locale_System:CHARACTER_FACE_ANIMATION_LIST_IDLE_01,idle2,,,,,,,,,,,,
5,Locale_System:CHARACTER_FACE_ANIMATION_LIST_ANGRY_01,angry,hide_character_name_code,1015.0,,,,,,,,,,
6,Locale_System:CHARACTER_FACE_ANIMATION_LIST_ANGRY_01,angry_02,,,,,,,,,,,,
7,Locale_System:CHARACTER_FACE_ANIMATION_LIST_ANGRY_01,angry_2,,,,,,,,,,,,
8,Locale_System:CHARACTER_FACE_ANIMATION_LIST_ANGRY_01,angry1,,,,,,,,,,,,
9,Locale_System:CHARACTER_FACE_ANIMATION_LIST_ANGRY_01,angry2,hide_character_name_code,5079.0,,,,,hide_costume_id,10006.0,hide_costume_id,10010.0,,
10,Locale_System:CHARACTER_FACE_ANIMATION_LIST_BATTLE_01,battle,,,,,,,,,,,,
11,Locale_System:CHARACTER_FACE_ANIMATION_LIST_CRAZY_01,crazy,,,,,,,,,,,,
12,Locale_System:CHARACTER_FACE_ANIMATION_LIST_CRY_01,cry,,,,,,,,,,,,
13,Locale_System:CHARACTER_FACE_ANIMATION_LIST_CRY_01,cry_02,,,,,,,,,,,,
14,Locale_System:CHARACTER_FACE_ANIMATION_LIST_DELIGHT_01,delight,hide_character_name_code,1015.0,,,,,,,,,,
15,Locale_System:CHARACTER_FACE_ANIMATION_LIST_DELIGHT_01,delight_02,,,,,,,,,,,,
16,Locale_System:CHARACTER_FACE_ANIMATION_LIST_DELIGHT_01,delight_2,,,,,,,,,,,,
17,Locale_System:CHARACTER_FACE_ANIMATION_LIST_DELIGHT_01,delight2,,,,,,,,,,,,
18,Locale_System:CHARACTER_FACE_ANIMATION_LIST_DELIGHT_01,delight3,,,,,,,,,,,,
19,Locale_System:CHARACTER_FACE_ANIMATION_LIST_GO_01,go,,,,,,,,,,,,
20,Locale_System:CHARACTER_FACE_ANIMATION_LIST_GOOD_01,good,,,,,,,hide_costume_id,30050.0,,,,
21,Locale_System:CHARACTER_FACE_ANIMATION_LIST_HAPPY_01,happy,,,,,,,,,,,,
22,Locale_System:CHARACTER_FACE_ANIMATION_LIST_NO_01,no,hide_character_name_code,5099.0,hide_character_name_code,5001.0,hide_character_name_code,5042.0,hide_costume_id,30027.0,hide_costume_id,30036.0,,
23,Locale_System:CHARACTER_FACE_ANIMATION_LIST_NO_01,no_02,,,,,,,,,,,,
24,Locale_System:CHARACTER_FACE_ANIMATION_LIST_PAIN_01,pain,hide_character_name_code,1018.0,,,,,,,,,,
25,Locale_System:CHARACTER_FACE_ANIMATION_LIST_PAIN_01,pain_01,,,,,,,,,,,,
26,Locale_System:CHARACTER_FACE_ANIMATION_LIST_PAIN_01,pain_02,,,,,,,,,,,,
27,Locale_System:CHARACTER_FACE_ANIMATION_LIST_PAIN_01,pain1,,,,,,,,,,,,
28,Locale_System:CHARACTER_FACE_ANIMATION_LIST_PAIN_01,pain2,,,,,,,,,,,,
29,Locale_System:CHARACTER_FACE_ANIMATION_LIST_PANIC_01,panic,,,,,,,,,,,,
30,Locale_System:CHARACTER_FACE_ANIMATION_LIST_RAGE_01,rage,,,,,,,,,,,,
31,Locale_System:CHARACTER_FACE_ANIMATION_LIST_RAGE_01,rage_02,hide_character_name_code,5048.0,,,,,,,,,,
32,Locale_System:CHARACTER_FACE_ANIMATION_LIST_SAD_01,sad,hide_character_name_code,1015.0,hide_character_name_code,1018.0,,,,,,,,
33,Locale_System:CHARACTER_FACE_ANIMATION_LIST_SAD_01,sad_01,,,,,,,,,,,,
34,Locale_System:CHARACTER_FACE_ANIMATION_LIST_SAD_01,sad_02,,,,,,,,,,,,
35,Locale_System:CHARACTER_FACE_ANIMATION_LIST_SAD_01,sad_03,,,,,,,,,,,,
36,Locale_System:CHARACTER_FACE_ANIMATION_LIST_SAD_01,sad_2,,,,,,,,,,,,
37,Locale_System:CHARACTER_FACE_ANIMATION_LIST_SAD_01,sad2,,,,,,,,,,,,
38,Locale_System:CHARACTER_FACE_ANIMATION_LIST_SCARE_01,scare,,,,,,,,,,,,
39,Locale_System:CHARACTER_FACE_ANIMATION_LIST_SERIOUS_01,serious,,,,,,,,,,,,
40,Locale_System:CHARACTER_FACE_ANIMATION_LIST_SHY_01,shy,,,,,,,,,,,,
41,Locale_System:CHARACTER_FACE_ANIMATION_LIST_SHY_01,shy_01,,,,,,,,,,,,
42,Locale_System:CHARACTER_FACE_ANIMATION_LIST_SHY_01,shy_02,,,,,,,,,,,,
43,Locale_System:CHARACTER_FACE_ANIMATION_LIST_SHY_01,shy_2,,,,,,,,,,,,
44,Locale_System:CHARACTER_FACE_ANIMATION_LIST_SHY_01,shy1,,,,,,,,,,,,
45,Locale_System:CHARACTER_FACE_ANIMATION_LIST_SHY_01,shy2,hide_character_name_code,5130.0,,,,,,,,,,
46,Locale_System:CHARACTER_FACE_ANIMATION_LIST_SHY_01,shy3,,,,,,,,,,,,
47,Locale_System:CHARACTER_FACE_ANIMATION_LIST_SLEEP_01,sleep,,,,,,,,,,,,
48,Locale_System:CHARACTER_FACE_ANIMATION_LIST_SLEEP_01,sleep_01,,,,,,,,,,,,
49,Locale_System:CHARACTER_FACE_ANIMATION_LIST_SLEEP_01,sleep_02,,,,,,,,,,,,
50,Locale_System:CHARACTER_FACE_ANIMATION_LIST_SMILE_01,smile,hide_character_name_code,1018.0,,,,,hide_costume_id,70002.0,,,,
51,Locale_System:CHARACTER_FACE_ANIMATION_LIST_SMILE_01,smile_02,,,,,,,,,,,,
52,Locale_System:CHARACTER_FACE_ANIMATION_LIST_SORROW_01,sorrow,,,,,,,,,,,,
53,Locale_System:CHARACTER_FACE_ANIMATION_LIST_SORRY_01,sorry,,,,,,,,,,,,
54,Locale_System:CHARACTER_FACE_ANIMATION_LIST_SPECIAL_01,special,hide_character_name_code,5124.0,hide_character_name_code,5089.0,,,hide_costume_id,30042.0,hide_costume_id,50015.0,hide_costume_id,30014.0
55,Locale_System:CHARACTER_FACE_ANIMATION_LIST_SPECIAL_01,special_02,hide_character_name_code,5124.0,,,,,,,,,,
56,Locale_System:CHARACTER_FACE_ANIMATION_LIST_SPECIAL_01,special2,,,,,,,,,,,,
57,Locale_System:CHARACTER_FACE_ANIMATION_LIST_SURPRISE_01,surp,,,,,,,,,,,,
58,Locale_System:CHARACTER_FACE_ANIMATION_LIST_SURPRISE_01,surp2,,,,,,,,,,,,
59,Locale_System:CHARACTER_FACE_ANIMATION_LIST_SURPRISE_01,surpreise,,,,,,,,,,,,
60,Locale_System:CHARACTER_FACE_ANIMATION_LIST_SURPRISE_01,surprise,hide_character_name_code,1015.0,hide_character_name_code,1018.0,,,,,,,,
61,Locale_System:CHARACTER_FACE_ANIMATION_LIST_SURPRISE_01,surprise_02,,,,,,,,,,,,
62,Locale_System:CHARACTER_FACE_ANIMATION_LIST_SURPRISE_01,surprise_2,,,,,,,,,,,,
63,Locale_System:CHARACTER_FACE_ANIMATION_LIST_SURPRISE_01,surprise2,,,,,,,,,,,,
64,Locale_System:CHARACTER_FACE_ANIMATION_LIST_SURPRISE_01,surprise3,,,,,,,,,,,,
65,Locale_System:CHARACTER_FACE_ANIMATION_LIST_SURPRISE_01,surprised,,,,,,,,,,,,
