id,group_id,reward_type,reward_id,reward_amount,score_min,score_max
1,101,SBCurrency,300101,10,0.0,10000.0
2,101,SBCurrency,300101,100,10001.0,15000.0
3,101,SBCurrency,300101,200,15001.0,30000.0
4,101,SBCurrency,300101,300,30001.0,45000.0
5,101,SBCurrency,300101,400,45001.0,60000.0
6,101,SBCurrency,300101,500,60001.0,
7,201,SBCurrency,300101,1500,,
8,301,SBCurrency,600101,8,,
9,102,SBCurrency,300101,10,0.0,10000.0
10,102,SBCurrency,300101,100,10001.0,15000.0
11,102,SBCurrency,300101,250,15001.0,25000.0
12,102,SBCurrency,300101,350,25001.0,50000.0
13,102,SBCurrency,300101,500,50001.0,75000.0
14,102,SBCurrency,300101,700,75001.0,100000.0
15,102,SBCurrency,300101,850,100001.0,125000.0
16,102,SBCurrency,300101,1000,125001.0,
17,202,SBCurrency,300101,2500,,
18,302,SBCurrency,600101,6,,
19,103,SBCurrency,300101,10,0.0,10000.0
20,103,SBCurrency,300101,100,10001.0,30000.0
21,103,SBCurrency,300101,250,30001.0,50000.0
22,103,SBCurrency,300101,350,50001.0,100000.0
23,103,SBCurrency,300101,500,100001.0,150000.0
24,103,SBCurrency,300101,700,150001.0,200000.0
25,103,SBCurrency,300101,850,200001.0,250000.0
26,103,SBCurrency,300101,1000,250001.0,300000.0
27,103,SBCurrency,300101,1500,300001.0,400000.0
28,103,SBCurrency,300101,2000,400001.0,500000.0
29,103,SBCurrency,300101,2500,500001.0,
30,203,SBCurrency,300101,3500,,
31,303,SBCurrency,600101,3,,
32,104,SBCurrency,300101,10,0.0,15000.0
33,104,SBCurrency,300101,100,15001.0,25000.0
34,104,SBCurrency,300101,200,25001.0,50000.0
35,104,SBCurrency,300101,350,50001.0,75000.0
36,104,SBCurrency,300101,600,75001.0,100000.0
37,104,SBCurrency,300101,750,100001.0,
38,204,SBCurrency,300101,2500,,
39,304,SBCurrency,600101,8,,
40,105,SBCurrency,300101,10,0.0,15000.0
41,105,SBCurrency,300101,100,15001.0,25000.0
42,105,SBCurrency,300101,300,25001.0,50000.0
43,105,SBCurrency,300101,450,50001.0,75000.0
44,105,SBCurrency,300101,700,75001.0,100000.0
45,105,SBCurrency,300101,900,100001.0,150000.0
46,105,SBCurrency,300101,1200,150001.0,200000.0
47,105,SBCurrency,300101,1500,200001.0,
48,205,SBCurrency,300101,3500,,
49,305,SBCurrency,600101,6,,
50,106,SBCurrency,300101,10,0.0,15000.0
51,106,SBCurrency,300101,100,15001.0,50000.0
52,106,SBCurrency,300101,400,50001.0,100000.0
53,106,SBCurrency,300101,550,100001.0,150000.0
54,106,SBCurrency,300101,800,150001.0,200000.0
55,106,SBCurrency,300101,1000,200001.0,300000.0
56,106,SBCurrency,300101,1200,300001.0,400000.0
57,106,SBCurrency,300101,1500,400001.0,500000.0
58,106,SBCurrency,300101,2000,500001.0,600000.0
59,106,SBCurrency,300101,2500,600001.0,700000.0
60,106,SBCurrency,300101,3000,700001.0,
61,206,SBCurrency,300101,4500,,
62,306,SBCurrency,600101,2,,
63,107,SBCurrency,300101,10,0.0,20000.0
64,107,SBCurrency,300101,100,20001.0,25000.0
65,107,SBCurrency,300101,300,25001.0,50000.0
66,107,SBCurrency,300101,500,50001.0,75000.0
67,107,SBCurrency,300101,750,75001.0,100000.0
68,107,SBCurrency,300101,1000,100001.0,
69,207,SBCurrency,300101,3500,,
70,307,SBCurrency,600101,8,,
71,108,SBCurrency,300101,10,0.0,20000.0
72,108,SBCurrency,300101,100,20001.0,25000.0
73,108,SBCurrency,300101,300,25001.0,50000.0
74,108,SBCurrency,300101,500,50001.0,75000.0
75,108,SBCurrency,300101,750,75001.0,100000.0
76,108,SBCurrency,300101,1000,100001.0,150000.0
77,108,SBCurrency,300101,1500,150001.0,200000.0
78,108,SBCurrency,300101,2000,200001.0,
79,208,SBCurrency,300101,4500,,
80,308,SBCurrency,600101,6,,
81,109,SBCurrency,300101,10,0.0,20000.0
82,109,SBCurrency,300101,100,20001.0,50000.0
83,109,SBCurrency,300101,400,50001.0,100000.0
84,109,SBCurrency,300101,800,100001.0,150000.0
85,109,SBCurrency,300101,1000,150001.0,200000.0
86,109,SBCurrency,300101,1200,200001.0,300000.0
87,109,SBCurrency,300101,1500,300001.0,400000.0
88,109,SBCurrency,300101,2000,400001.0,500000.0
89,109,SBCurrency,300101,2500,500001.0,600000.0
90,109,SBCurrency,300101,3000,600001.0,700000.0
91,109,SBCurrency,300101,3500,700001.0,
92,209,SBCurrency,300101,5500,,
93,309,SBCurrency,600101,1,,
