id,manager_id,condition_type,condition_id,condition_value,name_localkey,order,reward_id
101,1,GetPointStack,0,10000,Locale_Event:GetPointStack_name,1,8158045
102,1,GetPointStack,0,30000,Locale_Event:GetPointStack_name,2,8158046
103,1,GetPointStack,0,50000,Locale_Event:GetPointStack_name,3,8158047
104,1,GetPointStack,0,70000,Locale_Event:GetPointStack_name,4,8158048
105,1,GetPointStack,0,100000,Locale_Event:GetPointStack_name,5,8158049
106,1,GetPointStack,0,130000,Locale_Event:GetPointStack_name,6,8158050
107,1,GetPointStack,0,160000,Locale_Event:GetPointStack_name,7,8158051
108,1,GetPointStack,0,200000,Locale_Event:GetPointStack_name,8,8158052
201,1,UseSkillCount,1,5,Locale_Event:UseSkillCount_1_name,9,8158053
202,1,UseSkillCount,1,10,Locale_Event:UseSkillCount_1_name,10,8158054
203,1,UseSkillCount,1,15,Locale_Event:UseSkillCount_1_name,11,8158055
204,1,UseSkillCount,1,20,Locale_Event:UseSkillCount_1_name,12,8158056
301,1,UseSkillCount,2,5,Locale_Event:UseSkillCount_2_name,13,8158057
302,1,UseSkillCount,2,10,Locale_Event:UseSkillCount_2_name,14,8158058
303,1,UseSkillCount,2,15,Locale_Event:UseSkillCount_2_name,15,8158059
304,1,UseSkillCount,2,20,Locale_Event:UseSkillCount_2_name,16,8158060
