id,group,object_id,spawn_rate
10101,101,1,14
10102,101,2,30
10103,101,3,30
10104,101,4,30
10111,101,11,14
10112,101,12,30
10113,101,13,30
10114,101,14,30
10121,101,21,14
10122,101,22,30
10123,101,23,30
10124,101,24,30
10131,101,31,14
10132,101,32,30
10133,101,33,30
10134,101,34,30
10141,101,41,14
10142,101,42,30
10143,101,43,30
10144,101,44,30
10151,101,51,14
10152,101,52,30
10153,101,53,30
10154,101,54,30
10161,101,61,14
10162,101,62,30
10163,101,63,30
10164,101,64,30
10171,101,71,14
10172,101,72,30
10173,101,73,30
10174,101,74,30
10181,101,81,14
10182,101,82,30
10183,101,83,30
10184,101,84,30
10201,102,1,18
10202,102,2,30
10203,102,3,30
10204,102,4,30
10211,102,11,18
10212,102,12,30
10213,102,13,30
10214,102,14,30
10221,102,21,18
10222,102,22,30
10223,102,23,30
10224,102,24,30
10231,102,31,18
10232,102,32,30
10233,102,33,30
10234,102,34,30
10241,102,41,18
10242,102,42,30
10243,102,43,30
10244,102,44,30
10251,102,51,18
10252,102,52,30
10253,102,53,30
10254,102,54,30
10261,102,61,18
10262,102,62,30
10263,102,63,30
10264,102,64,30
10271,102,71,18
10272,102,72,30
10273,102,73,30
10274,102,74,30
10281,102,81,18
10282,102,82,30
10283,102,83,30
10284,102,84,30
10301,103,1,20
10302,103,2,30
10303,103,3,30
10304,103,4,30
10311,103,11,20
10312,103,12,30
10313,103,13,30
10314,103,14,30
10321,103,21,20
10322,103,22,30
10323,103,23,30
10324,103,24,30
10331,103,31,20
10332,103,32,30
10333,103,33,30
10334,103,34,30
10341,103,41,20
10342,103,42,30
10343,103,43,30
10344,103,44,30
10351,103,51,20
10352,103,52,30
10353,103,53,30
10354,103,54,30
10361,103,61,20
10362,103,62,30
10363,103,63,30
10364,103,64,30
10371,103,71,20
10372,103,72,30
10373,103,73,30
10374,103,74,30
10381,103,81,20
10382,103,82,30
10383,103,83,30
10384,103,84,30
10401,104,1,23
10402,104,2,30
10403,104,3,30
10404,104,4,30
10411,104,11,23
10412,104,12,30
10413,104,13,30
10414,104,14,30
10421,104,21,23
10422,104,22,30
10423,104,23,30
10424,104,24,30
10431,104,31,23
10432,104,32,30
10433,104,33,30
10434,104,34,30
10441,104,41,23
10442,104,42,30
10443,104,43,30
10444,104,44,30
10451,104,51,23
10452,104,52,30
10453,104,53,30
10454,104,54,30
10461,104,61,23
10462,104,62,30
10463,104,63,30
10464,104,64,30
10471,104,71,23
10472,104,72,30
10473,104,73,30
10474,104,74,30
10481,104,81,23
10482,104,82,30
10483,104,83,30
10484,104,84,30
10501,105,1,25
10502,105,2,30
10503,105,3,30
10504,105,4,30
10511,105,11,25
10512,105,12,30
10513,105,13,30
10514,105,14,30
10521,105,21,25
10522,105,22,30
10523,105,23,30
10524,105,24,30
10531,105,31,25
10532,105,32,30
10533,105,33,30
10534,105,34,30
10541,105,41,25
10542,105,42,30
10543,105,43,30
10544,105,44,30
10551,105,51,25
10552,105,52,30
10553,105,53,30
10554,105,54,30
10561,105,61,25
10562,105,62,30
10563,105,63,30
10564,105,64,30
10571,105,71,25
10572,105,72,30
10573,105,73,30
10574,105,74,30
10581,105,81,25
10582,105,82,30
10583,105,83,30
10584,105,84,30
10601,106,1,27
10602,106,2,30
10603,106,3,30
10604,106,4,30
10611,106,11,27
10612,106,12,30
10613,106,13,30
10614,106,14,30
10621,106,21,27
10622,106,22,30
10623,106,23,30
10624,106,24,30
10631,106,31,27
10632,106,32,30
10633,106,33,30
10634,106,34,30
10641,106,41,27
10642,106,42,30
10643,106,43,30
10644,106,44,30
10651,106,51,27
10652,106,52,30
10653,106,53,30
10654,106,54,30
10661,106,61,27
10662,106,62,30
10663,106,63,30
10664,106,64,30
10671,106,71,27
10672,106,72,30
10673,106,73,30
10674,106,74,30
10681,106,81,27
10682,106,82,30
10683,106,83,30
10684,106,84,30
10701,107,1,28
10702,107,2,30
10703,107,3,30
10704,107,4,30
10711,107,11,28
10712,107,12,30
10713,107,13,30
10714,107,14,30
10721,107,21,28
10722,107,22,30
10723,107,23,30
10724,107,24,30
10731,107,31,28
10732,107,32,30
10733,107,33,30
10734,107,34,30
10741,107,41,28
10742,107,42,30
10743,107,43,30
10744,107,44,30
10751,107,51,28
10752,107,52,30
10753,107,53,30
10754,107,54,30
10761,107,61,28
10762,107,62,30
10763,107,63,30
10764,107,64,30
10771,107,71,28
10772,107,72,30
10773,107,73,30
10774,107,74,30
10781,107,81,28
10782,107,82,30
10783,107,83,30
10784,107,84,30
10801,108,1,30
10802,108,2,30
10803,108,3,30
10804,108,4,30
10811,108,11,30
10812,108,12,30
10813,108,13,30
10814,108,14,30
