id,trigger,condition_id,condition_value,before_trigger_id,handler_type,print_value,shortcut_type,shortcut_value,name_localkey,description_localkey,point_value,reward_id
10004,SimulationRoomStart,0,1,0,MissionDaily,True,None,0,Locale_System:trigger_name_SimulationRoomStart,Locale_Trigger:trigger_desc_SimulationRoomStart,20,0
10005,InterceptStart,0,1,0,MissionDaily,True,None,0,Locale_Trigger:trigger_name_InterceptClear,Locale_Trigger:trigger_desc_InterceptClear,20,0
10012,CharacterCounsel,0,1,0,MissionDaily,True,None,0,Locale_Trigger:trigger_name_CharacterCounsel,Locale_Trigger:trigger_desc_CharacterCounsel,20,0
10011,SendDispatch,0,3,0,MissionDaily,True,None,0,Locale_Trigger:trigger_name_SendDispatch,Locale_Trigger:trigger_desc_SendDispatch,10,0
10009,OutpostBattleReward,0,1,0,MissionDaily,True,None,0,Locale_Trigger:trigger_name_OutpostBattleReward,Locale_Trigger:trigger_desc_OutpostBattleReward,10,0
10010,OutpostFastBattleReward,0,1,0,MissionDaily,True,None,0,Locale_Trigger:trigger_name_OutpostFastBattleReward,Locale_Trigger:trigger_desc_OutpostFastBattleReward,10,0
10006,SendFriendShipPoint,0,1,0,MissionDaily,True,None,0,Locale_Trigger:trigger_name_SendFriendShipPoint,Locale_Trigger:trigger_desc_SendFriendShipPoint,10,0
10001,CampaignStart,0,1,0,MissionDaily,True,None,0,Locale_Trigger:trigger_name_CampaignStart,Locale_Trigger:trigger_desc_CampaignStart,10,0
10002,GachaCharacter,0,1,0,MissionDaily,True,None,0,Locale_Trigger:trigger_name_GachaCharacter,Locale_Trigger:trigger_desc_GachaCharacter,10,0
10003,TowerAllStart,0,1,0,MissionDaily,True,None,0,Locale_Trigger:trigger_name_TowerAllStart,Locale_Trigger:trigger_desc_TowerAllStart,10,0
10019,MainShopBuy,0,1,0,MissionDaily,True,None,0,Locale_Trigger:trigger_name_MainShopBuy,Locale_Trigger:trigger_desc_MainShopBuy,10,0
10018,RookieArenaPlayCount,0,2,0,MissionDaily,True,None,0,Locale_Trigger:trigger_name_RookieArenaPlayCount,Locale_Trigger:trigger_desc_RookieArenaPlayCount,10,0
10007,CharacterLevelUpCount,0,1,0,MissionDaily,True,None,0,Locale_Trigger:trigger_name_CharacterLevelUp,Locale_Trigger:trigger_desc_CharacterLevelUp,10,0
10008,EquipItemLevelCount,0,1,0,MissionDaily,True,None,0,Locale_Trigger:trigger_name_EquipmentLevelExp,Locale_Trigger:trigger_desc_EquipItemLevelCount,10,0
10013,PointRewardDaily,0,20,0,MissionDaily,True,None,0,,,0,25106
10014,PointRewardDaily,0,40,0,MissionDaily,True,None,0,,,0,25107
10015,PointRewardDaily,0,60,0,MissionDaily,True,None,0,,,0,25108
10016,PointRewardDaily,0,80,0,MissionDaily,True,None,0,,,0,25109
10017,PointRewardDaily,0,100,0,MissionDaily,True,None,0,,,0,25110
20001,GachaCharacter,0,20,0,MissionWeekly,True,None,0,Locale_Trigger:trigger_name_GachaCharacter,Locale_Trigger:trigger_desc_GachaCharacter,20,0
20002,CharacterGradeUpCount,0,1,0,MissionWeekly,True,None,0,Locale_Trigger:trigger_name_CharacterGradeUp,Locale_Trigger:trigger_desc_CharacterGradeUp,20,0
20003,SimulationRoomClearWithoutCondition,0,5,0,MissionWeekly,True,None,0,Locale_Trigger:trigger_name_SimulationRoomClearWithoutCondition,Locale_Trigger:trigger_desc_SimulationRoomClearWithoutCondition,10,0
