id,group,priority,type,value_min,value_max,reward_id
1,1,1,Rank,1,1,92101
2,1,2,Rank,2,2,92102
3,1,3,Rank,3,3,92103
4,1,4,Rank,4,4,92104
5,1,5,Rank,5,5,92105
6,1,6,Rank,6,6,92106
7,1,7,Rank,7,7,92107
8,1,8,Rank,8,8,92108
9,1,9,Rank,9,9,92109
10,1,10,Rank,10,10,92110
101,1,11,Rank,11,25,92111
102,1,12,Rank,26,50,92112
103,1,13,Rank,51,0,92113
201,2,1,Rank,1,3,92201
202,2,2,Rank,4,6,92202
203,2,3,Rank,7,10,92203
204,2,4,Rank,11,30,92204
205,2,5,Rank,31,60,92205
206,2,6,Rank,61,90,92206
207,2,7,Rank,91,120,92207
208,2,8,Rank,121,0,92208
200001,200000,1,DamageDoneToTargetMonster,0,600000,200001
200002,200000,2,DamageDoneToTargetMonster,600001,1000000,200002
200003,200000,3,DamageDoneToTargetMonster,1000001,1400000,200003
200004,200000,4,DamageDoneToTargetMonster,1400001,1800000,200004
200005,200000,5,DamageDoneToTargetMonster,1800001,2200000,200005
200006,200000,6,DamageDoneToTargetMonster,2200001,2600000,200006
200007,200000,7,DamageDoneToTargetMonster,2600001,3100000,200007
200008,200000,8,DamageDoneToTargetMonster,3100001,3600000,200008
200009,200000,9,DamageDoneToTargetMonster,3600001,0,200009
210001,210000,1,Rank,1,30,210001
210002,210000,2,Rank,31,100,210002
210003,210000,3,RankPercent,0,1000,210003
210004,210000,4,RankPercent,1000,3000,210004
210005,210000,5,RankPercent,3000,7000,210005
210006,210000,6,RankPercent,7000,10000,210006
210011,210010,1,Rank,1,30,210011
210012,210010,2,Rank,31,100,210012
210013,210010,3,RankPercent,0,1000,210013
210014,210010,4,RankPercent,1000,3000,210014
210015,210010,5,RankPercent,3000,7000,210015
210016,210010,6,RankPercent,7000,10000,210016
10210101,102101,1,DamageDoneToTargetMonster,0,38000,12110001
10210102,102101,2,DamageDoneToTargetMonster,38001,63000,12110002
10210103,102101,3,DamageDoneToTargetMonster,63001,119000,12110003
10210104,102101,4,DamageDoneToTargetMonster,119001,301000,12110004
10210105,102101,5,DamageDoneToTargetMonster,301001,1038000,12110005
10210106,102101,6,DamageDoneToTargetMonster,1038001,1865000,12110006
10210107,102101,7,DamageDoneToTargetMonster,1865001,2963000,12110007
10210108,102101,8,DamageDoneToTargetMonster,2963001,4128000,12110008
10210109,102101,9,DamageDoneToTargetMonster,4128001,0,12110009
10211106,102111,6,DamageDoneToTargetMonster,1038001,1865000,12111006
10211107,102111,7,DamageDoneToTargetMonster,1865001,2963000,12111007
10211108,102111,8,DamageDoneToTargetMonster,2963001,4128000,12111008
10211109,102111,9,DamageDoneToTargetMonster,4128001,0,12111009
12210001,102102,1,DamageDoneToTargetMonster,0,482000,12210001
12210002,102102,2,DamageDoneToTargetMonster,482001,914000,12210002
12210003,102102,3,DamageDoneToTargetMonster,914001,1858000,12210003
12210004,102102,4,DamageDoneToTargetMonster,1858001,2813000,12210004
12210005,102102,5,DamageDoneToTargetMonster,2813001,4870000,12210005
12210006,102102,6,DamageDoneToTargetMonster,4870001,6660000,12210006
12210007,102102,7,DamageDoneToTargetMonster,6660001,12561000,12210007
12210008,102102,8,DamageDoneToTargetMonster,12561001,19732000,12210008
12210009,102102,9,DamageDoneToTargetMonster,19732001,0,12210009
10211205,102112,5,DamageDoneToTargetMonster,2813001,4870000,12211005
10211206,102112,6,DamageDoneToTargetMonster,4870001,6660000,12211006
10211207,102112,7,DamageDoneToTargetMonster,6660001,12561000,12211007
10211208,102112,8,DamageDoneToTargetMonster,12561001,19732000,12211008
10211209,102112,9,DamageDoneToTargetMonster,19732001,0,12211009
10310101,103101,1,DamageDoneToTargetMonster,0,8404000,13110001
10310102,103101,2,DamageDoneToTargetMonster,8404001,11641000,13110002
10310103,103101,3,DamageDoneToTargetMonster,11641001,17026000,13110003
10310104,103101,4,DamageDoneToTargetMonster,17026001,20454000,13110004
10310105,103101,5,DamageDoneToTargetMonster,20454001,26539000,13110005
10310106,103101,6,DamageDoneToTargetMonster,26539001,32798000,13110006
10310107,103101,7,DamageDoneToTargetMonster,32798001,46641000,13110007
10310108,103101,8,DamageDoneToTargetMonster,46641001,62007000,13110008
10310109,103101,9,DamageDoneToTargetMonster,62007001,0,13110009
10311104,103111,4,DamageDoneToTargetMonster,17026001,20454000,13111004
10311105,103111,5,DamageDoneToTargetMonster,20454001,26539000,13111005
10311106,103111,6,DamageDoneToTargetMonster,26539001,32798000,13111006
10311107,103111,7,DamageDoneToTargetMonster,32798001,46641000,13111007
10311108,103111,8,DamageDoneToTargetMonster,46641001,62007000,13111008
10311109,103111,9,DamageDoneToTargetMonster,62007001,0,13111009
10310201,103102,1,DamageDoneToTargetMonster,0,8404000,13120001
10310202,103102,2,DamageDoneToTargetMonster,8404001,11641000,13120002
10310203,103102,3,DamageDoneToTargetMonster,11641001,17026000,13120003
10310204,103102,4,DamageDoneToTargetMonster,17026001,20454000,13120004
10310205,103102,5,DamageDoneToTargetMonster,20454001,26539000,13120005
10310206,103102,6,DamageDoneToTargetMonster,26539001,32798000,13120006
10310207,103102,7,DamageDoneToTargetMonster,32798001,46641000,13120007
10310208,103102,8,DamageDoneToTargetMonster,46641001,62007000,13120008
10310209,103102,9,DamageDoneToTargetMonster,62007001,0,13120009
10311204,103112,4,DamageDoneToTargetMonster,17026001,20454000,13121004
10311205,103112,5,DamageDoneToTargetMonster,20454001,26539000,13121005
10311206,103112,6,DamageDoneToTargetMonster,26539001,32798000,13121006
10311207,103112,7,DamageDoneToTargetMonster,32798001,46641000,13121007
10311208,103112,8,DamageDoneToTargetMonster,46641001,62007000,13121008
10311209,103112,9,DamageDoneToTargetMonster,62007001,0,13121009
10310301,103103,1,DamageDoneToTargetMonster,0,8404000,13130001
10310302,103103,2,DamageDoneToTargetMonster,8404001,11641000,13130002
10310303,103103,3,DamageDoneToTargetMonster,11641001,17026000,13130003
10310304,103103,4,DamageDoneToTargetMonster,17026001,20454000,13130004
10310305,103103,5,DamageDoneToTargetMonster,20454001,26539000,13130005
10310306,103103,6,DamageDoneToTargetMonster,26539001,32798000,13130006
10310307,103103,7,DamageDoneToTargetMonster,32798001,46641000,13130007
10310308,103103,8,DamageDoneToTargetMonster,46641001,62007000,13130008
10310309,103103,9,DamageDoneToTargetMonster,62007001,0,13130009
10311304,103113,4,DamageDoneToTargetMonster,17026001,20454000,13131004
10311305,103113,5,DamageDoneToTargetMonster,20454001,26539000,13131005
10311306,103113,6,DamageDoneToTargetMonster,26539001,32798000,13131006
10311307,103113,7,DamageDoneToTargetMonster,32798001,46641000,13131007
