id,object_resource,object_type,object_collider_left_size,object_collider_right_size,object_collider_up_size,object_collider_down_size,movestepstone_size,spawn_object_id,preaction_time,dragon_fire_time,object_damage,knock_back_direction,needle_up_time,needle_up_to_down_time,needle_down_time,needle_down_to_up_time,guard_range,chase_delay_time,give_gold_amount,appearance_percent
10111,dragondungeonrun_ingame_obstacle_box,Obstacle,0,0,0,0,0,0,0,0,0,None,0,0,0,0,0,0,0,10000
10121,dragondungeonrun_ingame_obstacle_stone,Obstacle,0,0,0,0,0,0,0,0,0,None,0,0,0,0,0,0,0,10000
10122,dragondungeonrun_ingame_obstacle_stone_blue,Obstacle,0,0,0,0,0,0,0,0,0,None,0,0,0,0,0,0,0,10000
10131,dragondungeonrun_ingame_obstacle_statue,Obstacle,0,0,0,0,0,0,0,0,0,None,0,0,0,0,0,0,0,10000
10141,dragondungeonrun_ingame_obstacle_brazier,Obstacle,0,0,0,0,0,0,0,0,0,None,0,0,0,0,0,0,0,10000
10211,dragondungeonrun_ingame_hazard_fireball,Fireball,30,30,10,10,0,0,0,0,100,MoveDirection,0,0,0,0,0,0,0,10000
10311,dragondungeonrun_ingame_hazard_rock_trap,Rock,30,30,30,30,0,0,0,0,100,MoveDirection,0,0,0,0,0,0,0,10000
10411,dragondungeonrun_ingame_spike_trap,Needle,0,0,0,0,0,0,50,0,100,PreviousLocation,100,15,180,15,0,0,0,10000
10511,dragondungeonrun_ingame_hazard_giant_ax,GiantAX,30,30,10,10,0,0,0,0,100,MoveDirection,0,0,0,0,0,0,0,10000
10611,dragondungeonrun_ingame_stepstone,StepStone,0,0,0,0,0,0,0,0,0,None,0,0,0,0,0,0,0,10000
10711,dragondungeonrun_ingame_stepstone,MoveStepStone,0,0,0,0,100,0,0,0,0,None,0,0,0,0,0,0,0,10000
10721,dragondungeonrun_ingame_stepstone,MoveStepStone,0,0,0,0,200,0,0,0,0,None,0,0,0,0,0,0,0,10000
10731,dragondungeonrun_ingame_stepstone,MoveStepStone,0,0,0,0,300,0,0,0,0,None,0,0,0,0,0,0,0,10000
10811,dragondungeonrun_ingame_patrolling_rapture_landcrab,Rapture,40,40,40,40,0,10911,0,0,100,MoveDirection,0,0,0,0,150,0,0,10000
10821,dragondungeonrun_ingame_patrolling_rapture_pelican,Rapture,40,40,40,40,0,10921,0,0,100,MoveDirection,0,0,0,0,150,0,0,10000
10812,dragondungeonrun_ingame_patrolling_rapture_landcrab,Rapture,40,40,40,40,0,10911,0,0,100,MoveDirection,0,0,0,0,250,0,0,10000
10822,dragondungeonrun_ingame_patrolling_rapture_pelican,Rapture,40,40,40,40,0,10921,0,0,100,MoveDirection,0,0,0,0,250,0,0,10000
10911,dragondungeonrun_ingame_tracking_rapture_landcrab,TrackingRapture,40,40,40,40,0,0,0,0,100,MoveDirection,0,0,0,0,0,0,0,10000
10921,dragondungeonrun_ingame_tracking_rapture_pelican,TrackingRapture,40,40,40,40,0,0,0,0,100,MoveDirection,0,0,0,0,0,0,0,10000
11011,dragondungeonrun_ingame_disguised_mimic,Mimic,0,0,0,0,0,11111,0,0,0,PreviousLocation,0,0,0,0,0,0,0,10000
11012,dragondungeonrun_ingame_disguised_mimic,Mimic,0,0,0,0,0,11111,0,0,0,PreviousLocation,0,0,0,0,0,0,0,5000
11111,dragondungeonrun_ingame_tracking_mimic,TrackingMimic,40,40,40,40,0,0,0,0,100,MoveDirection,0,0,0,0,0,100,0,10000
11211,dragondungeonrun_ingame_dragon,Dragon,0,0,0,0,0,0,200,25,100,Back,0,0,0,0,0,0,0,10000
11212,dragondungeonrun_ingame_dragon,Dragon,0,0,0,0,0,0,200,25,100,Back,0,0,0,0,0,0,0,3000
11214,dragondungeonrun_ingame_dragon,Dragon,0,0,0,0,0,0,200,25,100,Back,0,0,0,0,0,0,0,5000
11411,dragondungeonrun_ingame_coin_single,Gold,0,0,0,0,0,0,0,0,0,None,0,0,0,0,0,0,1,10000
11412,dragondungeonrun_ingame_coin_single,Gold,0,0,0,0,0,0,0,0,0,None,0,0,0,0,0,0,1,5000
11421,dragondungeonrun_ingame_coin_bag,Gold,0,0,0,0,0,0,0,0,0,None,0,0,0,0,0,0,10,10000
11422,dragondungeonrun_ingame_coin_bag,Gold,0,0,0,0,0,0,0,0,0,None,0,0,0,0,0,0,10,5000
11423,dragondungeonrun_ingame_coin_bag,Gold,0,0,0,0,0,0,0,0,0,None,0,0,0,0,0,0,10,3000
11424,dragondungeonrun_ingame_coin_bag,Gold,0,0,0,0,0,0,0,0,0,None,0,0,0,0,0,0,10,1000
11431,dragondungeonrun_ingame_coin_chest,Gold,0,0,0,0,0,0,0,0,0,None,0,0,0,0,0,0,30,10000
11432,dragondungeonrun_ingame_coin_chest,Gold,0,0,0,0,0,0,0,0,0,None,0,0,0,0,0,0,30,5000
