id,desc,synergy_icon,synergy_condition,effect_type,effect_value,synergy_name_locale,synergy_desc_locale,synergy_desc_activated,synergy_check_build/0/synergy_check_build_id/0/name,synergy_check_build/0/synergy_check_build_id/0/value,synergy_check_build/0/synergy_check_build_id/1/name,synergy_check_build/0/synergy_check_build_id/1/value,synergy_check_build/0/synergy_check_build_id/2/name,synergy_check_build/0/synergy_check_build_id/2/value,synergy_check_build/0/synergy_check_build_id/3/name,synergy_check_build/0/synergy_check_build_id/3/value,synergy_check_build/1/synergy_check_build_id/0/name,synergy_check_build/1/synergy_check_build_id/0/value,synergy_check_build/1/synergy_check_build_id/1/name,synergy_check_build/1/synergy_check_build_id/1/value,synergy_check_build/1/synergy_check_build_id/2/name,synergy_check_build/1/synergy_check_build_id/2/value,synergy_check_build/1/synergy_check_build_id/3/name,synergy_check_build/1/synergy_check_build_id/3/value
101,[전력 증강],rebuildeden_icn_synergy_electric_up,SynergyConditionConnectOr,AddBasicElectronicsAmount,20,Locale_Event:rebe_synergy_name_01,Locale_Event:rebe_synergy_desc_01,rebe_synergy_descAct_01,synergy_check_build_id,101.0,synergy_check_build_id,201.0,synergy_check_build_id,401.0,synergy_check_build_id,501.0,synergy_check_build_id,101.0,synergy_check_build_id,201.0,synergy_check_build_id,401.0,synergy_check_build_id,501.0
102,[보급 증강],rebuildeden_icn_synergy_material_up,SynergyConditionConnectOr,IncreaseProductionAmount,1,Locale_Event:rebe_synergy_name_02,Locale_Event:rebe_synergy_desc_02,rebe_synergy_descAct_02,synergy_check_build_id,103.0,,,,,,,synergy_check_build_id,103.0,,,,,,
103,[부대 집결],rebuildeden_icn_synergy_dispatchratio_up,SynergyConditionConnectOr,AddDispatchSuccessProbability,500,Locale_Event:rebe_synergy_name_03,Locale_Event:rebe_synergy_desc_03,rebe_synergy_descAct_03,synergy_check_build_id,207.0,synergy_check_build_id,304.0,synergy_check_build_id,506.0,,,synergy_check_build_id,207.0,synergy_check_build_id,304.0,synergy_check_build_id,506.0,,
104,[파견 증강],rebuildeden_icn_synergy_dispatchratio_up,SynergyConditionRowInOrder,AddDispatchSuccessProbability,500,Locale_Event:rebe_synergy_name_04,Locale_Event:rebe_synergy_desc_04,rebe_synergy_descAct_04,synergy_check_build_id,303.0,,,,,,,,,,,,,,
105,[고용 증강],rebuildeden_icn_synergy_money_down,SynergyConditionRowInOrder,DecreaseRecruitValuePercentage,1000,Locale_Event:rebe_synergy_name_05,Locale_Event:rebe_synergy_desc_05,rebe_synergy_descAct_05,synergy_check_build_id,303.0,,,,,,,synergy_check_build_id,404.0,,,,,,
106,[장비 생산 집중],rebuildeden_icn_synergy_crafttime_down,SynergyConditionRowInOrder,DecreaseCreateTime,2000,Locale_Event:rebe_synergy_name_06,Locale_Event:rebe_synergy_desc_06,rebe_synergy_descAct_06,synergy_check_build_id,205.0,,,,,,,,,,,,,,
107,[전력 자원 전환 집중],rebuildeden_icn_synergy_crafttime_down,SynergyConditionConnectAnd,DecreaseCreateTime,2000,Locale_Event:rebe_synergy_name_07,Locale_Event:rebe_synergy_desc_07,rebe_synergy_descAct_07,synergy_check_build_id,101.0,synergy_check_build_id,201.0,synergy_check_build_id,401.0,synergy_check_build_id,501.0,synergy_check_build_id,101.0,synergy_check_build_id,201.0,synergy_check_build_id,401.0,synergy_check_build_id,501.0
108,[지하 자원 전환 집중],rebuildeden_icn_synergy_crafttime_down,SynergyConditionConnectAnd,DecreaseCreateTime,2000,Locale_Event:rebe_synergy_name_08,Locale_Event:rebe_synergy_desc_08,rebe_synergy_descAct_08,synergy_check_build_id,101.0,synergy_check_build_id,201.0,synergy_check_build_id,401.0,synergy_check_build_id,501.0,synergy_check_build_id,101.0,synergy_check_build_id,201.0,synergy_check_build_id,401.0,synergy_check_build_id,501.0
109,[미사용],icn_nks_attack,SynergyConditionRowInOrder,IncreaseProductionAmount,1,Locale_Event:rebe_synergy_name_09,Locale_Event:rebe_synergy_desc_09,rebe_synergy_descAct_09,,,,,,,,,,,,,,,,
110,[미사용],icn_nks_attack,SynergyConditionConnectAnd,IncreaseProductionAmount,1,Locale_Event:rebe_synergy_name_10,Locale_Event:rebe_synergy_desc_10,rebe_synergy_descAct_10,synergy_check_build_id,301.0,synergy_check_build_id,402.0,synergy_check_build_id,503.0,,,synergy_check_build_id,301.0,synergy_check_build_id,402.0,synergy_check_build_id,503.0,,
