id,archive_messenger_group_id,tid,archive_messenger_condition_list/0/condition_type,archive_messenger_condition_list/0/condition_id,archive_messenger_condition_list/1/condition_type,archive_messenger_condition_list/1/condition_id,archive_messenger_condition_list/2/condition_type,archive_messenger_condition_list/2/condition_id
7000101,130001,m_event_fullfoolday_01,CampaignClear,6600105,None,0,None,0
7000102,130001,m_event_fullfoolday_02,CampaignClear,6600105,None,0,None,0
7000103,130001,m_event_fullfoolday_03,CampaignClear,6600105,None,0,None,0
7000104,130001,m_event_fullfoolday_04,CampaignClear,6600105,None,0,None,0
7000105,130001,m_event_fullfoolday_05,CampaignClear,6600105,None,0,None,0
7000201,40014,m_ex_bunnyx777_01,EventStageClear,101610101,None,0,None,0
7000202,40014,m_ex_bunnyx777_02,EventStageClear,101610103,MessageClear,7000201,None,0
7000203,40014,m_ex_bunnyx777_03,EventStageClear,101610107,MessageClear,7000202,None,0
7000204,40014,m_ex_bunnyx777_04,EventStageClear,101610112,MessageClear,7000203,None,0
7000205,40014,m_ex_bunnyx777_05,EventStageClear,101610112,MessageClear,7000204,None,0
7000206,40014,m_ex_bunnyx777_06,EventStageClear,101610112,MessageClear,7000205,None,0
7000207,40014,m_ex_bunnyx777_07,EventStageClear,101610112,MessageClear,7000206,None,0
7000208,40014,m_ex_bunnyx777_08,EventStageClear,101610112,MessageClear,7000207,None,0
7000209,40014,m_ex_bunnyx777_09,EventStageClear,101620112,MessageClear,7000208,None,0
7000301,40015,m_ex_queensorder_01,EventStageClear,101710105,None,0,None,0
7000302,40015,m_ex_queensorder_02,EventStageClear,101710108,MessageClear,7000301,None,0
7000303,40015,m_ex_queensorder_03,EventStageClear,101710110,MessageClear,7000302,None,0
7000304,40015,m_ex_queensorder_04,EventStageClear,101710112,MessageClear,7000303,None,0
7000305,40015,m_ex_queensorder_05,EventStageClear,101710112,MessageClear,7000304,None,0
7000401,40020,m_ex_2023_summer_01,EventStageClear,102010101,None,0,None,0
7000402,40020,m_ex_2023_summer_02,EventStageClear,102010106,MessageClear,7000401,None,0
