id,event_id,name,lock_name,ui_description,ui_lock_description,ui_icon
6001,81901,YX002_PIECE_UNLOCKED_NAME_01,YX002_PIECE_LOCKED_NAME_01,YX002_PIECE_UNLOCKED_DESC_01,YX002_COLLECTION_UNLOCKED_DESC_01,MiniGameEVA/Book/Eventscene1_1_01.png
6002,81901,YX002_PIECE_UNLOCKED_NAME_02,YX002_PIECE_LOCKED_NAME_02,YX002_PIECE_UNLOCKED_DESC_02,YX002_COLLECTION_UNLOCKED_DESC_02,MiniGameEVA/Book/Eventscene1_1_02.png
6003,81901,YX002_PIECE_UNLOCKED_NAME_03,YX002_PIECE_LOCKED_NAME_03,YX002_PIECE_UNLOCKED_DESC_03,YX002_COLLECTION_UNLOCKED_DESC_03,MiniGameEVA/Book/Eventscene1_1_03.png
6004,81901,YX002_PIECE_UNLOCKED_NAME_04,YX002_PIECE_LOCKED_NAME_04,YX002_PIECE_UNLOCKED_DESC_04,YX002_COLLECTION_UNLOCKED_DESC_04,MiniGameEVA/Book/Eventscene1_1_04.png
6005,81901,YX002_COLLECTION_UNLOCKED_NAME_01,YX002_COLLECTION_LOCKED_NAME_01,YX002_PIECE_UNLOCKED_DESC_05,YX002_COLLECTION_UNLOCKED_DESC_05,MiniGameEVA/Book/Eventscene1_1.png
6006,81901,YX002_PIECE_UNLOCKED_NAME_01,YX002_PIECE_LOCKED_NAME_01,YX002_PIECE_UNLOCKED_DESC_06,YX002_COLLECTION_UNLOCKED_DESC_06,MiniGameEVA/Book/Eventscene2_1_01.png
6007,81901,YX002_PIECE_UNLOCKED_NAME_02,YX002_PIECE_LOCKED_NAME_02,YX002_PIECE_UNLOCKED_DESC_07,YX002_COLLECTION_UNLOCKED_DESC_07,MiniGameEVA/Book/Eventscene2_1_02.png
6008,81901,YX002_PIECE_UNLOCKED_NAME_03,YX002_PIECE_LOCKED_NAME_03,YX002_PIECE_UNLOCKED_DESC_08,YX002_COLLECTION_UNLOCKED_DESC_08,MiniGameEVA/Book/Eventscene2_1_03.png
6009,81901,YX002_PIECE_UNLOCKED_NAME_04,YX002_PIECE_LOCKED_NAME_04,YX002_PIECE_UNLOCKED_DESC_09,YX002_COLLECTION_UNLOCKED_DESC_09,MiniGameEVA/Book/Eventscene2_1_04.png
6010,81901,YX002_COLLECTION_UNLOCKED_NAME_02,YX002_COLLECTION_LOCKED_NAME_02,YX002_PIECE_UNLOCKED_DESC_10,YX002_COLLECTION_UNLOCKED_DESC_10,MiniGameEVA/Book/Eventscene2_1.png
6011,81901,YX002_PIECE_UNLOCKED_NAME_01,YX002_PIECE_LOCKED_NAME_01,YX002_PIECE_UNLOCKED_DESC_11,YX002_COLLECTION_UNLOCKED_DESC_11,MiniGameEVA/Book/Eventscene3_01.png
6012,81901,YX002_PIECE_UNLOCKED_NAME_02,YX002_PIECE_LOCKED_NAME_02,YX002_PIECE_UNLOCKED_DESC_12,YX002_COLLECTION_UNLOCKED_DESC_12,MiniGameEVA/Book/Eventscene3_02.png
6013,81901,YX002_PIECE_UNLOCKED_NAME_03,YX002_PIECE_LOCKED_NAME_03,YX002_PIECE_UNLOCKED_DESC_13,YX002_COLLECTION_UNLOCKED_DESC_13,MiniGameEVA/Book/Eventscene3_03.png
6014,81901,YX002_PIECE_UNLOCKED_NAME_04,YX002_PIECE_LOCKED_NAME_04,YX002_PIECE_UNLOCKED_DESC_14,YX002_COLLECTION_UNLOCKED_DESC_14,MiniGameEVA/Book/Eventscene3_04.png
6015,81901,YX002_COLLECTION_UNLOCKED_NAME_03,YX002_COLLECTION_LOCKED_NAME_03,YX002_PIECE_UNLOCKED_DESC_15,YX002_COLLECTION_UNLOCKED_DESC_15,MiniGameEVA/Book/Eventscene3.png
6016,81901,YX002_PIECE_UNLOCKED_NAME_01,YX002_PIECE_LOCKED_NAME_01,YX002_PIECE_UNLOCKED_DESC_16,YX002_COLLECTION_UNLOCKED_DESC_16,MiniGameEVA/Book/Eventscene1_2_01.png
6017,81901,YX002_PIECE_UNLOCKED_NAME_02,YX002_PIECE_LOCKED_NAME_02,YX002_PIECE_UNLOCKED_DESC_17,YX002_COLLECTION_UNLOCKED_DESC_17,MiniGameEVA/Book/Eventscene1_2_02.png
6018,81901,YX002_PIECE_UNLOCKED_NAME_03,YX002_PIECE_LOCKED_NAME_03,YX002_PIECE_UNLOCKED_DESC_18,YX002_COLLECTION_UNLOCKED_DESC_18,MiniGameEVA/Book/Eventscene1_2_03.png
6019,81901,YX002_PIECE_UNLOCKED_NAME_04,YX002_PIECE_LOCKED_NAME_04,YX002_PIECE_UNLOCKED_DESC_19,YX002_COLLECTION_UNLOCKED_DESC_19,MiniGameEVA/Book/Eventscene1_2_04.png
6020,81901,YX002_COLLECTION_UNLOCKED_NAME_04,YX002_COLLECTION_LOCKED_NAME_04,YX002_PIECE_UNLOCKED_DESC_20,YX002_COLLECTION_UNLOCKED_DESC_20,MiniGameEVA/Book/Eventscene1_2.png
6021,81901,YX002_PIECE_UNLOCKED_NAME_01,YX002_PIECE_LOCKED_NAME_01,YX002_PIECE_UNLOCKED_DESC_21,YX002_COLLECTION_UNLOCKED_DESC_21,MiniGameEVA/Book/Eventscene5_01.png
6022,81901,YX002_PIECE_UNLOCKED_NAME_02,YX002_PIECE_LOCKED_NAME_02,YX002_PIECE_UNLOCKED_DESC_22,YX002_COLLECTION_UNLOCKED_DESC_22,MiniGameEVA/Book/Eventscene5_02.png
6023,81901,YX002_PIECE_UNLOCKED_NAME_03,YX002_PIECE_LOCKED_NAME_03,YX002_PIECE_UNLOCKED_DESC_23,YX002_COLLECTION_UNLOCKED_DESC_23,MiniGameEVA/Book/Eventscene5_03.png
