id,bios_group,name_localkey,description_localkey,resource_id,bios_rare,element,main_option,sub_01_option,sub_02_option
10101,101,Locale_Item:randombox_wipeout_equipment_01_name,Locale_Item:randombox_wipeout_equipment_desc,,4,Fire,101,102,103
10201,201,Locale_Item:randombox_wipeout_equipment_02_name,Locale_Item:randombox_wipeout_equipment_desc,,5,Fire,201,202,203
10301,301,Locale_Item:randombox_wipeout_equipment_03_name,Locale_Item:randombox_wipeout_equipment_desc,,6,Fire,301,302,303
10401,401,Locale_Item:randombox_wipeout_equipment_04_name,Locale_Item:randombox_wipeout_equipment_desc,,7,Fire,401,402,403
10501,501,Locale_Item:randombox_wipeout_equipment_05_name,Locale_Item:randombox_wipeout_equipment_desc,,8,Fire,501,502,503
10601,601,Locale_Item:randombox_wipeout_equipment_06_name,Locale_Item:randombox_wipeout_equipment_desc,,9,Fire,601,602,603
20101,101,Locale_Item:randombox_wipeout_equipment_01_name,Locale_Item:randombox_wipeout_equipment_desc,,4,Water,101,102,103
20201,201,Locale_Item:randombox_wipeout_equipment_02_name,Locale_Item:randombox_wipeout_equipment_desc,,5,Water,201,202,203
20301,301,Locale_Item:randombox_wipeout_equipment_03_name,Locale_Item:randombox_wipeout_equipment_desc,,6,Water,301,302,303
20401,401,Locale_Item:randombox_wipeout_equipment_04_name,Locale_Item:randombox_wipeout_equipment_desc,,7,Water,401,402,403
20501,501,Locale_Item:randombox_wipeout_equipment_05_name,Locale_Item:randombox_wipeout_equipment_desc,,8,Water,501,502,503
20601,601,Locale_Item:randombox_wipeout_equipment_06_name,Locale_Item:randombox_wipeout_equipment_desc,,9,Water,601,602,603
30101,101,Locale_Item:randombox_wipeout_equipment_01_name,Locale_Item:randombox_wipeout_equipment_desc,,4,Wind,101,102,103
30201,201,Locale_Item:randombox_wipeout_equipment_02_name,Locale_Item:randombox_wipeout_equipment_desc,,5,Wind,201,202,203
30301,301,Locale_Item:randombox_wipeout_equipment_03_name,Locale_Item:randombox_wipeout_equipment_desc,,6,Wind,301,302,303
30401,401,Locale_Item:randombox_wipeout_equipment_04_name,Locale_Item:randombox_wipeout_equipment_desc,,7,Wind,401,402,403
30501,501,Locale_Item:randombox_wipeout_equipment_05_name,Locale_Item:randombox_wipeout_equipment_desc,,8,Wind,501,502,503
30601,601,Locale_Item:randombox_wipeout_equipment_06_name,Locale_Item:randombox_wipeout_equipment_desc,,9,Wind,601,602,603
40101,101,Locale_Item:randombox_wipeout_equipment_01_name,Locale_Item:randombox_wipeout_equipment_desc,,4,Electronic,101,102,103
40201,201,Locale_Item:randombox_wipeout_equipment_02_name,Locale_Item:randombox_wipeout_equipment_desc,,5,Electronic,201,202,203
40301,301,Locale_Item:randombox_wipeout_equipment_03_name,Locale_Item:randombox_wipeout_equipment_desc,,6,Electronic,301,302,303
40401,401,Locale_Item:randombox_wipeout_equipment_04_name,Locale_Item:randombox_wipeout_equipment_desc,,7,Electronic,401,402,403
40501,501,Locale_Item:randombox_wipeout_equipment_05_name,Locale_Item:randombox_wipeout_equipment_desc,,8,Electronic,501,502,503
40601,601,Locale_Item:randombox_wipeout_equipment_06_name,Locale_Item:randombox_wipeout_equipment_desc,,9,Electronic,601,602,603
50101,101,Locale_Item:randombox_wipeout_equipment_01_name,Locale_Item:randombox_wipeout_equipment_desc,,4,Iron,101,102,103
50201,201,Locale_Item:randombox_wipeout_equipment_02_name,Locale_Item:randombox_wipeout_equipment_desc,,5,Iron,201,202,203
50301,301,Locale_Item:randombox_wipeout_equipment_03_name,Locale_Item:randombox_wipeout_equipment_desc,,6,Iron,301,302,303
50401,401,Locale_Item:randombox_wipeout_equipment_04_name,Locale_Item:randombox_wipeout_equipment_desc,,7,Iron,401,402,403
50501,501,Locale_Item:randombox_wipeout_equipment_05_name,Locale_Item:randombox_wipeout_equipment_desc,,8,Iron,501,502,503
50601,601,Locale_Item:randombox_wipeout_equipment_06_name,Locale_Item:randombox_wipeout_equipment_desc,,9,Iron,601,602,603
