id,field_position,position_1,position_2,position_3,position_4,position_5,position_6,field_talk_dialog_group_id
1,FieldTalk_001,rapi,,,,,,cam_talk_01
2,FieldTalk_002,npc_collector,neon,,,,,lost_talk_01
3,FieldTalk_003,npc_femalecommander,npc_fakerapture,uni,,,,lost_talk_01
4,FieldTalk_004,npc_malecommander,npc_musicmaster,anis,vesti,,,cam_talk_01
5,FieldTalk_005,npc_massnikke,npc_voltjr,neon,rapi,mary,,cam_talk_01
6,FieldTalk_006,npc_canrobot,npc_unknown,uni,vesti,mary,rapi,lost_talk_01
f_subquest_1022_e,pos_1022_e,npc_collector,anis,neon,rapi,,,d_subquest_1022_e
f_subquest_1191_02,pos_1191_02,npc_voltjr,anis,neon,rapi,,,d_subquest_1191_02
f_subquest_1211_02,pos_1211_02,npc_canrobot,anis,neon,rapi,,,d_subquest_1211_02
f_subquest_1221,pos_1221,npc_musicmaster,neon,anis,rapi,julia,,d_subquest_1221
f_subquest_1181_e,pos_1181_e,npc_malecommander,neon,anis,rapi,,,d_subquest_1181_e
f_subquest_1101_s,pos_1101_s,npc_fakerapture,neon,anis,rapi,squid,landcrab,d_subquest_1101_s
f_subquest_1101_e,pos_1101_e,npc_fakerapture,neon,anis,rapi,,,d_subquest_1101_e
f_subquest_1102_s,pos_1102_s,npc_fakerapture,npc_fakerapture_me,neon,anis,rapi,,d_subquest_1102_s
f_subquest_1102_e,pos_1102_e,npc_fakerapture,npc_fakerapture_me,neon,anis,rapi,,d_subquest_1102_e
f_subquest_1103,pos_1103,npc_fakerapture,npc_fakerapture_me,rapi,neon,anis,,d_subquest_1103
f_subquest_1104,pos_1104,npc_fakerapture,npc_fakerapture_me,squid,landcrab,,,d_subquest_1104
f_subquest_1105_s,pos_1105_s,npc_fakerapture,npc_fakerapture_me,sinister,,,,d_subquest_1105_s
f_subquest_1105_e,pos_1105_e,npc_fakerapture,npc_fakerapture_me,anis,neon,rapi,,d_subquest_1105_e
f_subquest_1106_s,pos_1106_s,npc_fakerapture,neon,anis,rapi,squid,landcrab,d_subquest_1106_s
f_subquest_1106_e,pos_1106_e,npc_fakerapture,anis,neon,rapi,,,d_subquest_1106_e
f_subquest_1212_e,pos_1212_e,npc_canrobot,rapi,anis,neon,,,d_subquest_1212_e
f_subquest_1192_s,pos_1192_s,npc_voltjr,neon,anis,rapi,lure,landcrab,d_subquest_1192_s
f_subquest_1213_e,pos_1213_e,npc_canrobot,neon,anis,rapi,,,d_subquest_1213_e
