id,event_group,order,event_name,event_description,event_component,is_blocking
1001,SetContents,1,Locale_Surface:surface_event_basecamp_name,Locale_Surface:surface_event_basecamp_description,BaseCamp,True
1002,SetContents,2,Locale_Surface:surface_event_monsterspawner_name,Locale_Surface:surface_event_monsterspawner_description,MonsterSpawner,False
1003,SetContents,3,Locale_Surface:surface_event_occupationarea_name,Locale_Surface:surface_event_occupationarea_description,OccupationArea,False
1004,SetContents,4,Locale_Surface:surface_event_buildingspawner_name,Locale_Surface:surface_event_buildingspawner_description,BuildingSpawner,True
1005,SetContents,5,Locale_Surface:surface_event_startpoint_name,Locale_Surface:surface_event_startpoint_description,StartPoint,False
1006,SetContents,6,Locale_Surface:surface_event_itemspawner_name,Locale_Surface:surface_event_itemspawner_description,ItemSpawner,False
1007,SetContents,7,Locale_Surface:surface_event_gateway_name,Locale_Surface:surface_event_gateway_description,Gateway,False
1008,SetContents,8,Locale_Surface:surface_event_bossspawner_name,Locale_Surface:surface_event_bossspawner_description,BossSpawner,False
1009,SetContents,9,Locale_Surface:surface_event_suddenevent_name,Locale_Surface:surface_event_suddenevent_description,SuddenEvent,False
2001,SetWave,1,Locale_Surface:surface_event_wavemanager_name,Locale_Surface:surface_event_wavemanager_description,WaveManager,False
2002,SetWave,2,Locale_Surface:surface_event_wavepoint_name,Locale_Surface:surface_event_wavepoint_description,WavePoint,False
3001,SetTrigger,1,Locale_Surface:surface_event_buttontrigger_name,Locale_Surface:surface_event_buttontrigger_description,ButtonTrigger,False
3002,SetTrigger,2,Locale_Surface:surface_event_drawbridge_name,Locale_Surface:surface_event_drawbridge_description,DrawBridge,False
3003,SetTrigger,3,Locale_Surface:surface_event_portal_name,Locale_Surface:surface_event_portal_description,Portal,False
3004,SetTrigger,4,Locale_Surface:surface_event_wavetrigger_name,Locale_Surface:surface_event_wavetrigger_description,WaveTrigger,False
3005,SetTrigger,5,Locale_Surface:surface_event_spotlight_name,Locale_Surface:surface_event_spotlight_description,Spotlight,False
3006,SetTrigger,6,Locale_Surface:surface_event_watchtower_name,Locale_Surface:surface_event_watchtower_description,WatchTower,False
3007,SetTrigger,7,Locale_Surface:surface_event_narrativesign_name,Locale_Surface:surface_event_narrativesign_description,NarrativeSign,False
3008,SetTrigger,8,Locale_Surface:surface_event_chasepuzzletrigger_name,Locale_Surface:surface_event_chasepuzzletrigger_description,ChasePuzzleTrigger,False
3009,SetTrigger,9,Locale_Surface:surface_event_effecttrigger_name,Locale_Surface:surface_event_effecttrigger_description,EffectTrigger,False
3010,SetTrigger,10,Locale_Surface:surface_event_missiontargertpoint_name,Locale_Surface:surface_event_missiontargetpoint_description,MissionTargetPoint,False
3011,SetTrigger,11,Locale_Surface:surface_event_missionblocker_name,Locale_Surface:surface_event_missionblocker_description,MissionBlocker,False
3012,SetTrigger,12,Locale_Surface:surface_event_tutorialsquaddeployer_name,Locale_Surface:surface_event_tutorialsquaddeployer_description,TutorialSquadDeployer,False
3013,SetTrigger,13,Locale_Surface:surface_event_lookattrigger_name,Locale_Surface:surface_event_lookattrigger_description,LookAtTrigger,False
3014,SetTrigger,14,Locale_Surface:surface_event_heliport_name,Locale_Surface:surface_event_heliport_description,Heliport,False
3015,SetTrigger,15,Locale_Surface:surface_event_tutorialresetpoint_name,Locale_Surface:surface_event_tutorialresetpoint_description,TutorialResetPoint,False
3016,SetTrigger,16,Locale_Surface:surface_event_tutorialsquadteleporter_name,Locale_Surface:surface_event_tutorialsquadteleporter_description,TutorialSquadTeleporter,False
3017,SetTrigger,17,Locale_Surface:surface_event_tutorialsquaddespawner_name,Locale_Surface:surface_event_tutorialsquaddespawner_description,TutorialSquadDespawner,False
