id,bundle_id,sale_activate,sale_tag,resource_id,product_open_level,product_type,product_id,product_value,price_type,price_id,price_value,price_discount_value,price_discount_rate,step_id,step_sequence,order,buy_limit_type,buy_limit_count,name_localkey
2001,2000,True,None,2001,1,Package,201,1,Currency,99,0,0,0,2021,2,1,None,0,
2002,2000,True,None,2002,1,Package,202,1,Currency,99,0,0,0,2022,2,2,None,0,Locale_System:SHOP_CASH_BUNDLE
2003,2000,True,None,2003,1,Package,203,1,Currency,99,0,0,0,2023,2,3,None,0,Locale_System:SHOP_CASH_BAG
2004,2000,True,None,2004,1,Package,204,1,Currency,99,0,0,0,2024,2,4,None,0,Locale_System:SHOP_CASH_PACK
2005,2000,True,None,2005,1,Package,205,1,Currency,99,0,0,0,2025,2,5,None,0,Locale_System:SHOP_CASH_CASE
2006,2000,True,None,2006,1,Package,206,1,Currency,99,0,0,0,2026,2,6,None,0,Locale_System:SHOP_CASH_BOX
2011,2000,True,None,2011,1,Package,211,1,Currency,99,0,0,0,2021,1,1,Account,1,
2012,2000,True,None,2012,1,Package,212,1,Currency,99,0,0,0,2022,1,2,Account,1,Locale_System:SHOP_CASH_BUNDLE
2013,2000,True,None,2013,1,Package,213,1,Currency,99,0,0,0,2023,1,3,Account,1,Locale_System:SHOP_CASH_BAG
2014,2000,True,None,2014,1,Package,214,1,Currency,99,0,0,0,2024,1,4,Account,1,Locale_System:SHOP_CASH_PACK
2015,2000,True,None,2015,1,Package,215,1,Currency,99,0,0,0,2025,1,5,Account,1,Locale_System:SHOP_CASH_CASE
2016,2000,True,None,2016,1,Package,216,1,Currency,99,0,0,0,2026,1,6,Account,1,Locale_System:SHOP_CASH_BOX
2021,2000,True,None,2021,1,InAppFirst,0,1,None,0,0,0,0,0,0,0,None,0,
2022,2000,True,None,2022,1,InAppFirst,0,1,None,0,0,0,0,0,0,0,None,0,
2023,2000,True,None,2023,1,InAppFirst,0,1,None,0,0,0,0,0,0,0,None,0,
2024,2000,True,None,2024,1,InAppFirst,0,1,None,0,0,0,0,0,0,0,None,0,
2025,2000,True,None,2025,1,InAppFirst,0,1,None,0,0,0,0,0,0,0,None,0,
2026,2000,True,None,2026,1,InAppFirst,0,1,None,0,0,0,0,0,0,0,None,0,
3001,3000,True,None,3001,1,Package,301,1,Currency,99,100,0,0,0,0,1,Account,1,
3002,3000,True,None,3002,1,Package,302,1,Currency,99,100,0,0,0,0,2,Weekly,1,
3003,3000,True,None,3003,1,Package,303,1,Currency,99,0,0,0,3007,1,3,Account,1,
3004,3000,True,None,3004,5,Package,304,1,Currency,99,0,0,0,3007,2,3,Account,1,
3005,3000,True,None,3005,1,Package,305,1,Currency,99,5,0,0,3008,1,4,Account,1,
3006,3000,True,None,3006,5,Package,306,1,Currency,99,10,0,0,3008,2,4,Account,1,
3007,3000,True,None,3007,1,Step,0,1,None,0,0,0,0,0,0,3,Account,1,
3008,3000,True,None,3008,1,Step,0,1,None,0,0,0,0,0,0,4,Account,1,
