id,event_id,trigger_id,event_reward_id
1,170001,10013,27001
2,170001,10014,27002
3,170001,10015,27003
4,170001,10016,27004
5,170001,10017,27005
6,170002,10013,27001
7,170002,10014,27002
8,170002,10015,27003
9,170002,10016,27004
10,170002,10017,27005
11,170003,10013,27001
12,170003,10014,27002
13,170003,10015,27003
14,170003,10016,27004
15,170003,10017,27005
16,170004,10013,27001
17,170004,10014,27002
18,170004,10015,27003
19,170004,10016,27004
20,170004,10017,27005
21,170005,10013,27001
22,170005,10014,27002
23,170005,10015,27003
24,170005,10016,27004
25,170005,10017,27005
26,170006,10013,27001
27,170006,10014,27002
28,170006,10015,27003
29,170006,10016,27004
30,170006,10017,27005
31,170007,10013,27011
32,170007,10014,27012
33,170007,10015,27013
34,170007,10016,27014
35,170007,10017,27015
36,170008,10013,27011
37,170008,10014,27012
38,170008,10015,27013
39,170008,10016,27014
40,170008,10017,27015
41,170009,10013,27011
42,170009,10014,27012
43,170009,10015,27013
44,170009,10016,27014
45,170009,10017,27015
46,170010,10013,27011
47,170010,10014,27012
48,170010,10015,27013
49,170010,10016,27014
50,170010,10017,27015
51,170011,10013,27021
52,170011,10014,27022
53,170011,10015,27023
54,170011,10016,27024
55,170011,10017,27025
56,170012,10013,27021
57,170012,10014,27022
58,170012,10015,27023
59,170012,10016,27024
60,170012,10017,27025
61,170013,10013,27021
62,170013,10014,27022
63,170013,10015,27023
64,170013,10016,27024
65,170013,10017,27025
66,170014,10013,27011
67,170014,10014,27012
68,170014,10015,27013
69,170014,10016,27014
70,170014,10017,27015
71,170015,10013,27011
72,170015,10014,27012
73,170015,10015,27013
74,170015,10016,27014
75,170015,10017,27015
76,170016,10013,27011
77,170016,10014,27012
78,170016,10015,27013
79,170016,10016,27014
80,170016,10017,27015
81,170017,10013,27011
82,170017,10014,27012
83,170017,10015,27013
84,170017,10016,27014
85,170017,10017,27015
86,170018,10013,27011
87,170018,10014,27012
88,170018,10015,27013
89,170018,10016,27014
90,170018,10017,27015
91,170019,10013,27011
92,170019,10014,27012
93,170019,10015,27013
94,170019,10016,27014
95,170019,10017,27015
96,170020,10013,27011
97,170020,10014,27012
98,170020,10015,27013
99,170020,10016,27014
100,170020,10017,27015
