id,collectionCategory,versionType,ItemID,particle,collection_hintLocale
1,NKSWeapon,MOG1,200101,fx_minigame_NKS_fx_common_lightBlink_01,Locale_Event:NKS_Collection_Hint_01
2,NKSWeapon,MOG1,200201,,Locale_Event:NKS_Collection_Hint_02
3,NKSWeapon,MOG1,200301,fx_minigame_NKS_fx_common_lightBlink_01,Locale_Event:NKS_Collection_Hint_03
4,NKSWeapon,MOG1,200401,,Locale_Event:NKS_Collection_Hint_04
5,NKSWeapon,MOG1,200501,fx_minigame_NKS_fx_common_lightBlink_01,Locale_Event:NKS_Collection_Hint_05
6,NKSWeapon,MOG1,200601,,Locale_Event:NKS_Collection_Hint_06
7,NKSWeapon,MOG1,200701,fx_minigame_NKS_fx_common_lightBlink_01,Locale_Event:NKS_Collection_Hint_07
8,NKSWeapon,MOG1,200801,,Locale_Event:NKS_Collection_Hint_08
9,NKSWeapon,MOG1,200901,fx_minigame_NKS_fx_common_lightBlink_01,Locale_Event:NKS_Collection_Hint_09
10,NKSWeapon,MOG1,201001,,Locale_Event:NKS_Collection_Hint_10
11,NKSWeapon,MOG1,201101,fx_minigame_NKS_fx_common_lightBlink_01,Locale_Event:NKS_Collection_Hint_11
12,NKSWeapon,MOG2,2200101,,Locale_Event:NKS_Collection_Hint_201
13,NKSWeapon,MOG2,2200111,,Locale_Event:NKS_Collection_Hint_202
14,NKSWeapon,MOG2,2200201,,Locale_Event:NKS_Collection_Hint_203
15,NKSWeapon,MOG2,2200301,,Locale_Event:NKS_Collection_Hint_204
16,NKSWeapon,MOG2,2200401,,Locale_Event:NKS_Collection_Hint_205
17,NKSWeapon,MOG2,2200501,,Locale_Event:NKS_Collection_Hint_206
18,NKSWeapon,MOG2,2200601,,Locale_Event:NKS_Collection_Hint_207
19,NKSWeapon,MOG2,2200701,,Locale_Event:NKS_Collection_Hint_208
20,NKSWeapon,MOG2,2210001,fx_minigame_NKS_fx_common_lightBlink_01,Locale_Event:NKS_Collection_Hint_209
21,NKSWeapon,MOG2,2210002,fx_minigame_NKS_fx_common_lightBlink_01,Locale_Event:NKS_Collection_Hint_210
22,NKSWeapon,MOG2,2210003,fx_minigame_NKS_fx_common_lightBlink_01,Locale_Event:NKS_Collection_Hint_211
23,NKSWeapon,MOG2,2210004,fx_minigame_NKS_fx_common_lightBlink_01,Locale_Event:NKS_Collection_Hint_212
24,NKSWeapon,MOG2,2210005,fx_minigame_NKS_fx_common_lightBlink_01,Locale_Event:NKS_Collection_Hint_213
25,NKSWeapon,MOG2,2210006,fx_minigame_NKS_fx_common_lightBlink_01,Locale_Event:NKS_Collection_Hint_214
26,NKSWeapon,MOG1,201201,,Locale_Event:NKS_Collection_Hint_12
27,NKSWeapon,MOG1,201301,,Locale_Event:NKS_Collection_Hint_13
28,NKSWeapon,MOG1,201401,,Locale_Event:NKS_Collection_Hint_14
29,NKSWeapon,MOG1,201501,,Locale_Event:NKS_Collection_Hint_15
30,NKSWeapon,MOG1,201601,,Locale_Event:NKS_Collection_Hint_16
31,NKSWeapon,MOG1,201701,,Locale_Event:NKS_Collection_Hint_17
32,NKSWeapon,MOG1,201801,,Locale_Event:NKS_Collection_Hint_18
33,NKSWeapon,MOG1,201901,,Locale_Event:NKS_Collection_Hint_19
34,NKSWeapon,MOG1,202001,,Locale_Event:NKS_Collection_Hint_20
35,NKSModule,MOG1,300101,,Locale_Event:NKS_Collection_Hint_21
36,NKSModule,MOG1,300201,fx_minigame_NKS_fx_common_lightBlink_01,Locale_Event:NKS_Collection_Hint_22
37,NKSModule,MOG1,300301,,Locale_Event:NKS_Collection_Hint_23
38,NKSModule,MOG1,300401,,Locale_Event:NKS_Collection_Hint_24
39,NKSModule,MOG1,300501,,Locale_Event:NKS_Collection_Hint_25
40,NKSModule,MOG1,300601,,Locale_Event:NKS_Collection_Hint_26
41,NKSModule,MOG1,300701,,Locale_Event:NKS_Collection_Hint_27
42,NKSModule,MOG1,300801,,Locale_Event:NKS_Collection_Hint_28
43,NKSModule,MOG1,300901,,Locale_Event:NKS_Collection_Hint_29
44,NKSModule,MOG1,301001,,Locale_Event:NKS_Collection_Hint_30
45,NKSModule,MOG1,301101,fx_minigame_NKS_fx_common_lightBlink_01,Locale_Event:NKS_Collection_Hint_31
46,NKSModule,MOG1,301201,fx_minigame_NKS_fx_common_lightBlink_01,Locale_Event:NKS_Collection_Hint_32
47,NKSFieldItem,MOG1,110001,fx_minigame_NKS_fx_common_lightBlink_01,Locale_Event:NKS_Collection_Hint_33
48,NKSFieldItem,MOG1,110002,fx_minigame_NKS_fx_common_lightBlink_01,Locale_Event:NKS_Collection_Hint_34
49,NKSFieldItem,MOG1,110003,fx_minigame_NKS_fx_common_lightBlink_01,Locale_Event:NKS_Collection_Hint_35
50,NKSFieldItem,MOG1,110004,fx_minigame_NKS_fx_common_lightBlink_01,Locale_Event:NKS_Collection_Hint_36
51,NKSFieldItem,MOG1,110005,,Locale_Event:NKS_Collection_Hint_37
52,NKSFieldItem,MOG1,110006,,Locale_Event:NKS_Collection_Hint_38
53,NKSFieldItem,MOG1,110007,,Locale_Event:NKS_Collection_Hint_39
54,NKSFieldItem,MOG1,110008,,Locale_Event:NKS_Collection_Hint_40
55,NKSFieldItem,MOG1,110009,,Locale_Event:NKS_Collection_Hint_41
56,NKSFieldItem,MOG1,110010,fx_minigame_NKS_fx_common_lightBlink_01,Locale_Event:NKS_Collection_Hint_42
