id,group_id,npc_type,resource_id,order_menu_group,move_speed,wait_time_serving,wait_time_eating,serving_reduce_hp_value,serving_great_reaction_get_point,serving_good_reaction_get_point,serving_bad_reaction_get_point
100101,1001,Normal,guest_normal_1,101,50,2500,1200,-10,75,50,-25
100102,1001,Normal,guest_normal_2,101,50,2500,1200,-10,75,50,-25
100103,1001,Normal,guest_normal_3,101,50,2500,1200,-10,75,50,-25
100104,1001,Normal,guest_normal_4,101,50,2500,1200,-10,75,50,-25
100105,1001,Normal,guest_normal_5,101,50,2500,1200,-10,75,50,-25
100106,1002,Event,guest_event_1,102,50,2500,1200,-10,75,50,-25
100107,1002,Event,guest_event_2,102,50,2500,1200,-10,75,50,-25
100201,1003,Normal,guest_normal_1,101,50,2500,1200,-10,100,75,-25
100202,1003,Normal,guest_normal_2,101,50,2500,1200,-10,100,75,-25
100203,1003,Normal,guest_normal_3,101,50,2500,1200,-10,100,75,-25
100204,1003,Normal,guest_normal_4,101,50,2500,1200,-10,100,75,-25
100205,1003,Normal,guest_normal_5,101,50,2500,1200,-10,100,75,-25
100206,1004,Event,guest_event_1,102,50,2500,1200,-10,100,75,-25
100207,1004,Event,guest_event_2,102,50,2500,1200,-10,100,75,-25
200101,2001,Normal,guest_normal_1,101,50,2500,1200,-20,125,100,-25
200102,2001,Normal,guest_normal_2,101,50,2500,1200,-20,125,100,-25
200103,2001,Normal,guest_normal_3,101,50,2500,1200,-20,125,100,-25
200104,2001,Normal,guest_normal_4,101,50,2500,1200,-20,125,100,-25
200105,2001,Normal,guest_normal_5,101,50,2500,1200,-20,125,100,-25
200106,2002,Event,guest_event_1,102,50,2500,1200,-20,125,100,-25
200107,2002,Event,guest_event_2,102,50,2500,1200,-20,125,100,-25
200201,2003,Normal,guest_normal_1,101,50,2500,1200,-15,150,125,-25
200202,2003,Normal,guest_normal_2,101,50,2500,1200,-15,150,125,-25
200203,2003,Normal,guest_normal_3,101,50,2500,1200,-15,150,125,-25
200204,2003,Normal,guest_normal_4,101,50,2500,1200,-15,150,125,-25
200205,2003,Normal,guest_normal_5,101,50,2500,1200,-15,150,125,-25
200206,2004,Event,guest_event_1,102,50,2500,1200,-15,150,125,-25
200207,2004,Event,guest_event_2,102,50,2500,1200,-15,150,125,-25
300101,3001,Normal,guest_normal_1,101,50,1500,1200,-25,160,145,-25
300102,3001,Normal,guest_normal_2,101,50,1500,1200,-25,160,145,-25
300103,3001,Normal,guest_normal_3,101,50,1500,1200,-25,160,145,-25
300104,3001,Normal,guest_normal_4,101,50,1500,1200,-25,160,145,-25
300105,3001,Normal,guest_normal_5,101,50,1500,1200,-25,160,145,-25
300106,3002,Event,guest_event_1,102,50,1500,1200,-25,160,145,-25
300107,3002,Event,guest_event_2,102,50,1500,1200,-25,160,145,-25
300201,3003,Normal,guest_normal_1,101,50,1500,1200,-25,175,160,-25
300202,3003,Normal,guest_normal_2,101,50,1500,1200,-25,175,160,-25
300203,3003,Normal,guest_normal_3,101,50,1500,1200,-25,175,160,-25
300204,3003,Normal,guest_normal_4,101,50,1500,1200,-25,175,160,-25
300205,3003,Normal,guest_normal_5,101,50,1500,1200,-25,175,160,-25
300206,3004,Event,guest_event_1,102,50,1500,1200,-25,175,160,-25
300207,3004,Event,guest_event_2,102,50,1500,1200,-25,175,160,-25
