id,questobject_prefab,interaction_distance,interaction_time,chapter_mod,short_cut,quest_type,interaction_quest_id,show_condition_quest_id
1002001,Field_Quest_common_box_001,200,3.0,Normal,3,Sub,1011.0,1011.0
1002002,Field_Quest_common_box_001,200,3.0,Normal,3,Sub,1021.0,1021.0
1003001,Field_Quest_common_box_001,200,3.0,Normal,4,Sub,1061.0,1061.0
1004001,Field_Quest_common_box_001,200,3.0,Normal,5,Sub,1062.0,1062.0
1007001,Field_Quest_common_box_001,200,3.0,Normal,8,Sub,1093.0,1093.0
1008001,Field_Quest_common_box_001,200,3.0,Normal,9,Sub,1012.0,1012.0
1009001,Field_Quest_common_box_001,200,3.0,Normal,10,Sub,1063.0,1063.0
1014001,Field_Quest_common_box_001,200,3.0,Normal,15,Sub,1013.0,1013.0
1016001,Field_Quest_common_box_001,200,3.0,Normal,17,Sub,1064.0,1064.0
1017001,Field_Quest_common_box_001,200,3.0,Normal,18,Sub,1251.0,1251.0
1020001,Field_Quest_common_box_001,200,3.0,Normal,21,Sub,1301.0,1301.0
1103002,Field_Quest_common_box_001,200,3.0,Normal,4,Sub,,
1104001,Field_Quest_common_box_001,200,1.0,Normal,5,Sub,,
1104002,Field_Quest_common_box_001,200,1.0,Normal,5,Sub,,
1105001,Field_Quest_common_box_001,200,1.0,Normal,6,Sub,,
1106001,Field_Quest_common_box_001,200,1.0,Normal,7,Sub,,
9900001,Field_Quest_common_box_001,200,2.0,Normal,2,None,,
9900002,Field_Quest_common_box_001,200,3.0,Normal,3,Main,,
9900003,Field_Quest_common_box_001,200,0.0,Normal,6,None,,
9900004,Field_Quest_common_box_001,200,0.0,Normal,6,None,,
9900012,Field_Quest_common_box_001,200,1.0,Normal,3,Emergency,9990003.0,9990003.0
