id,squad,squad_name,squad_description,resource_id
1,Matis,Locale_Character:matis_name,Locale_Character:squad_matis_info,img_logo_squad
2,CafeSweety,Locale_Character:cafesweety_name,Locale_Character:squad_cafesweety_info,img_logo_squad
3,Protocol,Locale_Character:protocol_name,Locale_Character:squad_protocol_info,img_logo_squad
4,Unlimited,Locale_Character:unlimited_name,Locale_Character:squad_unlimited_info,img_logo_squad
5,Absolute,Locale_Character:absolut_name,Locale_Character:squad_absolut_info,img_logo_squad
6,Wardress,Locale_Character:wardress_name,Locale_Character:squad_wardress_info,img_logo_squad
7,Triangle,Locale_Character:triangle_name,Locale_Character:squad_triangle_info,img_logo_squad
8,777,Locale_Character:777_name,Locale_Character:squad_777_info,img_logo_squad
9,MightyTools,Locale_Character:mightytools_name,Locale_Character:squad_mightytools_info,img_logo_squad
10,Pioneer,Locale_Character:pioneer_name,Locale_Character:squad_pioneer_info,img_logo_squad
11,Inherit,Locale_Character:inherit_name,Locale_Character:squad_inherit_info,img_logo_squad
12,MasterHand,Locale_Character:masterhand_name,Locale_Character:squad_masterhand_info,img_logo_squad
13,Scouting,Locale_Character:scouting_name,Locale_Character:squad_scouting_info,img_logo_squad
14,ACPU,Locale_Character:acpu_name,Locale_Character:squad_acpu_info,img_logo_squad
15,InfinityRail,Locale_Character:infinityrail_name,Locale_Character:squad_infinityrail_info,img_logo_squad
16,Exotic,Locale_Character:exotic_name,Locale_Character:squad_exotic_info,img_logo_squad
17,Seraphim,Locale_Character:seraphim_name,Locale_Character:squad_seraphim_info,img_logo_squad
18,External,Locale_Character:external_name,Locale_Character:squad_external_info,img_logo_squad
19,Talentum,Locale_Character:talentum_name,Locale_Character:squad_talentum_info,img_logo_squad
20,LifeTonic,Locale_Character:lifetonic_name,Locale_Character:squad_lifetonic_info,img_logo_squad
21,MMR,Locale_Character:mmr_name,Locale_Character:squad_mmr_info,img_logo_squad
22,SiegePerilous,Locale_Character:siegeperilous_name,Locale_Character:squad_siegeperilous_info,img_logo_squad
23,UnderworldQueen,Locale_Character:underworldqueen_name,Locale_Character:squad_underworldqueen_info,img_logo_squad
24,TheClown,Locale_Character:theclown_name,Locale_Character:squad_theclown_info,img_logo_squad
25,MaidForYou,Locale_Character:maidforyou_name,Locale_Character:squad_maidforyou_info,img_logo_squad
26,Archive,Locale_Character:archive_name,Locale_Character:squad_archive_info,img_logo_squad
27,Weissritter,Locale_Character:weissritter_name,Locale_Character:squad_weissritter_info,img_logo_squad
28,HeavyGram,Locale_Character:heavygram_name,Locale_Character:squad_heavygram_info,img_logo_squad
29,HappyZoo,Locale_Character:happyzoo_name,Locale_Character:squad_happyzoo_info,img_logo_squad
30,RealKindness,Locale_Character:realkindness_name,Locale_Character:squad_realkindness_info,img_logo_squad
31,Counters,Locale_Character:counters_name,Locale_Character:squad_counters_info,img_logo_squad
32,RecallRelease,Locale_Character:recallrelease_name,Locale_Character:squad_recallrelease_info,img_logo_squad
33,LittleCannon,Locale_Character:littlecannon_name,Locale_Character:squad_littlecannon_info,img_logo_squad
34,Replace,Locale_Character:replace_name,Locale_Character:squad_replace_info,img_logo_squad
35,BotanicGarden,Locale_Character:botanicgarden_name,Locale_Character:squad_botanicgarden_info,img_logo_squad
36,PrimaDonna,Locale_Character:primadonna_name,Locale_Character:squad_primadonna_info,img_logo_squad
37,SchoolCircle,Locale_Character:schoolcircle_name,Locale_Character:squad_schoolcircle_info,img_logo_squad
38,Heretic,Locale_Character:heretic_name,Locale_Character:squad_heretic_info,img_logo_squad
39,Aegis,Locale_Character:aegis_name,Locale_Character:squad_aegis_info,img_logo_squad
40,A.F.F.,Locale_Character:a.f.f._name,Locale_Character:squad_a.f.f._info,img_logo_squad
41,EnikkChild,Locale_Character:enikkchild_name,Locale_Character:squad_enikkchild_info,img_logo_squad
42,ce_01,Locale_Character:ce_01_name,Locale_Character:squad_ce_01_info,img_logo_squad
43,ce002_01,Locale_Character:ce002_01_name,Locale_Character:squad_ce002_01_info,img_logo_squad
44,ce002_02,Locale_Character:ce002_02_name,Locale_Character:squad_ce002_02_info,img_logo_squad
46,Akademeia,Locale_Character:akademeia_name,Locale_Character:squad_akademeia_info,img_logo_squad
47,DazzlingPearl,Locale_Character:dazzlingpearl_name,Locale_Character:squad_dazzlingpearl_info,img_logo_squad
48,Goddess,Locale_Character:goddess_name,Locale_Character:squad_goddess_info,img_logo_squad
49,ElectricShock,Locale_Character:electricshock_name,Locale_Character:squad_electricshock_info,img_logo_squad
50,CE003,Locale_Character:ce003_name,Locale_Character:squad_ce003_info,img_logo_squad
51,Rewind,Locale_Character:rewind_name,Locale_Character:squad_rewind_info,img_logo_squad
52,CE004,Locale_Character:ce004_name,Locale_Character:squad_ce004_info,img_logo_squad
53,BestSeller,Locale_Character:bestseller_name,Locale_Character:squad_bestseller_info,img_logo_squad
54,OldTales,Locale_Character:oldtales_name,Locale_Character:squad_oldtales_info,img_logo_squad
55,CE005,Locale_Character:ce005_name,Locale_Character:squad_ce005_info,img_logo_squad
56,CookingOil,Locale_Character:cookingoil_name,Locale_Character:squad_cookingoil_info,img_logo_squad
57,Incubator,Locale_Character:incubator_name,Locale_Character:squad_incubator_info,img_logo_squad
58,CE006_01,Locale_Character:ce006_01_name,Locale_Character:squad_ce006_01_info,img_logo_squad
59,CE006_02,Locale_Character:ce006_02_name,Locale_Character:squad_ce006_02_info,img_logo_squad
60,CE006_03,Locale_Character:ce006_03_name,Locale_Character:squad_ce006_03_info,img_logo_squad
61,OverTheHorizon,Locale_Character:overthehorizon_name,Locale_Character:squad_overthehorizon_info,img_logo_squad
