id,name_localkey,monster_model_id,grade,type,dead_effect,reward,death_charge_burstgauge,rank_point,hp_ratio,energy_educted_ratio,attack_speed_ratio,first_recognition_range,roaming_speed,roaming_acceleration,chase_range,chase_speed_ratio,return_range,battle_start_range,respawn_time,spot_bt,skill_Id_01,skill_Id_02,skill_Id_03,skill_Id_04,skill_Id_05,skill_Id_06,skill_Id_07,skill_Id_08
11201,dummy,mvg_th_gro_waiter_prefab,Thrash,Ground,fx_mvg_m_dead_01,11,5,0,1000,1000,1000,2000,1.0,1.1,4500,5000,4500,1,3000,bt_mvg_th_gro_waiter,,,,,,,,
11202,dummy,mvg_th_gro_waiter_shooter_prefab,Thrash,Ground,fx_mvg_m_dead_01,11,5,0,1000,1000,1000,2000,1.0,1.1,4500,5000,4500,1500,3000,bt_mvg_th_gro_waiter_shooter,101.0,,,,,,,
11103,dummy,mvg_th_sky_waiter_prefab,Thrash,Air,fx_mvg_m_dead_01,11,5,0,1000,1000,1000,2500,1.0,1.1,4500,5000,4500,1,3000,bt_mvg_th_sky_waiter,,,,,,,,
16201,EventMVG_Monster_Name_001,mvg_bo_gro_waiter_shooter_1ch_prefab,Boss,Ground,fx_mvg_m_dead_01,14,5,0,1000,1000,1000,10000,1.0,1.1,4500,5000,30000,1500,300,bt_mvg_th_gro_waiter_shooter_boss,162.0,,,,,,,
14104,dummy,mvg_sp_sky_waiter_gold_prefab,Special,Air,fx_mvg_m_dead_01,13,5,0,1000,1000,1000,2500,1.0,1.1,4500,5000,4500,1,60000,bt_mvg_sp_sky_waiter_gold,142.0,,,,,,,
14205,dummy,mvg_sp_gro_waiter_gold_prefab,Special,Ground,fx_mvg_m_dead_01,13,5,0,1000,1000,1000,2500,1.0,1.1,4500,5000,4500,1,60000,bt_mvg_sp_gro_waiter_gold,142.0,,,,,,,
21201,dummy,mvg_th_gro_waiter_prefab,Thrash,Ground,fx_mvg_m_dead_01,21,5,0,1100,1000,1000,2000,1.0,1.1,4500,5000,4500,1,3000,bt_mvg_th_gro_waiter,,,,,,,,
21202,dummy,mvg_th_gro_waiter_shooter_prefab,Thrash,Ground,fx_mvg_m_dead_01,21,5,0,1100,1000,1000,2000,1.0,1.1,4500,5000,4500,1500,3000,bt_mvg_th_gro_waiter_shooter,101.0,,,,,,,
21103,dummy,mvg_th_sky_waiter_prefab,Thrash,Air,fx_mvg_m_dead_01,21,5,0,1100,1000,1000,2500,1.0,1.1,4500,5000,4500,1,3000,bt_mvg_th_sky_waiter,,,,,,,,
26201,EventMVG_Monster_Name_002,mvg_bo_gro_landcrab_2ch_prefab,Boss,Ground,fx_mvg_m_dead_01,24,5,0,1400,1000,1000,10000,1.0,1.1,4500,5000,30000,1500,300,bt_mvg_no_gro_landcrab_boss,163.0,,,,,,,
24104,dummy,mvg_sp_sky_waiter_gold_prefab,Special,Air,fx_mvg_m_dead_01,23,5,0,2800,1000,1000,2500,1.0,1.1,4500,5000,4500,1,60000,bt_mvg_sp_sky_waiter_gold,142.0,,,,,,,
