id,name_localkey,description_localkey,shooting_range_type,shooting_range_battle_length_type,spec_active_spot,stage_lv,monster_stage_lv,dynamic_object_stage_lv,cover_stage_lv,spot_id
1,Locale_System:GUILD_SHOOTING_RANGE_FIRE_TAB,Locale_System:GUILD_SHOOTING_RANGE_FIRE_TAB,Fire,Short,False,1,300,1,1,6801001
2,Locale_System:GUILD_SHOOTING_RANGE_FIRE_TAB,Locale_System:GUILD_SHOOTING_RANGE_FIRE_TAB,Fire,Short,True,1,300,1,1,6801016
3,Locale_System:GUILD_SHOOTING_RANGE_FIRE_TAB,Locale_System:GUILD_SHOOTING_RANGE_FIRE_TAB,Fire,Long,False,1,300,1,1,6801006
4,Locale_System:GUILD_SHOOTING_RANGE_FIRE_TAB,Locale_System:GUILD_SHOOTING_RANGE_FIRE_TAB,Fire,Long,True,1,300,1,1,6801021
21,Locale_System:GUILD_SHOOTING_RANGE_FIRE_TAB,Locale_System:GUILD_SHOOTING_RANGE_FIRE_TAB,Fire,Target,False,1,300,1,1,6801011
22,Locale_System:GUILD_SHOOTING_RANGE_FIRE_TAB,Locale_System:GUILD_SHOOTING_RANGE_FIRE_TAB,Fire,Target,True,1,300,1,1,6801011
5,Locale_System:GUILD_SHOOTING_RANGE_WIND_TAB,Locale_System:GUILD_SHOOTING_RANGE_WIND_TAB,Wind,Short,False,1,300,1,1,6801003
6,Locale_System:GUILD_SHOOTING_RANGE_WIND_TAB,Locale_System:GUILD_SHOOTING_RANGE_WIND_TAB,Wind,Short,True,1,300,1,1,6801018
7,Locale_System:GUILD_SHOOTING_RANGE_WIND_TAB,Locale_System:GUILD_SHOOTING_RANGE_WIND_TAB,Wind,Long,False,1,300,1,1,6801008
8,Locale_System:GUILD_SHOOTING_RANGE_WIND_TAB,Locale_System:GUILD_SHOOTING_RANGE_WIND_TAB,Wind,Long,True,1,300,1,1,6801023
23,Locale_System:GUILD_SHOOTING_RANGE_WIND_TAB,Locale_System:GUILD_SHOOTING_RANGE_WIND_TAB,Wind,Target,False,1,300,1,1,6801013
24,Locale_System:GUILD_SHOOTING_RANGE_WIND_TAB,Locale_System:GUILD_SHOOTING_RANGE_WIND_TAB,Wind,Target,True,1,300,1,1,6801013
9,Locale_System:GUILD_SHOOTING_RANGE_IRON_TAB,Locale_System:GUILD_SHOOTING_RANGE_IRON_TAB,Iron,Short,False,1,300,1,1,6801005
10,Locale_System:GUILD_SHOOTING_RANGE_IRON_TAB,Locale_System:GUILD_SHOOTING_RANGE_IRON_TAB,Iron,Short,True,1,300,1,1,6801020
11,Locale_System:GUILD_SHOOTING_RANGE_IRON_TAB,Locale_System:GUILD_SHOOTING_RANGE_IRON_TAB,Iron,Long,False,1,300,1,1,6801010
12,Locale_System:GUILD_SHOOTING_RANGE_IRON_TAB,Locale_System:GUILD_SHOOTING_RANGE_IRON_TAB,Iron,Long,True,1,300,1,1,6801025
25,Locale_System:GUILD_SHOOTING_RANGE_IRON_TAB,Locale_System:GUILD_SHOOTING_RANGE_IRON_TAB,Iron,Target,False,1,300,1,1,6801015
26,Locale_System:GUILD_SHOOTING_RANGE_IRON_TAB,Locale_System:GUILD_SHOOTING_RANGE_IRON_TAB,Iron,Target,True,1,300,1,1,6801015
13,Locale_System:GUILD_SHOOTING_RANGE_ELECTRONIC_TAB,Locale_System:GUILD_SHOOTING_RANGE_ELECTRONIC_TAB,Electronic,Short,False,1,300,1,1,6801004
14,Locale_System:GUILD_SHOOTING_RANGE_ELECTRONIC_TAB,Locale_System:GUILD_SHOOTING_RANGE_ELECTRONIC_TAB,Electronic,Short,True,1,300,1,1,6801019
15,Locale_System:GUILD_SHOOTING_RANGE_ELECTRONIC_TAB,Locale_System:GUILD_SHOOTING_RANGE_ELECTRONIC_TAB,Electronic,Long,False,1,300,1,1,6801009
16,Locale_System:GUILD_SHOOTING_RANGE_ELECTRONIC_TAB,Locale_System:GUILD_SHOOTING_RANGE_ELECTRONIC_TAB,Electronic,Long,True,1,300,1,1,6801024
27,Locale_System:GUILD_SHOOTING_RANGE_ELECTRONIC_TAB,Locale_System:GUILD_SHOOTING_RANGE_ELECTRONIC_TAB,Electronic,Target,False,1,300,1,1,6801014
28,Locale_System:GUILD_SHOOTING_RANGE_ELECTRONIC_TAB,Locale_System:GUILD_SHOOTING_RANGE_ELECTRONIC_TAB,Electronic,Target,True,1,300,1,1,6801014
17,Locale_System:GUILD_SHOOTING_RANGE_WATER_TAB,Locale_System:GUILD_SHOOTING_RANGE_WATER_TAB,Water,Short,False,1,300,1,1,6801002
18,Locale_System:GUILD_SHOOTING_RANGE_WATER_TAB,Locale_System:GUILD_SHOOTING_RANGE_WATER_TAB,Water,Short,True,1,300,1,1,6801017
19,Locale_System:GUILD_SHOOTING_RANGE_WATER_TAB,Locale_System:GUILD_SHOOTING_RANGE_WATER_TAB,Water,Long,False,1,300,1,1,6801007
20,Locale_System:GUILD_SHOOTING_RANGE_WATER_TAB,Locale_System:GUILD_SHOOTING_RANGE_WATER_TAB,Water,Long,True,1,300,1,1,6801022
29,Locale_System:GUILD_SHOOTING_RANGE_WATER_TAB,Locale_System:GUILD_SHOOTING_RANGE_WATER_TAB,Water,Target,False,1,300,1,1,6801012
30,Locale_System:GUILD_SHOOTING_RANGE_WATER_TAB,Locale_System:GUILD_SHOOTING_RANGE_WATER_TAB,Water,Target,True,1,300,1,1,6801012
