id,group_id,upgrade_list_order,upgrade_name,upgrade_description,upgrade_icon,upgrade_cost,upgrade_effect_type,upgrade_effect_value
10010101,100101,1,Locale_Event:td_fortheking_upgrade_name_guntower_rpmup_1,Locale_Event:td_fortheking_upgrade_description_guntower_rpmup_1,icn_upgrade_list_rpmup_1,1,RpmIncrease,1000
10010102,100101,2,Locale_Event:td_fortheking_upgrade_name_guntower_rangeup_1,Locale_Event:td_fortheking_upgrade_description_guntower_rangeup_1,icn_upgrade_list_rangeup_1,1,RangeIncrease,200
10010103,100101,3,Locale_Event:td_fortheking_upgrade_name_guntower_atkup_1,Locale_Event:td_fortheking_upgrade_description_guntower_atkup_1,icn_upgrade_list_atkup_1,1,AtkIncrease,1000
10010104,100101,4,Locale_Event:td_fortheking_upgrade_name_guntower_skillcostdown,Locale_Event:td_fortheking_upgrade_description_guntower_skillcostdown,icn_upgrade_list_skillcostdown,2,DiscountSkillCost,2000
10010105,100101,5,Locale_Event:td_fortheking_upgrade_name_guntower_penetrateup_2,Locale_Event:td_fortheking_upgrade_description_guntower_penetrateup_2,icn_upgrade_list_penetrateup_2,3,PenetrateIncrease,2000
10010201,100102,1,Locale_Event:td_fortheking_upgrade_name_pulsetower_atkup_1,Locale_Event:td_fortheking_upgrade_description_pulsetower_atkup_1,icn_upgrade_list_atkup_1,1,AtkIncrease,1000
10010202,100102,2,Locale_Event:td_fortheking_upgrade_name_pulsetower_rangeup_1,Locale_Event:td_fortheking_upgrade_description_pulsetower_rangeup_1,icn_upgrade_list_rangeup_1,1,RangeIncrease,200
10010203,100102,3,Locale_Event:td_fortheking_upgrade_name_pulsetower_rpmup_1,Locale_Event:td_fortheking_upgrade_description_pulsetower_rpmup_1,icn_upgrade_list_rpmup_1,2,RpmIncrease,1000
10010204,100102,4,Locale_Event:td_fortheking_upgrade_name_pulsetower_skillcostdown,Locale_Event:td_fortheking_upgrade_description_pulsetower_skillcostdown,icn_upgrade_list_skillcostdown,2,DiscountSkillCost,2000
10010205,100102,5,Locale_Event:td_fortheking_upgrade_name_pulsetower_atkup_2,Locale_Event:td_fortheking_upgrade_description_pulsetower_atkup_2,icn_upgrade_list_atkup_2,3,AtkIncrease,1500
10010301,100103,1,Locale_Event:td_fortheking_upgrade_name_cannontower_effectrangeup_1,Locale_Event:td_fortheking_upgrade_description_cannontower_effectrangeup_1,icn_upgrade_list_effectrangeup_1,1,EffectRangeIncrease,50
10010302,100103,2,Locale_Event:td_fortheking_upgrade_name_cannontower_towercostdown,Locale_Event:td_fortheking_upgrade_description_cannontower_towercostdown,icn_upgrade_list_towercostdown,2,DiscountCost,1000
10010303,100103,3,Locale_Event:td_fortheking_upgrade_name_cannontower_atkup_1,Locale_Event:td_fortheking_upgrade_description_cannontower_atkup_1,icn_upgrade_list_atkup_1,2,AtkIncrease,1000
10010304,100103,4,Locale_Event:td_fortheking_upgrade_name_cannontower_skillcostdown,Locale_Event:td_fortheking_upgrade_description_cannontower_skillcostdown,icn_upgrade_list_skillcostdown,2,DiscountSkillCost,2000
10010305,100103,5,Locale_Event:td_fortheking_upgrade_name_cannontower_effectrangeup_2,Locale_Event:td_fortheking_upgrade_description_cannontower_effectrangeup_2,icn_upgrade_list_effectrangeup_2,3,EffectRangeIncrease,100
10010401,100104,1,Locale_Event:td_fortheking_upgrade_name_icecannontower_debuffpowerup_1,Locale_Event:td_fortheking_upgrade_description_icecannontower_debuffpowerup_1,icn_upgrade_list_debuffpowerup_1,1,DebuffPowerUp,250
10010402,100104,2,Locale_Event:td_fortheking_upgrade_name_icecannontower_effectrangeup_1,Locale_Event:td_fortheking_upgrade_description_icecannontower_effectrangeup_1,icn_upgrade_list_effectrangeup_1,1,EffectRangeIncrease,50
10010403,100104,3,Locale_Event:td_fortheking_upgrade_name_icecannontower_debufftimeup_1,Locale_Event:td_fortheking_upgrade_description_icecannontower_debufftimeup_1,icn_upgrade_list_debufftimeup_1,1,SetDebuffTimeIncrease,50
10010404,100104,4,Locale_Event:td_fortheking_upgrade_name_icecannontower_skillcostdown,Locale_Event:td_fortheking_upgrade_description_icecannontower_skillcostdown,icn_upgrade_list_skillcostdown,2,DiscountSkillCost,2000
10010405,100104,5,Locale_Event:td_fortheking_upgrade_name_icecannontower_debuffpowerup_2,Locale_Event:td_fortheking_upgrade_description_icecannontower_debuffpowerup_2,icn_upgrade_list_debuffpowerup_2,3,DebuffPowerUp,500
