id,manager_id,is_consume_stamina,is_heroine_group,target_heroine_id,forced_appear_start_day,forced_appear_location,forced_appear_time,dialog_event_id,is_use_lost_item,lost_item_id,lost_item_occur_dialog_event_id,lost_item_require_dialog_event_id,relation_result_event_type,relation_appear_dialog_condition_list/0/event_condition_dialog_event,relation_appear_dialog_condition_list/1/event_condition_dialog_event,relation_appear_dialog_condition_list/2/event_condition_dialog_event,relation_appear_heroine_condition_list/0/condition_target_heroine,relation_appear_heroine_condition_list/0/event_condition_relation_lv,relation_appear_heroine_condition_list/0/event_condition_relation_point,relation_appear_heroine_condition_list/1/condition_target_heroine,relation_appear_heroine_condition_list/1/event_condition_relation_lv,relation_appear_heroine_condition_list/1/event_condition_relation_point,relation_appear_heroine_condition_list/2/condition_target_heroine,relation_appear_heroine_condition_list/2/event_condition_relation_lv,relation_appear_heroine_condition_list/2/event_condition_relation_point,relation_appear_selection_condition_list/0/event_condition_selection_event,relation_appear_selection_condition_list/1/event_condition_selection_event,relation_appear_selection_condition_list/2/event_condition_selection_event
snowfall_episode_mica_01,1001,True,False,snowfalloasis_mica,1,snowfalloasis_waterfall,DayTime,snowfall_episode_mica_01,False,0,,,Unlockheroine,,,,,0,0,,0,0,,0,0,,,
snowfall_episode_mica_02,1001,False,False,snowfalloasis_mica,1,snowfalloasis_trail,Evening,snowfall_episode_mica_02,False,0,,,Relationlvup,,,,snowfalloasis_mica,1,50,,0,0,,0,0,,,
snowfall_episode_mica_03,1001,False,False,snowfalloasis_mica,1,snowfalloasis_waterfall,Evening,snowfall_episode_mica_03,False,0,,,Relationlvup,snowfall_global_01,,,snowfalloasis_mica,2,50,,0,0,,0,0,,,
snowfall_episode_mica_04_e,1001,False,False,snowfalloasis_mica,1,snowfalloasis_waterfall,Night,snowfall_episode_mica_04_e,True,100101,snowfall_episode_mica_04_s,snowfall_episode_mica_04_m,Relationlvup,snowfall_global_04,,,snowfalloasis_mica,3,75,,0,0,,0,0,,,
snowfall_episode_mica_05,1001,False,False,snowfalloasis_mica,1,snowfalloasis_waterfall,DayTime,snowfall_episode_mica_05,False,0,,,Relationlvup,,,,snowfalloasis_mica,4,75,,0,0,,0,0,,,
snowfall_episode_mica_06,1001,False,False,snowfalloasis_mica,1,snowfalloasis_waterfall,Evening,snowfall_episode_mica_06,False,0,,,Ending,,,,snowfalloasis_mica,5,75,,0,0,,0,0,,,
snowfall_episode_mica_07,1001,False,False,snowfalloasis_mica,1,snowfalloasis_inn,DayTime,snowfall_episode_mica_07,False,0,,,Hiddenending,,,,snowfalloasis_mica,6,100,,0,0,,0,0,,,
snowfall_episode_emma_01_e,1001,True,False,snowfalloasis_emma,1,snowfalloasis_dining,Evening,snowfall_episode_emma_01_e,True,100102,snowfall_episode_emma_01_s,snowfall_episode_emma_01_m,Unlockheroine,,,,,0,0,,0,0,,0,0,,,
snowfall_episode_emma_02_e,1001,False,False,snowfalloasis_emma,1,snowfalloasis_waterfall,Evening,snowfall_episode_emma_02_e,True,100103,snowfall_episode_emma_02_s,snowfall_episode_emma_02_m,Relationlvup,,,,snowfalloasis_emma,1,50,,0,0,,0,0,,,
snowfall_episode_emma_03,1001,False,False,snowfalloasis_emma,1,snowfalloasis_dining,DayTime,snowfall_episode_emma_03,False,0,,,Relationlvup,snowfall_global_01,,,snowfalloasis_emma,2,50,,0,0,,0,0,,,
snowfall_episode_emma_04,1001,False,False,snowfalloasis_emma,1,snowfalloasis_trail,DayTime,snowfall_episode_emma_04,False,0,,,Relationlvup,,,,snowfalloasis_emma,3,75,,0,0,,0,0,,,
snowfall_episode_emma_05,1001,False,False,snowfalloasis_emma,1,snowfalloasis_dining,DayTime,snowfall_episode_emma_05,False,0,,,Relationlvup,snowfall_global_02,,,snowfalloasis_emma,4,75,,0,0,,0,0,,,
snowfall_episode_emma_06,1001,False,False,snowfalloasis_emma,1,snowfalloasis_dining,Night,snowfall_episode_emma_06,False,0,,,Ending,,,,snowfalloasis_emma,5,75,,0,0,,0,0,,,
snowfall_episode_emma_07,1001,False,False,snowfalloasis_emma,1,snowfalloasis_inn,Night,snowfall_episode_emma_07,False,0,,,Hiddenending,,,,snowfalloasis_emma,6,100,,0,0,,0,0,,,
snowfall_episode_ludmilla_01,1001,True,False,snowfalloasis_ludmilla,4,snowfalloasis_trail,Night,snowfall_episode_ludmilla_01,False,0,,,Unlockheroine,,,,,0,0,,0,0,,0,0,,,
snowfall_episode_ludmilla_02,1001,False,False,snowfalloasis_ludmilla,4,snowfalloasis_trail,Evening,snowfall_episode_ludmilla_02,False,0,,,Relationlvup,,,,snowfalloasis_ludmilla,1,50,,0,0,,0,0,,,
snowfall_episode_ludmilla_03_e,1001,False,False,snowfalloasis_ludmilla,4,snowfalloasis_bamboo,Evening,snowfall_episode_ludmilla_03_e,True,100104,snowfall_episode_ludmilla_03_s,snowfall_episode_ludmilla_03_m,Relationlvup,,,,snowfalloasis_ludmilla,2,50,,0,0,,0,0,,,
