id,slot_group_id,grade,grade_uigauge,coinAmount
101,1,1,10,10000
102,1,2,10,15000
103,1,3,10,25000
104,1,4,10,35000
105,1,5,10,45000
106,1,6,10,55000
107,1,7,10,65000
108,1,8,10,75000
109,1,9,10,85000
110,1,10,10,100000
201,2,1,10,10000
202,2,2,10,15000
203,2,3,10,25000
204,2,4,10,35000
205,2,5,10,45000
206,2,6,10,55000
207,2,7,10,65000
208,2,8,10,75000
209,2,9,10,85000
210,2,10,10,100000
301,3,1,10,10000
302,3,2,10,15000
303,3,3,10,25000
304,3,4,10,35000
305,3,5,10,45000
306,3,6,10,55000
307,3,7,10,65000
308,3,8,10,75000
309,3,9,10,85000
310,3,10,10,100000
401,4,1,10,10000
402,4,2,10,15000
403,4,3,10,25000
404,4,4,10,35000
405,4,5,10,45000
406,4,6,10,55000
407,4,7,10,65000
408,4,8,10,75000
409,4,9,10,85000
410,4,10,10,100000
