id,group,is_main,order,step,trigger,condition_id,condition_value,print_value,name_localkey,description_localkey,reward_point_value,reward_id,is_stack
1030001,103,True,0,1,MissionClearEvent,103,10,True,Locale_Trigger:trigger_name_PointRewardAchievement,Locale_Trigger:trigger_desc_PointRewardAchievement_1_E,0,8000001,True
1030002,103,True,0,2,MissionClearEvent,103,20,True,Locale_Trigger:trigger_name_PointRewardAchievement,Locale_Trigger:trigger_desc_PointRewardAchievement_1_E,0,8000002,True
1030101,103,False,1,1,EventStageClear,100110101,1,False,Locale_Trigger:trigger_name_EventStageClear,Locale_Trigger:trigger_desc_EventStageClear_1_E_1_1,0,8000003,True
1030201,103,False,2,1,EventStageClear,100110102,1,False,Locale_Trigger:trigger_name_EventStageClear,Locale_Trigger:trigger_desc_EventStageClear_1_E_1_2,0,8000004,True
1030301,103,False,3,1,EventStageClear,100110103,1,False,Locale_Trigger:trigger_name_EventStageClear,Locale_Trigger:trigger_desc_EventStageClear_1_E_1_3,0,8000005,True
1030401,103,False,4,1,EventStageClear,100110104,1,False,Locale_Trigger:trigger_name_EventStageClear,Locale_Trigger:trigger_desc_EventStageClear_1_E_1_4,0,8000006,True
1030501,103,False,5,1,EventStageClear,100110105,1,False,Locale_Trigger:trigger_name_EventStageClear,Locale_Trigger:trigger_desc_EventStageClear_1_E_1_5,0,8000007,True
1030601,103,False,6,1,EventStageClear,100110106,1,False,Locale_Trigger:trigger_name_EventStageClear,Locale_Trigger:trigger_desc_EventStageClear_1_E_1_6,0,8000008,True
1030701,103,False,7,1,EventStageClear,100110107,1,False,Locale_Trigger:trigger_name_EventStageClear,Locale_Trigger:trigger_desc_EventStageClear_1_E_1_7,0,8000009,True
1030801,103,False,8,1,EventStageClear,100110108,1,False,Locale_Trigger:trigger_name_EventStageClear,Locale_Trigger:trigger_desc_EventStageClear_1_E_1_8,0,8000010,True
1030901,103,False,9,1,EventStageClear,100110109,1,False,Locale_Trigger:trigger_name_EventStageClear,Locale_Trigger:trigger_desc_EventStageClear_1_E_1_9,0,8000011,True
1031001,103,False,10,1,EventStageClear,100110110,1,False,Locale_Trigger:trigger_name_EventStageClear,Locale_Trigger:trigger_desc_EventStageClear_1_E_1_10,0,8000012,True
1031101,103,False,11,1,EventStageClear,100120101,1,False,Locale_Trigger:trigger_name_EventStageClear,Locale_Trigger:trigger_desc_EventStageClear_1_H_1_1,0,8000013,True
1031201,103,False,12,1,EventStageClear,100120102,1,False,Locale_Trigger:trigger_name_EventStageClear,Locale_Trigger:trigger_desc_EventStageClear_1_H_1_2,0,8000014,True
1031301,103,False,13,1,EventStageClear,100120103,1,False,Locale_Trigger:trigger_name_EventStageClear,Locale_Trigger:trigger_desc_EventStageClear_1_H_1_3,0,8000015,True
1031401,103,False,14,1,EventStageClear,100120104,1,False,Locale_Trigger:trigger_name_EventStageClear,Locale_Trigger:trigger_desc_EventStageClear_1_H_1_4,0,8000016,True
1031501,103,False,15,1,EventStageClear,100120105,1,False,Locale_Trigger:trigger_name_EventStageClear,Locale_Trigger:trigger_desc_EventStageClear_1_H_1_5,0,8000017,True
1031601,103,False,16,1,EventStageClear,100120106,1,False,Locale_Trigger:trigger_name_EventStageClear,Locale_Trigger:trigger_desc_EventStageClear_1_H_1_6,0,8000018,True
