id,package_group_id,reward_type,reward_order,is_goal,trigger,trigger_condition_id,trigger_condition_value,product_type,product_id,product_value
5000101,50001,Free,1,False,ChapterClear,2,1,Currency,99,50
5000102,50001,Free,2,False,ChapterClear,3,1,Currency,99,50
5000103,50001,Free,3,False,ChapterClear,4,1,Currency,99,50
5000104,50001,Free,4,False,ChapterClear,5,1,Currency,99,50
5000105,50001,Free,5,False,ChapterClear,6,1,Currency,99,50
5000106,50001,Free,6,False,ChapterClear,7,1,Currency,99,50
5000107,50001,Free,7,False,ChapterClear,8,1,Currency,99,50
5000108,50001,Free,8,False,ChapterClear,9,1,Currency,99,50
5000109,50001,Free,9,False,ChapterClear,10,1,Currency,99,50
5000110,50001,Free,10,True,ChapterClear,11,1,Currency,99,50
5000111,50001,Purchase,1,True,None,0,0,Currency,99,1000
5000112,50001,ChapterClear,1,False,ChapterClear,2,1,Currency,99,800
5000113,50001,ChapterClear,2,False,ChapterClear,3,1,Currency,99,800
5000114,50001,ChapterClear,3,False,ChapterClear,4,1,Currency,99,800
5000115,50001,ChapterClear,4,False,ChapterClear,5,1,Currency,99,800
5000116,50001,ChapterClear,5,False,ChapterClear,6,1,Currency,99,800
5000117,50001,ChapterClear,6,False,ChapterClear,7,1,Currency,99,1000
5000118,50001,ChapterClear,7,False,ChapterClear,8,1,Currency,99,1000
5000119,50001,ChapterClear,8,False,ChapterClear,9,1,Currency,99,1000
5000120,50001,ChapterClear,9,False,ChapterClear,10,1,Currency,99,1000
5000121,50001,ChapterClear,10,True,ChapterClear,11,1,Currency,99,1000
5010101,50101,Free,1,False,ChapterClear,12,1,Currency,99,50
5010102,50101,Free,2,False,ChapterClear,13,1,Currency,99,50
5010103,50101,Free,3,False,ChapterClear,14,1,Currency,99,50
5010104,50101,Free,4,True,ChapterClear,15,1,Currency,99,50
5010105,50101,Purchase,1,True,None,0,0,Currency,99,1000
5010106,50101,ChapterClear,1,False,ChapterClear,12,1,Currency,99,2000
5010107,50101,ChapterClear,2,False,ChapterClear,13,1,Currency,99,2000
5010108,50101,ChapterClear,3,False,ChapterClear,14,1,Currency,99,2500
5010109,50101,ChapterClear,4,True,ChapterClear,15,1,Currency,99,2500
