id,group,order,type,value
10001,100,1,Title,HELP_NIKKE_01
10002,100,2,Description,HELP_NIKKE_01_01
10003,100,3,Description,HELP_NIKKE_01_02
10004,100,4,Title,HELP_NIKKE_02
10005,100,5,Description,HELP_NIKKE_02_01
10006,100,6,Description,HELP_NIKKE_02_02
10007,100,7,Description,HELP_NIKKE_02_03
10008,100,8,Title,HELP_NIKKE_03
10009,100,9,Description,HELP_NIKKE_03_01
10010,100,10,Description,HELP_NIKKE_03_02
10011,100,11,Title,HELP_NIKKE_04
10012,100,12,Description,HELP_NIKKE_04_01
10013,100,13,Description,HELP_NIKKE_04_02_230901
10014,100,14,Description,HELP_NIKKE_04_03
10015,100,15,Description,HELP_NIKKE_04_04
10016,100,16,Description,HELP_NIKKE_04_05
10017,100,17,Description,HELP_NIKKE_04_06
11001,110,1,Title,HELP_CAMPAIGN_FIELD_01
11002,110,2,Description,HELP_CAMPAIGN_FIELD_01_01
11003,110,3,Description,HELP_CAMPAIGN_FIELD_01_02
11004,110,4,Description,HELP_CAMPAIGN_FIELD_01_03
11005,110,5,Description,HELP_CAMPAIGN_FIELD_01_04
12001,120,1,Title,HELP_TOWER_01
12002,120,2,Description,HELP_TOWER_01_01
12003,120,3,Title,HELP_TOWER_02
12004,120,4,Description,HELP_TOWER_02_01
12005,120,5,Description,HELP_TOWER_02_02
12006,120,6,Title,HELP_TOWER_03
12007,120,7,Description,HELP_TOWER_03_01
12008,120,8,Title,HELP_TOWER_04
12009,120,9,Description,HELP_TOWER_04_01
12010,120,10,Title,HELP_TOWER_05
12011,120,11,Description,HELP_TOWER_05_01
12012,120,12,Description,HELP_TOWER_05_02
12013,120,13,Title,HELP_TOWER_08
12014,120,14,Description,HELP_TOWER_07_01
12015,120,15,Description,HELP_TOWER_08_01
12016,120,16,Title,HELP_TOWER_09
12017,120,17,Description,HELP_TOWER_07_01
12018,120,18,Description,HELP_TOWER_09_01
12019,120,19,Title,HELP_TOWER_10
12020,120,20,Description,HELP_TOWER_07_01
12021,120,21,Description,HELP_TOWER_10_01
12022,120,22,Title,HELP_TOWER_11
12023,120,23,Description,HELP_TOWER_07_01
12024,120,24,Description,HELP_TOWER_11_01
13001,130,1,Title,HELP_LOSTSECTOR_01
13002,130,2,Description,HELP_LOSTSECTOR_01_01
13003,130,3,Title,HELP_LOSTSECTOR_02
13004,130,4,Description,HELP_LOSTSECTOR_02_01
13005,130,5,Description,HELP_LOSTSECTOR_02_02
13006,130,6,Description,HELP_LOSTSECTOR_02_03
13007,130,7,Title,HELP_LOSTSECTOR_03
13008,130,8,Description,HELP_LOSTSECTOR_03_01
13009,130,9,Description,HELP_LOSTSECTOR_03_02
13010,130,10,Title,HELP_LOSTSECTOR_04
13011,130,11,Description,HELP_LOSTSECTOR_04_01
13012,130,12,Description,HELP_LOSTSECTOR_04_02
13013,130,13,Title,HELP_LOSTSECTOR_05
13014,130,14,Description,HELP_LOSTSECTOR_05_01
13015,130,15,Title,HELP_LOSTSECTOR_06
13016,130,16,Description,HELP_LOSTSECTOR_06_01
13017,130,17,Title,HELP_LOSTSECTOR_07
13018,130,18,Description,HELP_LOSTSECTOR_07_01
14001,140,1,Title,HELP_HARMONYCUBE_01
14002,140,2,Description,HELP_HARMONYCUBE_01_01
14003,140,3,Title,HELP_HARMONYCUBE_02
14004,140,4,Description,HELP_HARMONYCUBE_02_01
14005,140,5,Title,HELP_HARMONYCUBE_03
14006,140,6,Description,HELP_HARMONYCUBE_03_01
14007,140,7,Title,HELP_HARMONYCUBE_04
14008,140,8,Description,HELP_HARMONYCUBE_04_01
15001,150,1,Title,HELP_ARENA_01
15002,150,2,Description,HELP_ARENA_01_01
15003,150,3,Title,HELP_ARENA_02
15004,150,4,Description,HELP_ARENA_02_01
15005,150,5,Description,HELP_ARENA_02_02
15006,150,6,Description,HELP_ARENA_02_03
15007,150,7,Title,HELP_ARENA_03
15008,150,8,Description,HELP_ARENA_03_01
15009,150,9,Title,HELP_ARENA_04
15010,150,10,Description,HELP_ARENA_04_01
15011,150,11,Title,HELP_ARENA_05
15012,150,12,Description,HELP_ARENA_05_01
15013,150,13,Description,HELP_ARENA_05_02
15014,150,14,Title,HELP_ARENA_06
15015,150,15,Description,HELP_ARENA_06_01
15016,150,16,Description,HELP_ARENA_06_02
15017,150,17,Title,HELP_ARENA_07
15018,150,18,Description,HELP_ARENA_07_01
15019,150,19,Description,HELP_ARENA_07_02
15020,150,20,Title,HELP_ARENA_08
