id,dialog_list_group_id,speaker,speaker_position,speaker_team,scenario_localkey,print_cutscene
1001010101,10010101,crown,Left,Ally,Locale_MainScenario:event_lastkingdom1_b01_1,
1001010102,10010101,crown,Left,Ally,Locale_MainScenario:event_lastkingdom1_b01_2,
1001010103,10010101,marian,Right,Ally,Locale_MainScenario:event_lastkingdom1_b01_3,
1001010104,10010101,kilo,Right,Ally,Locale_MainScenario:event_lastkingdom1_b01_4,
1001010105,10010101,crown,Left,Ally,Locale_MainScenario:event_lastkingdom1_b01_5,
1001010106,10010101,crown,Left,Ally,Locale_MainScenario:event_lastkingdom1_b01_6,
1001010107,10010101,marian,Right,Ally,Locale_MainScenario:event_lastkingdom1_b01_7,
1001010108,10010101,kilo,Right,Ally,Locale_MainScenario:event_lastkingdom1_b01_8,
1001010109,10010101,talos,Left,Ally,Locale_MainScenario:event_lastkingdom1_b01_9,
1001010110,10010101,kilo,Right,Ally,Locale_MainScenario:event_lastkingdom1_b01_10,
1001010111,10010101,talos,Left,Ally,Locale_MainScenario:event_lastkingdom1_b01_11,
1001010112,10010101,kilo,Right,Ally,Locale_MainScenario:event_lastkingdom1_b01_12,
1001020101,10010201,crown,Left,Ally,Locale_MainScenario:event_lastkingdom1_b02_1,
1001020102,10010201,kilo,Right,Ally,Locale_MainScenario:event_lastkingdom1_b02_2,
1001020103,10010201,marian,Right,Ally,Locale_MainScenario:event_lastkingdom1_b02_3,
1001020104,10010201,marian,Right,Ally,Locale_MainScenario:event_lastkingdom1_b02_4,
1001020105,10010201,marian,Right,Ally,Locale_MainScenario:event_lastkingdom1_b02_5,
1001020106,10010201,crown,Left,Ally,Locale_MainScenario:event_lastkingdom1_b02_6,
1001020107,10010201,marian,Right,Ally,Locale_MainScenario:event_lastkingdom1_b02_7,
1001020108,10010201,marian,Right,Ally,Locale_MainScenario:event_lastkingdom1_b02_8,
1001020109,10010201,kilo,Right,Ally,Locale_MainScenario:event_lastkingdom1_b02_9,
1001020110,10010201,kilo,Right,Ally,Locale_MainScenario:event_lastkingdom1_b02_10,
1001020111,10010201,talos,Left,Ally,Locale_MainScenario:event_lastkingdom1_b02_11,
1001020112,10010201,talos,Left,Ally,Locale_MainScenario:event_lastkingdom1_b02_12,
1001020113,10010201,kilo,Right,Ally,Locale_MainScenario:event_lastkingdom1_b02_13,
1001020114,10010201,talos,Left,Ally,Locale_MainScenario:event_lastkingdom1_b02_14,
1001020115,10010201,crown,Left,Ally,Locale_MainScenario:event_lastkingdom1_b02_15,
1001030101,10010301,marian,Left,Ally,Locale_MainScenario:event_lastkingdom1_b03_1,
1001030102,10010301,marian,Left,Ally,Locale_MainScenario:event_lastkingdom1_b03_2,
1001030103,10010301,kilo,Right,Ally,Locale_MainScenario:event_lastkingdom1_b03_3,
1001030104,10010301,marian,Left,Ally,Locale_MainScenario:event_lastkingdom1_b03_4,
1001030105,10010301,kilo,Right,Ally,Locale_MainScenario:event_lastkingdom1_b03_5,
1001030106,10010301,kilo,Right,Ally,Locale_MainScenario:event_lastkingdom1_b03_6,
1001030107,10010301,marian,Left,Ally,Locale_MainScenario:event_lastkingdom1_b03_7,
1001030108,10010301,marian,Left,Ally,Locale_MainScenario:event_lastkingdom1_b03_8,
1001030109,10010301,kilo,Right,Ally,Locale_MainScenario:event_lastkingdom1_b03_9,
1001030110,10010301,marian,Left,Ally,Locale_MainScenario:event_lastkingdom1_b03_10,
1001030201,10010302,talkative,Right,Foe,Locale_MainScenario:event_lastkingdom1_b03_11,
1001030202,10010302,marian,Left,Ally,Locale_MainScenario:event_lastkingdom1_b03_12,
1001030203,10010302,kilo,Left,Ally,Locale_MainScenario:event_lastkingdom1_b03_13,
1001030204,10010302,talos,Left,Ally,Locale_MainScenario:event_lastkingdom1_b03_14,
1001030205,10010302,kilo,Left,Ally,Locale_MainScenario:event_lastkingdom1_b03_15,
1001030206,10010302,talos,Left,Ally,Locale_MainScenario:event_lastkingdom1_b03_16,
1001030207,10010302,kilo,Left,Ally,Locale_MainScenario:event_lastkingdom1_b03_17,
1001030208,10010302,marian,Left,Ally,Locale_MainScenario:event_lastkingdom1_b03_18,
1001030209,10010302,talkative,Right,Foe,Locale_MainScenario:event_lastkingdom1_b03_19,
1001030210,10010302,talkative,Right,Foe,Locale_MainScenario:event_lastkingdom1_b03_20,
