id,action,action_value,is_normal_attack,prefer_target,use_area,repeat,prefer_target_fix,waiting_time,trigger_01,trigger_value_01,trigger_02,trigger_value_02,next_id_trigger_adjust_01,next_id_trigger_adjust_02,next_id_trigger_adjust_and,next_id_trigger_not_adjust,use_area_shielding_check
10001,Skill,1,1,Near,1,1,0,50,None,0,None,0,0,0,10001,0,1
10002,Skill,1,1,Near,2,1,0,50,None,0,None,0,0,0,10002,0,1
10003,Skill,1,1,Near,3,1,0,50,None,0,None,0,0,0,10003,0,1
20001,Skill,1,1,Far,7,1,0,50,None,0,None,0,0,0,20001,0,0
20002,Skill,1,1,Near,7,1,0,50,None,0,None,0,0,0,20002,0,0
20003,Skill,1,1,LowHpRatio,7,1,0,500,None,0,None,0,0,0,20003,0,0
20004,Skill,1,1,Near,1,1,0,50,None,0,None,0,0,0,20004,0,1
20005,Skill,1,0,Near,1,1,0,50,None,0,None,0,0,0,20006,0,0
20006,Skill,2,0,Near,5,1,0,0,None,0,None,0,0,0,0,0,0
20007,Skill,1,0,Centurion,10,1,0,500,None,0,None,0,0,0,20007,0,0
11130101,Skill,1,1,Near,4,15,0,100,None,0,None,0,0,0,11130102,0,1
11130102,Skill,3,0,Near,4,1,0,50,None,0,None,0,0,0,11130103,0,1
11130103,Skill,1,1,Near,4,16,0,100,None,0,None,0,0,0,11130104,0,1
11130104,Skill,2,0,Near,4,1,0,50,None,0,None,0,0,0,11130105,0,1
11130105,Skill,1,1,Near,4,17,0,100,None,0,None,0,0,0,11130106,0,1
11130106,Skill,3,0,Near,4,1,0,50,None,0,None,0,0,0,11130107,0,1
11130107,Skill,1,1,Near,4,16,0,100,None,0,None,0,0,0,11130108,0,1
11130108,Skill,4,0,Near,4,1,0,50,None,0,None,0,0,0,11130109,0,1
11130109,Skill,1,1,Near,4,15,0,100,None,0,None,0,0,0,11130110,0,1
11130110,Skill,3,0,Near,4,1,0,50,None,0,None,0,0,0,11130111,0,1
11130111,Skill,1,1,Near,4,16,0,100,None,0,None,0,0,0,11130112,0,1
11130112,Skill,2,0,Near,4,1,0,50,None,0,None,0,0,0,11130113,0,1
11130113,Skill,1,1,Near,4,17,0,100,None,0,None,0,0,0,11130114,0,1
11130114,Skill,3,0,Near,4,1,0,50,None,0,None,0,0,0,11130115,0,1
11130115,Skill,1,1,Near,4,16,0,100,None,0,None,0,0,0,11130116,0,1
11130116,Skill,4,0,Near,4,1,0,50,None,0,None,0,0,0,11130101,0,1
14100101,Skill,1,1,Near,4,15,0,100,None,0,None,0,0,0,14100102,0,1
14100102,Skill,4,0,Near,4,1,0,50,None,0,None,0,0,0,14100103,0,1
14100103,Skill,1,1,Near,4,16,0,100,None,0,None,0,0,0,14100104,0,1
14100104,Skill,3,0,Near,4,3,1,50,None,0,None,0,0,0,14100105,0,1
14100105,Skill,1,1,Near,4,12,0,100,None,0,None,0,0,0,14100106,0,1
14100106,Skill,2,0,Near,3,1,0,50,None,0,None,0,0,0,14100107,0,1
14100107,Skill,1,1,Near,4,16,0,100,None,0,None,0,0,0,14100108,0,1
14100108,Skill,4,0,Near,4,1,0,50,None,0,None,0,0,0,14100109,0,1
14100109,Skill,1,1,Near,4,2,0,100,None,0,None,0,0,0,14100110,0,1
14100110,Skill,4,0,Near,4,1,0,50,None,0,None,0,0,0,14100111,0,1
14100111,Skill,1,1,Near,4,6,0,100,None,0,None,0,0,0,14100112,0,1
14100112,Skill,3,0,Near,4,3,1,50,None,0,None,0,0,0,14100113,0,1
14100113,Skill,1,1,Near,4,16,0,100,None,0,None,0,0,0,14100114,0,1
14100114,Skill,2,0,Near,3,1,0,50,None,0,None,0,0,0,14100115,0,1
14100115,Skill,1,1,Near,4,2,0,100,None,0,None,0,0,0,14100116,0,1
14100116,Skill,4,0,Near,4,1,0,50,None,0,None,0,0,0,14100117,0,1
14100117,Skill,1,1,Near,4,6,0,100,None,0,None,0,0,0,14100118,0,1
14100118,Skill,3,0,Near,4,3,1,50,None,0,None,0,0,0,14100119,0,1
14100119,Skill,1,1,Near,4,16,0,100,None,0,None,0,0,0,14100120,0,1
14100120,Skill,4,0,Near,4,1,0,50,None,0,None,0,0,0,14100101,0,1
14300301,Skill,1,1,Near,4,15,0,100,None,0,None,0,0,0,14300302,0,1
14300302,Skill,4,0,Near,4,1,0,50,None,0,None,0,0,0,14300303,0,1
14300303,Skill,1,1,Near,4,12,0,100,None,0,None,0,0,0,14300304,0,1
14300304,Skill,3,0,Near,4,3,1,50,None,0,None,0,0,0,14300305,0,1
14300305,Skill,1,1,Near,4,16,0,100,None,0,None,0,0,0,14300306,0,1
14300306,Skill,4,0,Near,4,1,0,50,None,0,None,0,0,0,14300307,0,1
14300307,Skill,1,1,Near,4,12,0,100,None,0,None,0,0,0,14300308,0,1
14300308,Skill,2,0,Near,4,1,0,50,None,0,None,0,0,0,14300309,0,1
14300309,Skill,1,1,Near,4,9,0,100,None,0,None,0,0,0,14300310,0,1
14300310,Skill,4,0,Near,4,1,0,50,None,0,None,0,0,0,14300311,0,1
14300311,Skill,1,1,Near,4,12,0,100,None,0,None,0,0,0,14300312,0,1
14300312,Skill,3,0,Near,4,3,1,50,None,0,None,0,0,0,14300313,0,1
14300313,Skill,1,1,Near,4,16,0,100,None,0,None,0,0,0,14300314,0,1
14300314,Skill,4,0,Near,4,1,0,50,None,0,None,0,0,0,14300315,0,1
14300315,Skill,1,1,Near,4,12,0,100,None,0,None,0,0,0,14300316,0,1
14300316,Skill,2,0,Near,4,1,0,50,None,0,None,0,0,0,14300317,0,1
14300317,Skill,1,1,Near,4,9,0,100,None,0,None,0,0,0,14300318,0,1
14300318,Skill,4,0,Near,4,1,0,50,None,0,None,0,0,0,14300301,0,1
