id,name_localkey,description_localkey,block_type,block_rare,block_group
101,Locale_Item:hexa_block_name_c,Locale_Item:hexa_block_desc,Type_C,4,101
102,Locale_Item:hexa_block_name_i,Locale_Item:hexa_block_desc,Type_I,4,102
103,Locale_Item:hexa_block_name_a,Locale_Item:hexa_block_desc,Type_A,4,103
201,Locale_Item:hexa_block_name_c,Locale_Item:hexa_block_desc,Type_C,5,201
202,Locale_Item:hexa_block_name_i,Locale_Item:hexa_block_desc,Type_I,5,202
203,Locale_Item:hexa_block_name_a,Locale_Item:hexa_block_desc,Type_A,5,203
301,Locale_Item:hexa_block_name_c,Locale_Item:hexa_block_desc,Type_C,6,301
302,Locale_Item:hexa_block_name_i,Locale_Item:hexa_block_desc,Type_I,6,302
303,Locale_Item:hexa_block_name_a,Locale_Item:hexa_block_desc,Type_A,6,303
401,Locale_Item:hexa_block_name_c,Locale_Item:hexa_block_desc,Type_C,7,401
402,Locale_Item:hexa_block_name_i,Locale_Item:hexa_block_desc,Type_I,7,402
403,Locale_Item:hexa_block_name_a,Locale_Item:hexa_block_desc,Type_A,7,403
501,Locale_Item:hexa_block_name_c,Locale_Item:hexa_block_desc,Type_C,8,501
502,Locale_Item:hexa_block_name_i,Locale_Item:hexa_block_desc,Type_I,8,502
503,Locale_Item:hexa_block_name_a,Locale_Item:hexa_block_desc,Type_A,8,503
601,Locale_Item:hexa_block_name_c,Locale_Item:hexa_block_desc,Type_C,9,601
602,Locale_Item:hexa_block_name_i,Locale_Item:hexa_block_desc,Type_I,9,602
603,Locale_Item:hexa_block_name_a,Locale_Item:hexa_block_desc,Type_A,9,603
