id,manager_id,tutorial_page_id,tutorial_output_type,tutorial_output_value,tutorial_title_localkey,is_opened
1,1,10011,FirstOpenHub,1,Locale_Event:ia_tutorial_playguide_title_01,False
2,1,10012,FirstEnterMenuAlbum,1,Locale_Event:ia_tutorial_playguide_title_02,False
3,1,10013,FirstEnterMenuFishCollection,1,Locale_Event:ia_tutorial_playguide_title_03,False
4,1,10014,FirstCloseHub,1,Locale_Event:ia_tutorial_playguide_title_04,False
5,1,10015,FirstPlayPhoto,1,Locale_Event:ia_tutorial_playguide_title_05,False
6,1,10016,FirstPlayFishing,1,Locale_Event:ia_tutorial_playguide_title_06,False
7,2,10011,FirstOpenHub,2,Locale_Event:ia_tutorial_playguide_title_01,False
8,2,10012,FirstEnterMenuAlbum,2,Locale_Event:ia_tutorial_playguide_title_02,False
9,2,10013,FirstEnterMenuFishCollection,1,Locale_Event:ia_tutorial_playguide_title_03,False
10,2,10014,FirstCloseHub,2,Locale_Event:ia_tutorial_playguide_title_04,False
11,2,10015,FirstPlayPhoto,2,Locale_Event:ia_tutorial_playguide_title_05,False
12,2,10016,FirstPlayFishing,2,Locale_Event:ia_tutorial_playguide_title_06,False
