id,campaign_stage_id,chapter,extra_open_condition
6002019,6002019,3,6002002
6003024,6003024,4,6003014
6004027,6004027,5,6004015
6005030,6005030,6,6005010
6005031,6005031,6,6005025
6006039,6006039,7,6006013
6006040,6006040,7,6006032
6007042,6007042,8,6007017
6007043,6007043,8,6007038
6008036,6008036,9,6008009
6008037,6008037,9,6008026
6009036,6009036,10,6009006
6009037,6009037,10,6009026
6010036,6010036,11,6010004
6010037,6010037,11,6010023
6011036,6011036,12,6011012
6011037,6011037,12,6011026
6012037,6012037,13,6012027
6012038,6012038,13,6012030
6013038,6013038,14,6013022
6013039,6013039,14,6013032
6014044,6014044,15,6014028
6014045,6014045,15,6014037
6015046,6015046,16,6015009
6015047,6015047,16,6015036
6016042,6016042,17,6016017
6016043,6016043,17,6016023
6017047,6017047,18,6017026
6017048,6017048,18,6017040
6018049,6018049,19,6018012
6018050,6018050,19,6018036
6019051,6019051,20,6019030
6019052,6019052,20,6019039
6020051,6020051,21,6020024
6020052,6020052,21,6020041
6021051,6021051,22,6021034
6021052,6021052,22,6021040
6022053,6022053,23,6022018
6022054,6022054,23,6022033
6023051,6023051,24,6023020
6023052,6023052,24,6023039
6024051,6024051,25,6024025
6024052,6024052,25,6024042
6025050,6025050,26,6025031
6025051,6025051,26,6025043
6026051,6026051,27,6026025
6026052,6026052,27,6026041
6027053,6027053,28,6027023
6027054,6027054,28,6027046
6028051,6028051,29,6028028
6028052,6028052,29,6028044
6029051,6029051,30,6029020
6029052,6029052,30,6029045
6030051,6030051,31,6030026
6030052,6030052,31,6030045
6031051,6031051,32,6031031
6031052,6031052,32,6031044
6032053,6032053,33,6032020
6032054,6032054,33,6032049
6033043,6033043,34,6033021
6033044,6033044,34,6033031
6034047,6034047,35,6034032
6034048,6034048,35,6034043
6035045,6035045,36,6035016
6035046,6035046,36,6035025
6036046,6036046,37,6036016
6036047,6036047,37,6036036
6037045,6037045,38,6037023
6037046,6037046,38,6037038
6038046,6038046,39,6038023
6038047,6038047,39,6038040
6039045,6039045,40,6039027
6039046,6039046,40,6039038
6040045,6040045,41,6040014
6040046,6040046,41,6040039
7002013,7002013,3,7002001
7003017,7003017,4,7003011
7004019,7004019,5,7004015
7005021,7005021,6,7005007
7005022,7005022,6,7005019
7006031,7006031,7,7006013
7006032,7006032,7,7006027
7007035,7007035,8,7007015
7007036,7007036,8,7007031
7008028,7008028,9,7008009
7008029,7008029,9,7008021
7009028,7009028,10,7009006
7009029,7009029,10,7009021
7010028,7010028,11,7010004
7010029,7010029,11,7010021
7011028,7011028,12,7011012
7011029,7011029,12,7011021
7012029,7012029,13,7012022
7012030,7012030,13,7012025
7013038,7013038,14,7013022
7013039,7013039,14,7013032
7014044,7014044,15,7014028
7014045,7014045,15,7014037
7015046,7015046,16,7015009
7015047,7015047,16,7015036
7016042,7016042,17,7016017
7016043,7016043,17,7016023
7017047,7017047,18,7017026
7017048,7017048,18,7017040
7018049,7018049,19,7018012
7018050,7018050,19,7018036
7019043,7019043,20,7019030
7019044,7019044,20,7019039
7020042,7020042,21,7020021
7020043,7020043,21,7020035
7021043,7021043,22,7021028
7021044,7021044,22,7021034
7022044,7022044,23,7022015
7022045,7022045,23,7022030
7023043,7023043,24,7023018
7023044,7023044,24,7023034
7024045,7024045,25,7024023
7024046,7024046,25,7024038
7025041,7025041,26,7025028
7025042,7025042,26,7025037
7026043,7026043,27,7026019
7026044,7026044,27,7026033
7027045,7027045,28,7027018
7027046,7027046,28,7027038
7028044,7028044,29,7028028
7028045,7028045,29,7028044
7029043,7029043,30,7029018
7029044,7029044,30,7029037
7030043,7030043,31,7030014
7030044,7030044,31,7030037
7031045,7031045,32,7031028
7031046,7031046,32,7031041
7032046,7032046,33,7032017
7032047,7032047,33,7032042
7033043,7033043,34,7033021
7033044,7033044,34,7033031
7034047,7034047,35,7034032
7034048,7034048,35,7034043
7035045,7035045,36,7035016
7035046,7035046,36,7035025
7036046,7036046,37,7036016
7036047,7036047,37,7036036
7037045,7037045,38,7037023
7037046,7037046,38,7037038
7038046,7038046,39,7038023
7038047,7038047,39,7038040
7039045,7039045,40,7039027
7039046,7039046,40,7039038
7040045,7040045,41,7040014
7040046,7040046,41,7040039
