id,group,tip
101,1,Locale_System:LOADING_TIP_101
102,1,Locale_System:LOADING_TIP_102
103,1,Locale_System:LOADING_TIP_103
104,1,Locale_System:LOADING_TIP_104
105,1,Locale_System:LOADING_TIP_105
106,1,Locale_System:LOADING_TIP_106
107,1,Locale_System:LOADING_TIP_107
108,1,Locale_System:LOADING_TIP_108
201,2,Locale_System:LOADING_TIP_201
202,2,Locale_System:LOADING_TIP_202
203,2,Locale_System:LOADING_TIP_203
301,3,Locale_System:LOADING_TIP_301
302,3,Locale_System:LOADING_TIP_302
303,3,Locale_System:LOADING_TIP_303
304,3,Locale_System:LOADING_TIP_304
305,3,Locale_System:LOADING_TIP_305
401,4,Locale_System:LOADING_TIP_401
402,4,Locale_System:LOADING_TIP_402
501,5,Locale_System:LOADING_TIP_501
502,5,Locale_System:LOADING_TIP_502
601,6,Locale_System:LOADING_TIP_601
602,6,Locale_System:LOADING_TIP_602
603,6,Locale_System:LOADING_TIP_603
604,6,Locale_System:LOADING_TIP_604
605,6,Locale_System:LOADING_TIP_605
701,7,Locale_System:LOADING_TIP_701
702,7,Locale_System:LOADING_TIP_702
703,7,Locale_System:LOADING_TIP_703
704,7,Locale_System:LOADING_TIP_704
705,7,Locale_System:LOADING_TIP_705
801,8,Locale_System:LOADING_TIP_801
802,8,Locale_System:LOADING_TIP_802
803,8,Locale_System:LOADING_TIP_803
804,8,Locale_System:LOADING_TIP_804
805,8,Locale_System:LOADING_TIP_805
9901,99,Locale_System:LOADING_TIP_9901
9902,99,Locale_System:LOADING_TIP_9902
9903,99,Locale_System:LOADING_TIP_9903
9904,99,Locale_System:LOADING_TIP_9904
9905,99,Locale_System:LOADING_TIP_9905
9906,99,Locale_System:LOADING_TIP_9906
10101,101,Locale_System:LOADING_TIP_10101
10102,101,Locale_System:LOADING_TIP_10102
10103,101,Locale_System:LOADING_TIP_10103
10104,101,Locale_System:LOADING_TIP_10104
10105,101,Locale_System:LOADING_TIP_10105
