id,group_id,tutorial_page_group_id,tutorial_type,button_type,button_value,tutorial_output_type,tutorial_output_value,tutorial_title_localkey,is_opened
10010101,100101,10010101,Instant,None,,OuterValue,0,Locale_Event:td_fortheking_tutorial_playguide_title_01,True
10010102,100101,10010102,Instant,None,,OnStart,100101,Locale_Event:td_fortheking_tutorial_playguide_title_02,False
10010103,100101,10010103,Button,System,icn_fortheking_tutorial_tower,WaveStart,100110101,Locale_Event:td_fortheking_tutorial_playguide_title_03,False
10010104,100101,10010104,Button,System,icn_fortheking_tutorial_tower,WaveStart,100110101,Locale_Event:td_fortheking_tutorial_playguide_title_04,False
10010105,100101,10010105,Instant,None,,OnStart,100104,Locale_Event:td_fortheking_tutorial_playguide_title_05,False
10010106,100101,10010106,Instant,None,,OnStart,100107,Locale_Event:td_fortheking_tutorial_playguide_title_06,False
10010107,100101,10010107,Button,System,icn_fortheking_tutorial_tower,OnStart,100107,Locale_Event:td_fortheking_tutorial_playguide_title_07,False
10010108,100101,10010108,Instant,None,,GainUpGradePoint,1,Locale_Event:td_fortheking_tutorial_playguide_title_08,False
10010201,100102,10010201,Button,Monster,1001101101,AppearMonster,1001101101,Locale_Event:td_fortheking_monster_name_pelican,False
10010202,100102,10010202,Button,Monster,1001103101,AppearMonster,1001103101,Locale_Event:td_fortheking_monster_name_eyeball,False
10010203,100102,10010203,Button,Monster,1001105101,AppearMonster,1001105101,Locale_Event:td_fortheking_monster_name_thief,False
10010204,100102,10010204,Button,Monster,1001106102,AppearMonster,1001106102,Locale_Event:td_fortheking_monster_name_lure,False
10010205,100102,10010205,Button,Monster,1001107101,AppearMonster,1001107101,Locale_Event:td_fortheking_monster_name_caphead,False
10010206,100102,10010206,Button,Monster,1001110101,AppearMonster,1001110101,Locale_Event:td_fortheking_monster_name_covered,False
10010207,100102,10010207,Button,Monster,1001111101,AppearMonster,1001111101,Locale_Event:td_fortheking_monster_name_ant,False
10010208,100102,10010208,Button,Monster,1001112102,AppearMonster,1001112102,Locale_Event:td_fortheking_monster_name_bird,False
10010209,100102,10010209,Button,Monster,1001113101,AppearMonster,1001113101,Locale_Event:td_fortheking_monster_name_fatleg,False
10010210,100102,10010210,Button,Monster,1001115101,AppearMonster,1001115101,Locale_Event:td_fortheking_monster_name_armored,False
10010211,100102,10010211,Button,Monster,1001201101,AppearMonster,1001201101,Locale_Event:td_fortheking_monster_name_heavymetal,False
10010212,100102,10010212,Button,Monster,1001202102,AppearMonster,1001202102,Locale_Event:td_fortheking_monster_name_cetus,False
10010213,100102,10010213,Button,Monster,1001203104,AppearMonster,1001203104,Locale_Event:td_fortheking_monster_name_chatterbox,False
10010214,100102,10010214,Button,Monster,1001204102,AppearMonster,1001204102,Locale_Event:td_fortheking_monster_name_indivilia,False
10010215,100102,10010215,Button,Monster,1001205101,AppearMonster,1001205101,Locale_Event:td_fortheking_monster_name_indivilia_2,False
10010301,100103,10010301,Instant,None,,OuterValue,0,Locale_Event:td_fortheking_tutorial_challenge_title_01,False
10010302,100103,10010302,Instant,None,icn_fortheking_tutorial_system,OnStart,100119,Locale_Event:td_fortheking_tutorial_challenge_title_02,False
10010303,100103,10010303,Button,System,icn_fortheking_tutorial_system,OnStart,100119,Locale_Event:td_fortheking_tutorial_challenge_title_03,False
10020101,100201,10020101,Instant,None,,OnStart,100201,Locale_Event:td_foolsday_tutorial_playguide_title_01_01,True
10020201,100202,10020201,Button,Monster,1002101101,AppearMonster,1002101101,Locale_Event:td_fortheking_monster_name_minion_mecha_shifty,False
10020202,100202,10020202,Button,Monster,1002102101,AppearMonster,1002102101,Locale_Event:td_fortheking_monster_name_elite_mecha_shifty,False
10020203,100202,10020203,Button,Monster,1002103101,AppearMonster,1002103101,Locale_Event:td_fortheking_monster_name_centurion_mecha_shifty,False
10020204,100202,10020204,Button,Monster,1002201101,AppearMonster,1002201101,Locale_Event:td_fortheking_monster_name_mega_mecha_shifty,False
