id,resource_id,img_resource_id,pre_img_resource_id,build_category,locale_name,locale_desc,build_construct_time,can_destruct,unlock_condition,unlock_value,unlock_hint_locale,build_limit_count,max_level,build_perks,requirement_electric,build_specific_type,build_specific_value/0/build_specific_value,build_specific_value/1/build_specific_value,cost_material_setting/0/cost_material,cost_material_setting/0/cost_material_amount,cost_material_setting/1/cost_material,cost_material_setting/1/cost_material_amount,cost_material_setting/2/cost_material,cost_material_setting/2/cost_material_amount,synergy_effect_id/0/synergy_effect_id,synergy_effect_id/1/synergy_effect_id
101,rebuildeden_building_generator_01,rebuildeden_img_building_generator_01,rebuildeden_img_pre_building_generator_01,Electrics,Locale_Event:rebe_Build_Name_T1_01,Locale_Event:rebe_Build_Desc_T1_01,300,True,None,0,0,0,4,100,0,PowerPlant,20,1,1101,50,0,0,0,0,101,0
102,rebuildeden_building_materialcollector_01,rebuildeden_img_building_materialcollector_01,rebuildeden_img_pre_building_materialcollector_01,Production,Locale_Event:rebe_Build_Name_T1_02,Locale_Event:rebe_Build_Desc_T1_02,300,True,MainQuest,101,Locale_Event:rebe_Quest_Hint_01,0,5,101,20,MaterialGenerator,1101,1,1101,30,0,0,0,0,102,0
103,rebuildeden_building_dailysupport_01,rebuildeden_img_building_dailysupport_01,rebuildeden_img_pre_building_dailysupport_01,Production,Locale_Event:rebe_Build_Name_T1_03,Locale_Event:rebe_Build_Desc_T1_03,300,True,None,0,0,1,0,0,0,DailySupply,0,0,1101,0,0,0,0,0,0,0
104,rebuildeden_building_restroom,rebuildeden_img_building_restroom_01,rebuildeden_img_pre_building_restroom_01,Force,Locale_Event:rebe_Build_Name_T1_04,Locale_Event:rebe_Build_Desc_T1_04,300,True,MainQuest,301,Locale_Event:rebe_Quest_Hint_03,1,0,0,0,Barracks,1,0,1101,50,0,0,0,0,103,0
105,rebuildeden_building_elevator,rebuildeden_img_building_elevator,rebuildeden_img_pre_building_elevator,Etc,Locale_Event:rebe_Build_Name_T1_05,Locale_Event:rebe_Build_Desc_T1_05,300,False,MainQuest,201,Locale_Event:rebe_Quest_Hint_02,13,0,0,0,Elevator,0,0,1101,25,1102,10,0,0,0,0
201,rebuildeden_building_generator_02,rebuildeden_img_building_generator_02,rebuildeden_img_pre_building_generator_02,Electrics,Locale_Event:rebe_Build_Name_T2_01,Locale_Event:rebe_Build_Desc_T2_01,300,True,MainQuest,601,Locale_Event:rebe_Quest_Hint_05,0,4,100,0,PowerPlant,30,2,1101,350,1102,25,0,0,101,0
202,rebuildeden_building_materialcollector_02,rebuildeden_img_building_materialcollector_02,rebuildeden_img_pre_building_materialcollector_02,Production,Locale_Event:rebe_Build_Name_T2_02,Locale_Event:rebe_Build_Desc_T2_02,300,True,MainQuest,601,Locale_Event:rebe_Quest_Hint_05,0,5,101,50,MaterialGenerator,1101,3,1101,350,1102,25,0,0,102,0
204,rebuildeden_building_equipment,rebuildeden_img_building_equipment,rebuildeden_img_pre_building_equipment,Production,Locale_Event:rebe_Build_Name_T2_03,Locale_Event:rebe_Build_Desc_T2_03,300,True,MainQuest,401,Locale_Event:rebe_Quest_Hint_04,0,4,102,75,EquipmentFactory,1,0,1101,150,1102,15,0,0,106,0
205,rebuildeden_building_armory,rebuildeden_img_building_armory,rebuildeden_img_pre_building_armory,Force,Locale_Event:rebe_Build_Name_T2_04,Locale_Event:rebe_Build_Desc_T2_04,300,True,MainQuest,401,Locale_Event:rebe_Quest_Hint_04,1,0,0,0,Armory,0,0,1101,10,1102,100,0,0,0,0
206,rebuildeden_building_recruit_01,rebuildeden_img_building_recruit_01,rebuildeden_img_pre_building_recruit_01,Force,Locale_Event:rebe_Build_Name_T2_05,Locale_Event:rebe_Build_Desc_T2_05,300,True,MainQuest,601,Locale_Event:rebe_Quest_Hint_05,1,4,103,0,RecruitmentCenter,0,0,1101,1000,1102,55,0,0,104,105
