memorial_series_id,order,memorial_series_name,memorial_series_description,memorial_series_category,memorial_series_resource,is_event_memorial,collect_reward_id,memorial_memory_id/0/memorial_memory_id,memorial_memory_id/1/memorial_memory_id,memorial_memory_id/2/memorial_memory_id,memorial_memory_id/3/memorial_memory_id,memorial_memory_id/4/memorial_memory_id
100100,1,Locale_Memorial:memorial_01_name,Locale_Memorial:memorial_01_description,HandWriting,mm_1001,False,100,100101,100102,100103,0,0
100200,2,Locale_Memorial:memorial_02_name,Locale_Memorial:memorial_02_description,HandWriting,mm_1002,False,100,100201,100202,100203,100204,100205
100300,3,Locale_Memorial:memorial_03_name,Locale_Memorial:memorial_03_description,CallLog,mm_1003,False,100,100301,100302,100303,100304,0
100400,4,Locale_Memorial:memorial_04_name,Locale_Memorial:memorial_04_description,Data,mm_1004,False,100,100401,100402,100403,100404,0
100500,5,Locale_Memorial:memorial_05_name,Locale_Memorial:memorial_05_description,Data,mm_1005,False,100,100501,100502,100503,100504,100505
100600,6,Locale_Memorial:memorial_06_name,Locale_Memorial:memorial_06_description,HandWriting,mm_1001,False,100,100601,100602,100603,0,0
100700,7,Locale_Memorial:memorial_07_name,Locale_Memorial:memorial_07_description,CallLog,mm_1003,False,100,100701,100702,100703,0,0
100800,8,Locale_Memorial:memorial_08_name,Locale_Memorial:memorial_08_description,HandWriting,mm_1001,False,100,100801,100802,100803,0,0
100900,9,Locale_Memorial:memorial_09_name,Locale_Memorial:memorial_09_description,Data,mm_1004,False,100,100901,100902,100903,100904,100905
101000,10,Locale_Memorial:memorial_10_name,Locale_Memorial:memorial_10_description,HandWriting,mm_1001,False,100,101001,101002,101003,101004,0
101100,11,Locale_Memorial:memorial_11_name,Locale_Memorial:memorial_11_description,Data,mm_1005,False,100,101101,101102,101103,0,0
101200,12,Locale_Memorial:memorial_12_name,Locale_Memorial:memorial_12_description,HandWriting,mm_1001,False,100,101201,101202,101203,0,0
101300,13,Locale_Memorial:memorial_13_name,Locale_Memorial:memorial_13_description,HandWriting,mm_1002,False,100,101301,101302,101303,101304,101305
101400,14,Locale_Memorial:memorial_14_name,Locale_Memorial:memorial_14_description,Data,mm_1004,False,100,101401,101402,101403,101404,101405
101500,15,Locale_Memorial:memorial_15_name,Locale_Memorial:memorial_15_description,Data,mm_1005,False,100,101501,101502,101503,0,0
101600,16,Locale_Memorial:memorial_16_name,Locale_Memorial:memorial_16_description,HandWriting,mm_1002,False,100,101601,101602,101603,101604,0
101700,17,Locale_Memorial:memorial_17_name,Locale_Memorial:memorial_17_description,HandWriting,mm_1001,False,100,101701,101702,101703,101704,101705
101800,18,Locale_Memorial:memorial_18_name,Locale_Memorial:memorial_18_description,Data,mm_1004,False,100,101801,101802,101803,101804,101805
101900,19,Locale_Memorial:memorial_19_name,Locale_Memorial:memorial_19_description,CallLog,mm_1003,False,100,101901,101902,101903,0,0
