id,world_id,surface_building_type,level_group_id,building_name_localkey,building_description_localkey
40001,4,Headquarters,40001,Locale_System:SURFACE_HEADQUARTERS_POPUP_TITLE,Locale_System:SURFACE_HEADQUARTERS_POPUP_DESCRIPTION
40002,4,Lodging,40002,Locale_System:SURFACE_LODGING_POPUP_TITLE,Locale_System:SURFACE_LODGING_POPUP_DESCRIPTION
40003,4,Hospital,40003,Locale_System:SURFACE_HOSPITAL_POPUP_TITLE,Locale_System:SURFACE_HOSPITAL_POPUP_DESCRIPTION
40004,4,Storage,40004,Locale_System:SURFACE_STORAGE_POPUP_TITLE,Locale_System:SURFACE_STORAGE_POPUP_DESCRIPTION
40005,4,CorePowderProcessingFacility,40005,Locale_System:SURFACE_PROCESSING_FACILITY_CORE_POWDER_POPUP_TITLE,Locale_System:SURFACE_PROCESSING_FACILITY_CORE_POWDER_POPUP_DESCRIPTION
40006,4,GoddesiumProcessingFacility,40006,Locale_System:SURFACE_PROCESSING_FACILITY_GODDESIUM_POPUP_TITLE,Locale_System:SURFACE_PROCESSING_FACILITY_GODDESIUM_POPUP_DESCRIPTION
40007,4,GeonicProcessingFacility,40007,Locale_System:SURFACE_PROCESSING_FACILITY_GEONIC_POPUP_TITLE,Locale_System:SURFACE_PROCESSING_FACILITY_GEONIC_POPUP_DESCRIPTION
40008,4,NeoTitaniumProcessingFacility,40008,Locale_System:SURFACE_PROCESSING_FACILITY_NEO_TITANIUM_POPUP_TITLE,Locale_System:SURFACE_PROCESSING_FACILITY_NEO_TITANIUM_POPUP_DESCRIPTION
40009,4,Factory,40009,Locale_System:SURFACE_FACTORY_POPUP_TITLE,Locale_System:SURFACE_FACTORY_POPUP_DESCRIPTION
49999,4,None,49999,Locale_System:surface_building_name_49999,Locale_System:surface_building_description_49999
