min_rank,max_rank,daily_reward_id,season_reward_id,win_reward_value
1,1,91001,92001,200
2,3,91002,92002,198
4,6,91003,92003,196
7,9,91004,92004,194
10,12,91005,92005,192
13,15,91006,92006,190
16,18,91007,92007,188
19,22,91008,92008,186
23,25,91009,92009,184
26,29,91010,92010,182
30,33,91011,92011,180
34,37,91012,92012,178
38,40,91013,92013,176
41,50,91014,92014,174
51,60,91015,92015,172
61,70,91016,92016,170
71,80,91017,92017,168
81,100,91018,92018,166
101,120,91019,92019,164
121,140,91020,92020,162
141,160,91021,92021,160
161,180,91022,92022,158
181,200,91023,92023,156
201,250,91024,92024,154
251,300,91025,92025,152
301,350,91026,92026,150
351,400,91027,92027,148
401,600,91028,92028,146
601,800,91029,92029,144
801,900,91030,92030,142
901,1000,91031,92031,140
1001,0,91032,92032,138
