id,event_id,part_type,prologue_scenario,auto_charge_id,event_item_type,event_item_id,dungeon_id_1,dungeon_id_2,album_category_group,mission_group,contents_shop_id,dice_id,ui_prefab_1,ui_prefab_2,challenge_monster_resource
10001,40001,OnePart,event_nocallerid_prologue,10001,Item,7060001,1,0,1000,1,9000101,0,nocallerid,,
10002,40002,OnePart,event_hightechtoy_prologue,10002,Item,7060002,2,0,1001,2,9000201,1,hightechtoy,,
10003,40003,OnePart,event_miraclesnow1_prologue,10003,Item,7060003,3,0,1002,0,0,0,miraclesnow,,
10004,40004,OnePart,,10003,Item,7060003,4,0,1003,0,0,0,eternalmemory,,
10005,40005,OnePart,event_brandnewyear_prologue,10005,Item,7060004,5,0,1004,5,9000501,0,brandnewyear,,
10006,40006,OnePart,event_doutsiders_prologue,10006,Item,7060006,6,0,1005,6,9000601,0,d-outsiders,,
10007,40007,OnePart,event_maidinvalentine_prologue,10007,Item,7060007,7,0,1006,7,9000701,0,maidinvalentine,,
10008,40008,OnePart,event_ce_01_prologue,10008,Item,7060008,8,0,1007,0,0,0,ce_01_part1,,
10009,40009,OnePart,,10008,Item,7060008,9,0,1008,0,0,0,ce_01_part2,,
10010,40010,OnePart,event_bowwowparadise_prologue,10010,Item,7060010,10,0,1009,10,9001001,0,bow-wowparadise,,
10011,40011,OnePart,event_cherryblossom_prologue,10011,Item,7060011,11,0,1010,11,9001101,0,cherryblossom,,
10012,40012,OnePart,event_ltk_prologue,10012,Item,7060012,12,0,1011,12,9001201,0,ltk,,
10013,80303,OnePart,event_overzone_prologue,10013,Item,7060013,13,0,1012,0,0,0,overzone_part1,,
10014,80304,OnePart,,10013,Item,7060013,14,0,1013,0,0,0,overzone_part2,,
10015,40014,OnePart,event_BunnyX777_prologue,10014,Item,7060014,16,0,1014,15,9001401,0,bunny777,,
10016,40015,OnePart,event_queensorder_prologue,10015,Item,7060015,17,0,1015,16,9001501,0,queensorder,,
10020,40020,OnePart,event_bluewaterisland_prologue,10020,Item,7060020,20,0,1020,0,0,0,bluewaterisland_part1,,
10021,40021,OnePart,,10020,Item,7060020,21,0,1021,0,0,0,bluewaterisland_part2,,
10022,40022,OnePart,event_nyanyaparadise_prologue,10022,Item,7060022,22,0,1022,22,9002201,0,nya-nyaparadise,,
10023,40023,OnePart,event_goldenship_prologue,10023,Item,7060023,23,0,1023,23,9002301,0,goldenship,,
10024,40024,OnePart,event_seayouagain1_prologue,10024,Item,7060024,24,0,1024,0,0,0,seayouagain_part01,,
