id,set_day,requirement_setting/0/material_id,requirement_setting/0/material_amount,requirement_setting/1/material_id,requirement_setting/1/material_amount,requirement_setting/2/material_id,requirement_setting/2/material_amount,requirement_setting/3/material_id,requirement_setting/3/material_amount
1,0,1101,50,0,0,0,0,0,0
2,1,1101,55,0,0,0,0,0,0
3,2,1101,60,0,0,0,0,0,0
4,3,1101,65,0,0,0,0,0,0
5,4,1101,70,0,0,0,0,0,0
6,5,1101,80,0,0,0,0,0,0
7,6,1101,85,0,0,0,0,0,0
8,7,1101,90,0,0,0,0,0,0
9,8,1101,95,0,0,0,0,0,0
10,9,1101,100,0,0,0,0,0,0
11,10,1101,105,0,0,0,0,0,0
12,11,1101,110,0,0,0,0,0,0
13,12,1101,120,1102,10,0,0,0,0
14,13,1101,130,1102,15,0,0,0,0
15,14,1101,140,1102,20,0,0,0,0
16,15,1101,150,1102,25,0,0,0,0
17,16,1101,200,1102,30,0,0,0,0
18,17,1101,250,1102,35,0,0,0,0
19,18,1101,500,1102,40,0,0,0,0
20,19,1101,800,1102,45,0,0,0,0
21,20,1101,1000,1102,50,1103,100,0,0
22,21,1101,1500,1102,100,1103,100,0,0
