id,type,unlock_condition_squad,unlock_condition_character,name_locale,thumbnail_image,members/0/name,members/0/value,members/1/name,members/1/value,members/2/name,members/2/value,members/3/name,members/3/value,members/4/name,members/4/value,members/5/name,members/5/value
test,Nikke,None,0,Locale_Character:10_name,icon_messenger_logo_profile,members,rapi,,,,,,,,,,
test_1,Nikke,None,0,Locale_Character:11_name,icon_messenger_logo_profile,members,neon,,,,,,,,,,
test_2,Nikke,None,0,Locale_Character:900_name,icon_messenger_logo_profile,members,ingrid,,,,,,,,,,
test_quest,Quest,None,0,Locale_Character:npc_50_name,icon_messenger_logo_profile,members,keuoaang01,,,,,,,,,,
test_quest_2,Quest,None,0,Locale_Character:npc_51_name,icon_messenger_logo_profile,members,ruruphee01,,,,,,,,,,
m_test_quest3,Quest,None,0,Locale_Character:170_name,icon_messenger_logo_profile,members,privaty,,,,,,,,,,
test_counters,Group,None,0,Locale_Character:counters_name,icon_messenger_logo_profile,members,rapi,members,neon,members,anis,,,,,,
test_rapi,Nikke,None,3001,Locale_Character:10_name,mi_c010_00_s,members,rapi,,,,,,,,,,
test_neon,Nikke,None,3002,Locale_Character:11_name,mi_c011_00_s,members,neon,,,,,,,,,,
test_anis,Nikke,None,3005,Locale_Character:12_name,mi_c012_00_s,members,anis,,,,,,,,,,
rapi,Nikke,None,3001,Locale_Character:10_name,mi_c010_00_s,members,rapi,,,,,,,,,,
neon,Nikke,None,3002,Locale_Character:11_name,mi_c011_00_s,members,neon,,,,,,,,,,
anis,Nikke,None,3005,Locale_Character:12_name,mi_c012_00_s,members,anis,,,,,,,,,,
delta,Nikke,None,3003,Locale_Character:20_name,mi_c020_00_s,members,delta,,,,,,,,,,
signal,Nikke,None,5015,Locale_Character:22_name,mi_c022_00_s,members,signal,,,,,,,,,,
poli,Nikke,None,5016,Locale_Character:30_name,mi_c030_00_s,members,poli,,,,,,,,,,
miranda,Nikke,None,5017,Locale_Character:32_name,mi_c032_00_s,members,miranda,,,,,,,,,,
quiry,Nikke,None,5082,Locale_Character:33_name,mi_c033_00_s,members,quiry,,,,,,,,,,
belorta,Nikke,None,3007,Locale_Character:60_name,mi_c060_00_s,members,belorta,,,,,,,,,,
mica,Nikke,None,3008,Locale_Character:61_name,mi_c061_00_s,members,mica,,,,,,,,,,
brid,Nikke,None,5018,Locale_Character:70_name,mi_c070_00_s,members,brid,,,,,,,,,,
soline,Nikke,None,5019,Locale_Character:71_name,mi_c071_00_s,members,soline,,,,,,,,,,
diesel,Nikke,None,5020,Locale_Character:72_name,mi_c072_00_s,members,diesel,,,,,,,,,,
centi,Nikke,None,5021,Locale_Character:80_name,mi_c080_00_s,members,centi,,,,,,,,,,
liter,Nikke,None,5011,Locale_Character:82_name,mi_c082_00_s,members,liter,,,,,,,,,,
emma,Nikke,None,5005,Locale_Character:90_name,mi_c090_00_s,members,emma,,,,,,,,,,
vesti,Nikke,None,5022,Locale_Character:91_name,mi_c091_00_s,members,vesti,,,,,,,,,,
eunhwa,Nikke,None,5023,Locale_Character:92_name,mi_c092_00_s,members,eunhwa,,,,,,,,,,
drake,Nikke,None,5024,Locale_Character:101_name,mi_c101_00_s,members,drake,,,,,,,,,,
maxwell,Nikke,None,5001,Locale_Character:102_name,mi_c102_00_s,members,maxwell,,,,,,,,,,
crow,Nikke,None,5025,Locale_Character:110_name,mi_c110_00_s,members,crow,,,,,,,,,,
n102,Nikke,None,3009,Locale_Character:120_name,mi_c120_00_s,members,n102,,,,,,,,,,
mary,Nikke,None,5026,Locale_Character:130_name,mi_c130_00_s,members,mary,,,,,,,,,,
pepper,Nikke,None,5027,Locale_Character:131_name,mi_c131_00_s,members,pepper,,,,,,,,,,
sugar,Nikke,None,5002,Locale_Character:140_name,mi_c140_00_s,members,sugar,,,,,,,,,,
milk,Nikke,None,5028,Locale_Character:141_name,mi_c141_00_s,members,milk,,,,,,,,,,
frima,Nikke,None,5010,Locale_Character:142_name,mi_c142_00_s,members,frima,,,,,,,,,,
julia,Nikke,None,5014,Locale_Character:150_name,mi_c150_00_s,members,julia,,,,,,,,,,
yuni,Nikke,None,5006,Locale_Character:160_name,mi_c160_00_s,members,yuni,,,,,,,,,,
mihara,Nikke,None,3006,Locale_Character:161_name,mi_c161_00_s,members,mihara,,,,,,,,,,
privaty,Nikke,None,5007,Locale_Character:170_name,mi_c170_00_s,members,privaty,,,,,,,,,,
yulha,Nikke,None,5029,Locale_Character:171_name,mi_c171_00_s,members,yulha,,,,,,,,,,
admi,Nikke,None,5030,Locale_Character:172_name,mi_c172_00_s,members,admi,,,,,,,,,,
guillotine,Nikke,None,5031,Locale_Character:180_name,mi_c180_00_s,members,guillotine,,,,,,,,,,
maiden,Nikke,None,5032,Locale_Character:181_name,mi_c181_00_s,members,maiden,,,,,,,,,,
ludmilla,Nikke,None,5033,Locale_Character:190_name,mi_c190_00_s,members,ludmilla,,,,,,,,,,
alice,Nikke,None,5004,Locale_Character:191_name,mi_c191_00_s,members,alice,,,,,,,,,,
rupee,Nikke,None,5034,Locale_Character:200_name,mi_c200_00_s,members,rupee,,,,,,,,,,
yan,Nikke,None,5035,Locale_Character:201_name,mi_c201_00_s,members,yan,,,,,,,,,,
dolla,Nikke,None,5036,Locale_Character:202_name,mi_c202_00_s,members,dolla,,,,,,,,,,
exia,Nikke,None,5003,Locale_Character:210_name,mi_c210_00_s,members,exia,,,,,,,,,,
novel,Nikke,None,5037,Locale_Character:212_name,mi_c212_00_s,members,novel,,,,,,,,,,
epinel,Nikke,None,5038,Locale_Character:241_name,mi_c241_00_s,members,epinel,,,,,,,,,,
folkwang,Nikke,None,5039,Locale_Character:242_name,mi_c242_00_s,members,folkwang,,,,,,,,,,
snowwhite,Nikke,None,5012,Locale_Character:220_name,mi_c220_00_s,members,snowwhite,,,,,,,,,,
rapunzel,Nikke,None,5040,Locale_Character:221_name,mi_c221_00_s,members,rapunzel,,,,,,,,,,
hongryeon,Nikke,None,5041,Locale_Character:222_name,mi_c222_00_s,members,hongryeon,,,,,,,,,,
harran,Nikke,None,5042,Locale_Character:230_name,mi_c230_00_s,members,harran,,,,,,,,,,
isabel,Nikke,None,5013,Locale_Character:231_name,mi_c231_00_s,members,isabel,,,,,,,,,,
noah,Nikke,None,5043,Locale_Character:232_name,mi_c232_00_s,members,noah,,,,,,,,,,
marian,Nikke,None,0,Locale_Character:13_name,mi_c260_00_s,members,marian,,,,,,,,,,
ether,Nikke,None,3010,Locale_Character:291_name,mi_c291_00_s,members,ether,,,,,,,,,,
laplace,Nikke,None,0,Locale_Character:100_name,mi_c100_00_s,members,laplace,,,,,,,,,,
blanc,Nikke,None,0,Locale_Character:270_name,mi_c270_00_s,members,blanc,,,,,,,,,,
noir,Nikke,None,0,Locale_Character:271_name,mi_c271_00_s,members,noir,,,,,,,,,,
rouge,Nikke,None,0,Locale_Character:272_name,mi_c272_00_s,members,rouge,,,,,,,,,,
rosanna,Nikke,None,0,Locale_Character:280_name,mi_c280_00_s,members,rosanna,,,,,,,,,,
moran,Nikke,None,0,Locale_Character:281_name,mi_c281_00_s,members,moran,,,,,,,,,,
sakura,Nikke,None,0,Locale_Character:282_name,mi_c282_00_s,members,sakura,,,,,,,,,,
mana,Nikke,None,0,Locale_Character:290_name,mi_c290_00_s,members,mana,,,,,,,,,,
rumani,Nikke,None,0,Locale_Character:240_name,mi_c240_00_s,members,rumani,,,,,,,,,,
jackal,Nikke,None,0,Locale_Character:111_name,mi_c111_00_s,members,jackal,,,,,,,,,,
viper,Nikke,None,0,Locale_Character:112_name,mi_c112_00_s,members,viper,,,,,,,,,,
noise,Nikke,None,5074,Locale_Character:430_name,mi_c430_00_s,members,noise,,,,,,,,,,
volume,Nikke,None,5075,Locale_Character:431_name,mi_c431_00_s,members,volume,,,,,,,,,,
aria,Nikke,None,5070,Locale_Character:432_name,mi_c432_00_s,members,aria,,,,,,,,,,
helm,Nikke,None,5066,Locale_Character:352_name,mi_c352_00_s,members,helm,,,,,,,,,,
neve,Nikke,None,3011,Locale_Character:193_name,mi_c193_00_s,members,neve,,,,,,,,,,
guilty,Nikke,None,5055,Locale_Character:400_name,mi_c400_00_s,members,guilty,,,,,,,,,,
sin,Nikke,None,5059,Locale_Character:401_name,mi_c401_00_s,members,sin,,,,,,,,,,
quency,Nikke,None,5078,Locale_Character:402_name,mi_c402_00_s,members,quency,,,,,,,,,,
cocoa,Nikke,None,5050,Locale_Character:311_name,mi_c311_00_s,members,cocoa,,,,,,,,,,
soda,Nikke,None,5051,Locale_Character:312_name,mi_c312_00_s,members,soda,,,,,,,,,,
ade,Nikke,None,0,Locale_Character:310_name,mi_c310_00_s,members,ade,,,,,,,,,,
biscuit,Nikke,None,5054,Locale_Character:381_name,mi_c381_00_s,members,biscuit,,,,,,,,,,
d,Nikke,None,1007,Locale_Character:40_name,mi_c040_00_s,members,d,,,,,,,,,,
rei,Nikke,None,5069,Locale_Character:392_name,mi_c392_00_s,members,rei,,,,,,,,,,
dorothy,Nikke,None,5061,Locale_Character:233_name,mi_c233_00_s,members,dorothy,,,,,,,,,,
nero,Nikke,None,5068,Locale_Character:380_name,mi_c380_00_s,members,nero,,,,,,,,,,
mast,Nikke,None,5079,Locale_Character:350_name,mi_c350_00_s,members,mast,,,,,,,,,,
anchor,Nikke,None,0,Locale_Character:351_name,mi_c351_00_s,members,anchor,,,,,,,,,,
naga,Nikke,None,5099,Locale_Character:450_name,mi_c450_00_s,members,naga,,,,,,,,,,
tia,Nikke,None,5100,Locale_Character:451_name,mi_c451_00_s,members,tia,,,,,,,,,,
