id,level_group,level_min,level_max,summon_currency_reward,increase_attack,increase_hp,bubble_count
101,1,1,1,0,0,0,1
102,1,2,2,0,9565,9935,1
103,1,3,3,0,17826,18123,1
104,1,4,4,0,27391,28285,1
105,1,5,5,0,38696,39514,1
106,1,6,6,0,50435,51424,1
107,1,7,7,0,62173,63916,1
108,1,8,8,0,75218,76828,1
109,1,9,9,0,87826,90097,1
110,1,10,10,0,101304,103657,1
111,1,11,11,0,263479,269839,1
112,1,12,12,0,160434,164498,1
113,1,13,13,0,178261,182362,1
114,1,14,14,0,195652,200551,1
115,1,15,15,0,213913,218964,1
116,1,16,16,0,231740,237476,1
117,1,17,17,0,250434,256310,1
118,1,18,18,0,268696,275373,1
119,1,19,19,0,287391,294433,1
120,1,20,20,0,306522,313754,1
121,1,21,21,0,957826,981068,1
122,1,22,22,0,413478,423495,1
123,1,23,23,0,436522,446991,1
124,1,24,24,0,460000,471294,1
125,1,25,25,0,483044,494725,1
126,1,26,26,0,507391,519612,1
127,1,27,27,0,530869,543495,1
128,1,28,28,0,554783,568544,1
129,1,29,29,0,578261,592330,1
130,1,30,30,0,603043,617411,1
131,1,31,31,0,627392,642524,1
132,1,32,32,0,651739,667702,1
133,1,33,33,0,675652,692039,1
134,1,34,34,0,701304,718091,1
135,1,35,35,0,724783,742297,1
136,1,36,36,0,750000,768447,1
137,1,37,37,0,776087,794660,1
138,1,38,38,0,799130,818673,1
139,1,39,39,0,826087,846117,1
140,1,40,40,0,849566,869935,1
141,1,41,41,0,876521,897541,1
142,1,42,42,0,900435,922556,1
143,1,43,43,0,926522,948900,1
144,1,44,44,0,952174,975275,1
145,1,45,45,0,978261,1001715,1
146,1,46,46,0,1003913,1028156,1
147,1,47,47,0,1027826,1052783,1
148,1,48,48,0,1055217,1080971,1
149,1,49,49,0,1081304,1107411,1
150,1,50,50,0,1106957,1133851,1
151,1,51,-1,0,1106957,1133851,1
11101,111,1,1,10,0,0,4
11102,111,2,2,10,10000,9629,4
11103,111,3,3,10,18888,18148,4
11104,111,4,4,10,27778,28148,4
11105,111,5,5,10,40000,39630,4
