id,attractive_level,attractive_point,attacker_hp_rate,attacker_attack_rate,attacker_defence_rate,attacker_energy_resist_rate,attacker_metal_resist_rate,attacker_bio_resist_rate,defender_hp_rate,defender_attack_rate,defender_defence_rate,defender_energy_resist_rate,defender_metal_resist_rate,defender_bio_resist_rate,supporter_hp_rate,supporter_attack_rate,supporter_defence_rate,supporter_energy_resist_rate,supporter_metal_resist_rate,supporter_bio_resist_rate
1,1,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,310,649,29,5,0,0,0,793,19,6,0,0,0,721,24,5,0,0,0
3,3,320,1490,66,10,0,0,0,1822,44,12,0,0,0,1656,55,11,0,0,0
4,4,330,2425,108,16,0,0,0,2963,72,20,0,0,0,2694,90,18,0,0,0
5,5,340,3425,152,23,0,0,0,4186,102,28,0,0,0,3805,127,25,0,0,0
6,6,350,4476,199,30,0,0,0,5470,133,36,0,0,0,4973,166,33,0,0,0
7,7,360,5571,247,37,0,0,0,6809,165,45,0,0,0,6190,206,41,0,0,0
8,8,370,6702,298,45,0,0,0,8192,198,55,0,0,0,7447,248,50,0,0,0
9,9,380,7868,349,52,0,0,0,9616,233,64,0,0,0,8742,291,58,0,0,0
10,10,390,9062,403,60,0,0,0,11076,269,74,0,0,0,10069,336,67,0,0,0
11,11,400,10283,457,68,0,0,0,12569,305,84,0,0,0,11426,381,76,0,0,0
12,12,420,11529,512,77,0,0,0,14091,342,94,0,0,0,12810,427,85,0,0,0
13,13,430,12798,569,86,0,0,0,15642,379,105,0,0,0,14220,474,95,0,0,0
14,14,440,14088,626,94,0,0,0,17218,418,114,0,0,0,15653,522,104,0,0,0
15,15,450,15398,684,103,0,0,0,18820,456,125,0,0,0,17109,570,114,0,0,0
16,16,470,16727,744,112,0,0,0,20445,496,136,0,0,0,18586,620,124,0,0,0
17,17,480,18075,803,121,0,0,0,22091,535,147,0,0,0,20083,669,134,0,0,0
18,18,500,19438,864,130,0,0,0,23758,576,158,0,0,0,21598,720,144,0,0,0
19,19,510,20819,925,139,0,0,0,25445,617,169,0,0,0,23132,771,154,0,0,0
20,20,530,22214,988,149,0,0,0,27150,658,182,0,0,0,24682,823,165,0,0,0
21,21,540,23624,1050,158,0,0,0,28874,700,193,0,0,0,26249,875,175,0,0,0
22,22,560,25049,1114,167,0,0,0,30615,742,205,0,0,0,27832,928,186,0,0,0
23,23,580,26487,1177,176,0,0,0,32373,785,216,0,0,0,29430,981,196,0,0,0
24,24,590,27938,1242,186,0,0,0,34146,828,228,0,0,0,31042,1035,207,0,0,0
25,25,610,29402,1307,196,0,0,0,35936,871,240,0,0,0,32669,1089,218,0,0,0
26,26,630,30878,1373,206,0,0,0,37740,915,252,0,0,0,34309,1144,229,0,0,0
27,27,650,32366,1439,216,0,0,0,39558,959,264,0,0,0,35962,1199,240,0,0,0
28,28,670,33865,1505,226,0,0,0,41391,1003,276,0,0,0,37628,1254,251,0,0,0
29,29,690,35376,1572,236,0,0,0,43238,1048,288,0,0,0,39307,1310,262,0,0,0
30,30,710,36897,1640,246,0,0,0,45097,1094,300,0,0,0,40997,1367,273,0,0,0
31,31,730,38430,1708,257,0,0,0,46970,1138,314,0,0,0,42700,1423,285,0,0,0
32,32,750,39972,1776,266,0,0,0,48854,1184,326,0,0,0,44413,1480,296,0,0,0
33,33,770,41524,1846,277,0,0,0,50752,1230,339,0,0,0,46138,1538,308,0,0,0
34,34,800,43086,1915,287,0,0,0,52660,1277,351,0,0,0,47873,1596,319,0,0,0
35,35,820,44658,1985,298,0,0,0,54582,1323,364,0,0,0,49620,1654,331,0,0,0
36,36,840,46238,2056,309,0,0,0,56514,1370,377,0,0,0,51376,1713,343,0,0,0
37,37,870,47828,2125,319,0,0,0,58456,1417,389,0,0,0,53142,1771,354,0,0,0
38,38,900,49427,2197,329,0,0,0,60411,1465,403,0,0,0,54919,1831,366,0,0,0
39,39,920,51035,2268,340,0,0,0,62376,1512,416,0,0,0,56705,1890,378,0,0,0
40,40,950,52650,2340,351,0,0,0,64350,1560,429,0,0,0,58500,1950,390,0,0,0
