id,arena_type,condition_type,condition_value,time_stack_reward/0/item_type,time_stack_reward/0/item_id,time_stack_reward/0/item_value,time_stack_reward/0/time_sec,time_stack_reward/1/item_type,time_stack_reward/1/item_id,time_stack_reward/1/item_value,time_stack_reward/1/time_sec
101001,ArenaSpecial,Tier,101001,Currency,5000,71796,60,Point,1,100000,60
101002,ArenaSpecial,Tier,101002,Currency,5000,71616,60,Point,1,99167,60
101003,ArenaSpecial,Tier,101003,Currency,5000,71437,60,Point,1,98334,60
101004,ArenaSpecial,Tier,101004,Currency,5000,71257,60,Point,1,97500,60
101005,ArenaSpecial,Tier,101005,Currency,5000,71077,60,Point,1,96667,60
101006,ArenaSpecial,Tier,101006,Currency,5000,70899,60,Point,1,95834,60
101007,ArenaSpecial,Tier,101007,Currency,5000,70719,60,Point,1,95000,60
101008,ArenaSpecial,Tier,101008,Currency,5000,70539,60,Point,1,94167,60
101009,ArenaSpecial,Tier,101009,Currency,5000,70360,60,Point,1,93334,60
101010,ArenaSpecial,Tier,101010,Currency,5000,70180,60,Point,1,92500,60
102001,ArenaSpecial,Tier,102001,Currency,5000,70000,60,Point,1,87500,60
102002,ArenaSpecial,Tier,102002,Currency,5000,69822,60,Point,1,82500,60
102003,ArenaSpecial,Tier,102003,Currency,5000,69642,60,Point,1,77500,60
102004,ArenaSpecial,Tier,102004,Currency,5000,69462,60,Point,1,72500,60
102005,ArenaSpecial,Tier,102005,Currency,5000,69283,60,Point,1,67500,60
102006,ArenaSpecial,Tier,102006,Currency,5000,69103,60,Point,1,62500,60
102007,ArenaSpecial,Tier,102007,Currency,5000,68924,60,Point,1,57500,60
102008,ArenaSpecial,Tier,102008,Currency,5000,68745,60,Point,1,52500,60
102009,ArenaSpecial,Tier,102009,Currency,5000,68565,60,Point,1,47500,60
102010,ArenaSpecial,Tier,102010,Currency,5000,68385,60,Point,1,42500,60
103001,ArenaSpecial,Tier,103001,Currency,5000,68206,60,Point,1,37500,60
103002,ArenaSpecial,Tier,103002,Currency,5000,68026,60,Point,1,34167,60
103003,ArenaSpecial,Tier,103003,Currency,5000,67847,60,Point,1,30834,60
104001,ArenaSpecial,Tier,104001,Currency,5000,67668,60,Point,1,27500,60
104002,ArenaSpecial,Tier,104002,Currency,5000,67488,60,Point,1,24167,60
104003,ArenaSpecial,Tier,104003,Currency,5000,67308,60,Point,1,20834,60
105001,ArenaSpecial,Tier,105001,Currency,5000,67129,60,Point,1,17500,60
105002,ArenaSpecial,Tier,105002,Currency,5000,66950,60,Point,1,14167,60
105003,ArenaSpecial,Tier,105003,Currency,5000,66770,60,Point,1,10834,60
106001,ArenaSpecial,Tier,106001,Currency,5000,66591,60,Point,1,7500,60
106002,ArenaSpecial,Tier,106002,Currency,5000,66411,60,Point,1,4167,60
999999,ArenaSpecial,Tier,999999,Currency,5000,0,0,Point,1,0,0
