id,user_exp,character_exp,rewards/0/reward_percent,rewards/0/percent_display_type,rewards/0/reward_type,rewards/0/reward_id,rewards/0/reward_value,rewards/1/reward_percent,rewards/1/percent_display_type,rewards/1/reward_type,rewards/1/reward_id,rewards/1/reward_value,rewards/2/reward_percent,rewards/2/percent_display_type,rewards/2/reward_type,rewards/2/reward_id,rewards/2/reward_value,rewards/3/reward_percent,rewards/3/percent_display_type,rewards/3/reward_type,rewards/3/reward_id,rewards/3/reward_value,rewards/4/reward_percent,rewards/4/percent_display_type,rewards/4/reward_type,rewards/4/reward_id,rewards/4/reward_value,rewards/5/reward_percent,rewards/5/percent_display_type,rewards/5/reward_type,rewards/5/reward_id,rewards/5/reward_value,rewards/6/reward_percent,rewards/6/percent_display_type,rewards/6/reward_type,rewards/6/reward_id,rewards/6/reward_value,rewards/7/reward_percent,rewards/7/percent_display_type,rewards/7/reward_type,rewards/7/reward_id,rewards/7/reward_value,rewards/8/reward_percent,rewards/8/percent_display_type,rewards/8/reward_type,rewards/8/reward_id,rewards/8/reward_value
1,0,0,1000000.0,None,Currency,5100.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,0,1000000.0,None,Item,9110006.0,1.0,1000000.0,None,Item,9120006.0,1.0,1000000.0,None,Item,9140006.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,0,1000000.0,None,Character,117201.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,0,1000000.0,None,Currency,99.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,0,1000000.0,None,Currency,99.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0,0,1000000.0,None,Currency,99.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,300,0,1000000.0,None,Currency,99.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0,0,1000000.0,None,Currency,99.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,0,0,1000000.0,None,Currency,99.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,0,0,1000000.0,None,Currency,99.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,0,0,1000000.0,None,Currency,99.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,0,0,1000000.0,None,Currency,99.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,0,0,1000000.0,None,Currency,99.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,0,0,1000000.0,None,Currency,99.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,0,0,1000000.0,None,Currency,99.0,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,1500,0,1000000.0,None,Currency,99.0,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,0,0,1000000.0,None,Currency,99.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,0,0,1000000.0,None,Currency,99.0,250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,0,0,1000000.0,None,Currency,99.0,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,0,0,1000000.0,None,Currency,99.0,350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,0,0,1000000.0,None,Currency,99.0,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,0,0,1000000.0,None,Currency,99.0,450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,0,0,1000000.0,None,Currency,99.0,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,0,0,1000000.0,None,Currency,99.0,600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,0,0,1000000.0,None,Currency,99.0,700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,0,0,1000000.0,None,Currency,99.0,800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,0,0,1000000.0,None,Currency,99.0,900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,0,0,1000000.0,None,Currency,99.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,0,0,1000000.0,None,Currency,99.0,1500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,0,0,1000000.0,None,Currency,99.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000,0,0,1000000.0,None,Currency,99.0,3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4500,0,0,1000000.0,None,Currency,99.0,4500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6000,0,0,1000000.0,None,Currency,99.0,6000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9000,0,0,1000000.0,None,Currency,99.0,9000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12000,0,0,1000000.0,None,Currency,99.0,12000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15000,0,0,1000000.0,None,Currency,99.0,15000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30000,0,0,1000000.0,None,Currency,99.0,30000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21001,0,0,1000000.0,None,Currency,99.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
