id,group_id,category,condition_ui_localkey,shortcut_type,shortcut_value,name_localkey,description_localkey,next_main_quest_id,reward_id,scenario_type,episode_id,target_chapter_id,header_bg_resource_id,condition_id/0/condition_id,condition_id/1/condition_id
1,1000,Campaign_Clear,,None,0,Locale_MainQuest:main_quest_name_localkey_1,Locale_MainQuest:main_quest_description_localkey_1,2,1300001,None,,1,ChapterMap_Image_001,6000001,8000001
2,1000,Campaign_Clear,,None,0,Locale_MainQuest:main_quest_name_localkey_2,Locale_MainQuest:main_quest_description_localkey_2,3,1300002,None,,1,,6000002,8000002
3,1000,Campaign_Clear,,None,0,Locale_MainQuest:main_quest_name_localkey_3,Locale_MainQuest:main_quest_description_localkey_3,4,1300003,None,,1,,6000003,8000003
4,1001,Campaign_Clear,,None,0,Locale_MainQuest:main_quest_name_localkey_4,Locale_MainQuest:main_quest_description_localkey_4,5,1300004,None,,2,ChapterMap_Image_001,6001001,8001001
5,1001,Campaign_Clear,,None,0,Locale_MainQuest:main_quest_name_localkey_5,Locale_MainQuest:main_quest_description_localkey_5,6,1300005,None,,2,,6001002,8001002
6,1001,Campaign_Clear,,None,0,Locale_MainQuest:main_quest_name_localkey_6,Locale_MainQuest:main_quest_description_localkey_6,7,1300006,None,,2,,6001003,8001003
7,1001,Campaign_Clear,,None,0,Locale_MainQuest:main_quest_name_localkey_7,Locale_MainQuest:main_quest_description_localkey_7,8,1300007,None,,2,,6001004,8001004
8,1001,Ark_View,,None,0,Locale_MainQuest:main_quest_name_localkey_8,Locale_MainQuest:main_quest_description_localkey_8,9,1300008,Dialog,d_main_01af_01,2,,0,0
9,1001,Ark_Marker,Locale_MainQuest:condition_ui_localkey_andersen,None,0,Locale_MainQuest:main_quest_name_localkey_9,Locale_MainQuest:main_quest_description_localkey_9,10,1300009,Dialog,d_main_01af_02,2,,1,0
10,1001,SimulationRoom_Select,,None,0,Locale_MainQuest:main_quest_name_localkey_10,Locale_MainQuest:main_quest_description_localkey_10,11,1300010,Dialog,d_main_01af_03,2,,0,0
11,1001,Lobby_Enter,,None,0,Locale_MainQuest:main_quest_name_localkey_11,Locale_MainQuest:main_quest_description_localkey_11,12,1300011,Dialog,d_main_01af_04,2,,0,0
12,1001,Campaign_View,,None,0,Locale_MainQuest:main_quest_name_localkey_12,Locale_MainQuest:main_quest_description_localkey_12,13,1300012,Dialog,d_main_01af_05,3,,0,0
13,1002,Campaign_Clear,,None,0,Locale_MainQuest:main_quest_name_localkey_13,Locale_MainQuest:main_quest_description_localkey_13,14,1300013,None,,3,ChapterMap_Image_002,6002001,8002001
14,1002,Campaign_Clear,,None,0,Locale_MainQuest:main_quest_name_localkey_14,Locale_MainQuest:main_quest_description_localkey_14,15,1300014,None,,3,,6002003,8002002
15,1002,Campaign_Clear,,None,0,Locale_MainQuest:main_quest_name_localkey_15,Locale_MainQuest:main_quest_description_localkey_15,16,1300015,None,,3,,6002005,8002003
16,1002,Campaign_Clear,,None,0,Locale_MainQuest:main_quest_name_localkey_16,Locale_MainQuest:main_quest_description_localkey_16,17,1300016,None,,3,,6002008,8002004
17,1002,Campaign_Clear,,None,0,Locale_MainQuest:main_quest_name_localkey_17,Locale_MainQuest:main_quest_description_localkey_17,18,1300017,None,,3,,6002010,8002005
18,1002,Campaign_Clear,,None,0,Locale_MainQuest:main_quest_name_localkey_18,Locale_MainQuest:main_quest_description_localkey_18,19,1300018,None,,3,,6002011,8002006
19,1002,Campaign_Clear,,None,0,Locale_MainQuest:main_quest_name_localkey_19,Locale_MainQuest:main_quest_description_localkey_19,20,1300019,None,,3,,6002013,8002007
20,1002,Campaign_Clear,,None,0,Locale_MainQuest:main_quest_name_localkey_20,Locale_MainQuest:main_quest_description_localkey_20,21,1300020,None,,3,,6002016,8002008
21,1002,Ark_Marker,Locale_MainQuest:condition_ui_localkey_andersen,None,0,Locale_MainQuest:main_quest_name_localkey_21,Locale_MainQuest:main_quest_description_localkey_21,22,1300021,Dialog,d_main_02af_01,3,,1,0
22,1002,Outpost_View,,None,0,Locale_MainQuest:main_quest_name_localkey_22,Locale_MainQuest:main_quest_description_localkey_22,23,1300022,Dialog,d_main_02af_02,3,,0,0
23,1002,Outpost_Select,,None,0,Locale_MainQuest:main_quest_name_localkey_23,Locale_MainQuest:main_quest_description_localkey_23,24,1300023,Dialog,d_main_02af_03,3,,22401,22401
24,1002,Outpost_Building_Enter,,None,0,Locale_MainQuest:main_quest_name_localkey_24,Locale_MainQuest:main_quest_description_localkey_24,25,1300024,Dialog,d_main_02af_04,3,,22401,22401
