id,option_group,hexabiosoptionrandomdata/0/option_id,hexabiosoptionrandomdata/0/ratio,hexabiosoptionrandomdata/1/option_id,hexabiosoptionrandomdata/1/ratio,hexabiosoptionrandomdata/2/option_id,hexabiosoptionrandomdata/2/ratio,hexabiosoptionrandomdata/3/option_id,hexabiosoptionrandomdata/3/ratio,hexabiosoptionrandomdata/4/option_id,hexabiosoptionrandomdata/4/ratio
10101,101,10101,10,10102,10,0,0,0,0,0,0
10201,102,10201,10,10202,10,0,0,0,0,0,0
10301,103,10301,10,10302,10,0,0,0,0,0,0
20101,201,20101,10,20102,10,0,0,0,0,0,0
20201,202,10101,20,10102,20,0,0,0,0,0,0
20202,202,20201,10,20202,10,0,0,0,0,0,0
20301,203,10301,20,10302,20,0,0,0,0,0,0
20302,203,20301,10,20302,10,0,0,0,0,0,0
30101,301,30101,10,30102,10,0,0,0,0,0,0
30201,302,10101,30,10102,30,0,0,0,0,0,0
30202,302,20201,20,20202,20,0,0,0,0,0,0
30203,302,30201,10,30202,10,0,0,0,0,0,0
30301,303,10301,30,10302,30,0,0,0,0,0,0
30302,303,20301,20,20302,20,0,0,0,0,0,0
30303,303,30301,10,30302,10,0,0,0,0,0,0
40101,401,40101,10,40102,10,0,0,0,0,0,0
40201,402,20201,30,20202,30,0,0,0,0,0,0
40202,402,30201,20,30202,20,0,0,0,0,0,0
40203,402,40201,10,40202,10,0,0,0,0,0,0
40301,403,20301,30,20302,30,0,0,0,0,0,0
40302,403,30301,20,30302,20,0,0,0,0,0,0
40303,403,40301,10,40302,10,0,0,0,0,0,0
50101,501,50101,10,50102,10,0,0,0,0,0,0
50201,502,30201,30,30202,30,0,0,0,0,0,0
50202,502,40201,20,40202,20,0,0,0,0,0,0
50203,502,50201,10,50202,10,0,0,0,0,0,0
50301,503,30301,30,30302,30,0,0,0,0,0,0
50302,503,40301,20,40302,20,0,0,0,0,0,0
50303,503,50301,10,50302,10,0,0,0,0,0,0
60101,601,60101,10,60102,10,0,0,0,0,0,0
60201,602,40201,30,40202,30,0,0,0,0,0,0
60202,602,50201,20,50202,20,0,0,0,0,0,0
60203,602,60201,10,60202,10,0,0,0,0,0,0
60301,603,40301,30,40302,30,0,0,0,0,0,0
60302,603,50301,20,50302,20,0,0,0,0,0,0
60303,603,60301,10,60302,10,0,0,0,0,0,0
