id,private_banner_resource,private_banner_order,private_banner_show_duration,event_id
10001,btn_event_enter_ce_01,1,8,80200
10002,btn_event_enter_bow-wowparadise,1,8,40010
10003,btn_event_enter_cherryblossom,1,8,40011
10004,btn_event_enter_ltk,1,8,40012
10005,btn_event_enter_overzone,1,8,80300
10006,btn_event_enter_bunny777,1,8,40014
10007,btn_event_enter_queensorder,1,8,40015
10020,btn_event_enter_bluewaterisland,1,8,80400
10022,btn_event_enter_nya-nyaparadise,1,8,40022
10023,btn_event_enter_goldenship,1,8,40023
10024,btn_event_enter_seayouagain,1,8,80600
10026,btn_event_enter_ce002,0,8,80700
10028,btn_event_enter_schooloflock,1,8,40028
10029,btn_event_enter_dazzlingcupid,1,8,40029
10030,btn_event_enter_acpufreeze,1,8,40030
10031,btn_event_enter_redash,1,8,80800
10033,btn_event_enter_alonesurvivor,1,8,40033
10034,btn_event_enter_neverland,1,8,80900
10036,btn_event_enter_newyearnewsword,1,8,40036
10037,btn_event_enter_lionheart,1,8,40037
10038,btn_event_enter_dirtybackyard,1,8,40038
10039,btn_event_enter_perfectmaid,0,8,40039
10040,btn_event_enter_boomsday,1,8,40040
10041,btn_event_enter_ce003,1,8,81100
10043,btn_event_enter_killthelord,1,8,40043
10044,btn_event_enter_onemoretime,1,8,40044
10045,btn_event_enter_lastkingdom,1,8,81200
10047,btn_event_enter_darkhero,1,8,40047
10048,btn_event_enter_goldencoinrush,1,8,81300
10050,btn_event_enter_claymore,1,8,40050
10051,btn_event_enter_beautyfullshot,1,8,81400
10053,btn_event_enter_juveniledays,1,8,40053
10054,btn_event_enter_colorless,1,8,40054
10055,btn_event_enter_ce004,1,8,81500
10058,btn_event_enter_jinxplayer,1,8,40058
10059,btn_event_enter_phantomthiefvsdetective,1,8,40059
10060,btn_event_enter_lifeagain,1,8,40060
10061,btn_event_enter_oldtales,1,8,81600
10063,btn_event_enter_secretgarden,1,8,40063
10064,btn_event_enter_icedragonsaga,1,8,81700
10066,btn_event_enter_footstepwalkrun,1,8,40066
10068,btn_event_enter_wisdomspring,1,8,40068
10069,btn_event_enter_romanticvalentine,1,8,40069
10070,btn_event_enter_ce005,1,8,81900
10072,btn_event_enter_forrest,1,8,40072
10073,btn_event_enter_newflavor,1,8,40073
10074,btn_event_enter_trueflavor,1,8,40074
10075,btn_event_enter_unbreakablesphere,1,8,82000
10077,btn_event_enter_arcanearchive,1,8,40077
10078,btn_event_enter_lordforjustice,1,8,40078
10079,btn_event_enter_ce006,1,8,82100
10081,btn_event_enter_overthehorizon,0,8,40081
10082,btn_event_enter_ce002,1,8,82300
10084,btn_event_enter_boomtheghost,0,8,82400
10086,btn_event_enter_absolute,1,8,40086
10088,btn_event_enter_coinsinrush,1,8,82500
10090,btn_event_enter_ce007,0,8,82600
10092,btn_event_enter_goninjathief,1,8,40092
10093,btn_event_enter_goddessfall,1,8,82700
10095,btn_event_enter_blankticket,1,8,40095
10096,btn_event_enter_terminusticket,1,8,82800
