id,character_Id,ItemsAction_group_Id,burst_activeTime,cooldown_time,kill_cooldown_subTime
1,1,500101,350,2000,2
2,2,500201,300,2000,2
3,3,500301,300,2000,2
4,4,500401,300,2000,2
5,5,500501,300,2000,2
6,6,500501,300,2000,2
101,101,500101,350,2000,2
102,102,500201,300,2000,2
103,103,500301,300,2000,2
104,104,500401,300,2000,2
105,105,500501,300,2000,2
106,106,500501,300,2000,2
201,201,500700,300,2500,2
202,202,500101,350,2000,2
203,203,500201,300,2000,2
204,204,500301,300,2000,2
205,205,500401,300,2000,2
206,206,500501,300,2000,2
207,207,500501,300,2000,2
90001,90001,500101,350,2000,2
90002,90002,500101,350,2000,2
90003,90003,500700,350,2000,2
90004,90004,500700,350,2000,2
90005,90005,500700,350,2000,2
