id,spot_cut_id,step,spot_dialog_group_id,state_effect_function_id,condition_type,condition_id,condition_value,dialog_spot_pause
10080201,100802,1,,200202,UserBattleModeStart,100,,False
10080202,100802,2,s001_09_b1,0,SpotEventClear,900,10080201,True
10080301,100803,1,,200201,UserBattleModeStart,100,,False
10080302,100803,2,s001_09_b2,0,SpotEventClear,900,10080301,True
10080401,100804,1,,200201,UserBattleModeStart,100,,False
10080402,100804,2,s001_09_b3,0,TargetHPRatioFirst,1000,5000,True
10130201,101302,1,,200301,UserBattleModeStart,100,,False
10130202,101302,2,s001_14_b1,0,SpotEventClear,900,10130201,True
10130401,101304,1,,200301,UserBattleModeStart,100,,False
10130402,101304,2,s001_14_b2,0,SpotEventClear,900,10130401,True
10130601,101306,1,,200301,UserBattleModeStart,100,,False
10130602,101306,2,s001_14_b3,0,SpotEventClear,900,10130601,True
