id,reward_group_id,world_id,difficulty,reward_id,quest_rank
140201,1402,4,1,24100201,None
140202,1402,4,2,24100202,None
140203,1402,4,3,24100203,None
140204,1402,4,4,24100204,None
240301,2403,4,1,24130301,None
240302,2403,4,2,24130302,None
240303,2403,4,3,24130303,None
240304,2403,4,4,24130304,None
140301,1403,4,1,24100301,None
140302,1403,4,2,24100302,None
140303,1403,4,3,24100303,None
140304,1403,4,4,24100304,None
240401,2404,4,1,24130401,None
240402,2404,4,2,24130402,None
240403,2404,4,3,24130403,None
240404,2404,4,4,24130404,None
140401,1404,4,1,24100401,None
140402,1404,4,2,24100402,None
140403,1404,4,3,24100403,None
140404,1404,4,4,24100404,None
340101,3401,4,1,24090103,One
340102,3401,4,2,24090203,One
340103,3401,4,3,24090303,One
340104,3401,4,4,24090403,One
340201,3402,4,1,24090102,Two
340202,3402,4,2,24090202,Two
340203,3402,4,3,24090302,Two
340204,3402,4,4,24090402,Two
340301,3403,4,1,24090101,Three
340302,3403,4,2,24090201,Three
340303,3403,4,3,24090301,Three
340304,3403,4,4,24090401,Three
