id,area_group_id,difficulty_type,wave_correction_level,standard_battle_power,recommend_squad_count
1,1000,Easy,1,100,2
2,2000,Normal,5,200,3
3,3000,Hard,10,300,4
900050101,9000501,Easy,1,50000,3
1001,1001,Easy,1,50000,1
2001,2001,Easy,11,51200,1
2002,2002,Easy,14,51800,1
2003,2003,Easy,17,52400,2
3001,3001,Easy,21,55900,3
3002,3002,Easy,24,64600,3
3003,3003,Easy,28,76200,3
4001,4001,Easy,32,90400,3
4002,4002,Easy,34,94800,3
4003,4003,Easy,37,101400,3
5001,5001,Easy,42,120800,3
5002,5002,Easy,44,127600,3
5003,5003,Easy,47,137800,3
6001,6001,Easy,52,168600,3
6002,6002,Easy,54,179200,3
6003,6003,Easy,57,195100,3
